001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-TempTra-001,007-TempTra-002,008-TempTra-003,009-TempTra-004,010-TempVib001,011-TempVib002,012-TempVib003,013-XiVibMean001,014-XiVibMean002,015-XiVibMean003,016-TempRot001,017-TempRot002,018-TempRot003,019-TempTotal001,020-TempTotal002,021-TempTotal003,022-TempTotal004
1.90000000000005E-005,4.47786173611367E+021,1.05364135184573E+022,1.05370551915852E+022,2.55513304461562E+022,4.10882528432021E+003,4.31176504266361E+003,4.38444671352518E+003,4.30617295024251E+003,4.32572436407521E+003,4.16955543152323E+003,0.00000000000000E+000,1.25268057622479E+001,8.25646558622440E+000,0.00000000000000E+000,4.22648543691817E+003,4.20189961724403E+003,0.00000000000000E+000,4.27453291569998E+003,4.20628693327003E+003,4.38444671352518E+003,4.29171792542270E+003
2.00000000000006E-005,4.36078556153398E+021,1.06534896930370E+022,1.06541313661649E+022,2.56684066207359E+022,4.18896353127310E+003,4.12160256395505E+003,4.11878927651884E+003,4.13187876082511E+003,4.28417662957423E+003,4.20235064545113E+003,0.00000000000000E+000,1.24816345492039E+001,8.28081765927250E+000,0.00000000000000E+000,4.21490859405870E+003,4.27687417107338E+003,0.00000000000000E+000,4.25747750833924E+003,4.20104304051792E+003,4.11878927651884E+003,4.17648975196083E+003
2.10000000000008E-005,4.22133124275407E+021,1.07929440118169E+022,1.07935856849448E+022,2.58078609395158E+022,4.03050746960720E+003,4.21404348379047E+003,4.27599970632815E+003,4.20993479324789E+003,4.18579059161564E+003,4.19720371046848E+003,0.00000000000000E+000,1.23717059954871E+001,8.27701619472031E+000,0.00000000000000E+000,3.96745786281457E+003,4.03221870248976E+003,0.00000000000000E+000,4.12478114846954E+003,4.16607425751356E+003,4.27599970632815E+003,4.20529400772031E+003
2.20000000000009E-005,4.10940479193380E+021,1.09048704626372E+022,1.09055121357651E+022,2.59197873903361E+022,3.95775608290925E+003,4.15017693520888E+003,4.12299329411655E+003,4.10823265981949E+003,4.11428838186357E+003,4.18202685090426E+003,0.00000000000000E+000,1.22890941702777E+001,8.26576265441039E+000,0.00000000000000E+000,4.03352903983117E+003,4.13413407245204E+003,0.00000000000000E+000,4.07536491652776E+003,4.16525746477061E+003,4.12299329411655E+003,4.13322335577195E+003
2.30000000000011E-005,4.02170864272895E+021,1.09925666118420E+022,1.09932082849699E+022,2.60074835395409E+022,4.03061661737908E+003,4.19264589716995E+003,4.09790060214287E+003,4.12754196988727E+003,4.02016365000765E+003,4.17212889901455E+003,0.00000000000000E+000,1.21766702427047E+001,8.25838770961899E+000,0.00000000000000E+000,3.79752765334447E+003,4.16018889825277E+003,0.00000000000000E+000,3.98514353469633E+003,4.17393352045597E+003,4.09790060214287E+003,4.11260101888983E+003
2.40000000000013E-005,3.93597312433959E+021,1.10783021302314E+022,1.10789438033593E+022,2.60932190579303E+022,4.05269610671959E+003,4.14879661770029E+003,4.08816942930146E+003,4.10855879808322E+003,3.98933184702954E+003,4.14771395101994E+003,0.00000000000000E+000,1.21389007487252E+001,8.24007462727725E+000,0.00000000000000E+000,3.83720465826605E+003,4.09561752807348E+003,0.00000000000000E+000,3.97465131093151E+003,4.13696672723046E+003,4.08816942930146E+003,4.09176373272406E+003
2.50000000000014E-005,3.85748008616926E+021,1.11567951684017E+022,1.11574368415296E+022,2.61717120961006E+022,3.79796206566919E+003,4.02405436394489E+003,4.04690450351689E+003,4.00047174363813E+003,3.95636939100011E+003,4.14441463372337E+003,0.00000000000000E+000,1.20979899355076E+001,8.23758652568473E+000,0.00000000000000E+000,4.05858755969337E+003,4.13152946816943E+003,0.00000000000000E+000,3.94705523674797E+003,4.11633850542198E+003,4.04690450351689E+003,4.06178676942932E+003
2.60000000000016E-005,3.79957037688870E+021,1.12147048776822E+022,1.12153465508102E+022,2.62296218053811E+022,3.96492018076451E+003,4.08393082141294E+003,4.00610933554710E+003,4.03341601614209E+003,3.93719351353811E+003,4.12461872994396E+003,0.00000000000000E+000,1.20739333382490E+001,8.22259051496434E+000,0.00000000000000E+000,4.00728677949317E+003,4.01261048875862E+003,0.00000000000000E+000,3.95343014526914E+003,4.09241021992132E+003,4.00610933554710E+003,4.03537703386838E+003
2.70000000000017E-005,3.75228995016377E+021,1.12619853044072E+022,1.12626269775351E+022,2.62769022321061E+022,4.02660219225458E+003,3.95036756591008E+003,3.99561394397417E+003,3.98064691518342E+003,3.90680037442352E+003,4.16143911097367E+003,0.00000000000000E+000,1.20354110790689E+001,8.25039091923843E+000,0.00000000000000E+000,4.09501436931035E+003,3.89353335120213E+003,0.00000000000000E+000,3.95803554916406E+003,4.06060454982732E+003,3.99561394397417E+003,4.01810206717963E+003
2.80000000000019E-005,3.67131131934439E+021,1.13429639352266E+022,1.13436056083545E+022,2.63578808629255E+022,4.35539426181088E+003,3.84908443705408E+003,3.99030141782068E+003,3.98038219743707E+003,3.83692748759306E+003,4.13827790355176E+003,0.00000000000000E+000,1.19449759803798E+001,8.23295014177177E+000,0.00000000000000E+000,3.91885091757455E+003,3.93466414991650E+003,0.00000000000000E+000,3.93729934735856E+003,4.03440473279850E+003,3.99030141782068E+003,4.00189852654011E+003
