  TIME     ,002-nPart-Spec-001,003-nPart-Spec-002,004 TempTra001     ,005 TempTra002     ,006 TempVib001     ,007 XiVibMean001     ,008 TempRot001     ,009 TempTotal001     ,010 TempTotal002     ,011 Pmean     ,012 Pmax                   
     0.87759999999997E-05,                   200000,                   200000,     0.99999389438905E+04,     0.99999389438905E+04,     0.99837088107029E+04,     0.73051495357871E+01,     0.75106038211532E+04,     0.95857031168027E+04,     0.95857031168027E+04,     0.44590243679146E-01,     0.72449155052365E-01 
     0.87779999999997E-05,                   200000,                   200000,     0.99999033417141E+04,     0.99999033417141E+04,     0.99819983634921E+04,     0.73050353105116E+01,     0.75106038211532E+04,     0.95846753142981E+04,     0.95846753142981E+04,     0.44587492121537E-01,     0.72880878611127E-01 
     0.87799999999997E-05,                   200000,                   200000,     0.99999492295890E+04,     0.99999492295890E+04,     0.99819974431645E+04,     0.73050352490412E+01,     0.75106038211532E+04,     0.95846859535343E+04,     0.95846859535343E+04,     0.44571686830303E-01,     0.73729533253938E-01 
     0.87819999999997E-05,                   200000,                   200000,     0.99999893094602E+04,     0.99999893094602E+04,     0.99813023289479E+04,     0.73049888179354E+01,     0.75106038211532E+04,     0.95842815639284E+04,     0.95842815639284E+04,     0.44573499257911E-01,     0.72131686508957E-01 
     0.87839999999997E-05,                   200000,                   200000,     0.99999194940446E+04,     0.99999194940446E+04,     0.99797274551927E+04,     0.73048835991685E+01,     0.75106038211532E+04,     0.95833262123680E+04,     0.95833262123680E+04,     0.44628193339809E-01,     0.74062575752643E-01 
     0.87859999999997E-05,                   200000,                   200000,     0.99999481259118E+04,     0.99999481259118E+04,     0.99799737532592E+04,     0.73049000566675E+01,     0.75106038211532E+04,     0.95834799399177E+04,     0.95834799399177E+04,     0.44584465530112E-01,     0.75579916161725E-01 
     0.87879999999997E-05,                   200000,                   200000,     0.99998461452877E+04,     0.99998461452877E+04,     0.99807595105390E+04,     0.73049525553291E+01,     0.75106038211532E+04,     0.95839232405437E+04,     0.95839232405437E+04,     0.44610378026706E-01,     0.71616484702359E-01 
     0.87899999999997E-05,                   200000,                   200000,     0.99999928574837E+04,     0.99999928574837E+04,     0.99807493317160E+04,     0.73049518753038E+01,     0.75106038211532E+04,     0.95839529449197E+04,     0.95839529449197E+04,     0.44575372503655E-01,     0.76169031136265E-01 
     0.87919999999997E-05,                   200000,                   200000,     0.99999653813114E+04,     0.99999653813114E+04,     0.99807515312989E+04,     0.73049520222534E+01,     0.75106038211532E+04,     0.95839475566533E+04,     0.95839475566533E+04,     0.44594154846870E-01,     0.74238736773409E-01 
     0.87939999999997E-05,                   200000,                   200000,     0.99999478840568E+04,     0.99999478840568E+04,     0.99803262479250E+04,     0.73049236088102E+01,     0.75106038211532E+04,     0.95836899013447E+04,     0.95836899013447E+04,     0.44583411962284E-01,     0.75670998436134E-01 
     0.87959999999997E-05,                   200000,                   200000,     0.99999211416449E+04,     0.99999211416449E+04,     0.99804208576000E+04,     0.73049299299413E+01,     0.75106038211532E+04,     0.95837397510395E+04,     0.95837397510395E+04,     0.44547530642181E-01,     0.72831221191580E-01 
     0.87979999999997E-05,                   200000,                   200000,     0.99999887230795E+04,     0.99999887230795E+04,     0.99815095867185E+04,     0.73050026626500E+01,     0.75106038211532E+04,     0.95844049085636E+04,     0.95844049085636E+04,     0.44610592199781E-01,     0.71384406804741E-01 
     0.87999999999997E-05,                   200000,                   200000,     0.99999916081429E+04,     0.99999916081429E+04,     0.99817771351488E+04,     0.73050205339361E+01,     0.75106038211532E+04,     0.95845650219687E+04,     0.95845650219687E+04,     0.44602244311667E-01,     0.72872993681680E-01 
     0.88019999999997E-05,                   200000,                   200000,     0.99999679952386E+04,     0.99999679952386E+04,     0.99808110764932E+04,     0.73049560003192E+01,     0.75106038211532E+04,     0.95839836718022E+04,     0.95839836718022E+04,     0.44568036095230E-01,     0.71246486832081E-01 
     0.88039999999997E-05,                   200000,                   200000,     0.99999670143982E+04,     0.99999670143982E+04,     0.99809097540161E+04,     0.73049625926182E+01,     0.75106038211532E+04,     0.95840422261531E+04,     0.95840422261531E+04,     0.44582264351783E-01,     0.72815774423032E-01 
     0.88059999999997E-05,                   200000,                   200000,     0.99999900824585E+04,     0.99999900824585E+04,     0.99798955438216E+04,     0.73048948308409E+01,     0.75106038211532E+04,     0.95834435711319E+04,     0.95834435711319E+04,     0.44564849783180E-01,     0.74172010303595E-01 
     0.88079999999997E-05,                   200000,                   200000,     0.99999946404149E+04,     0.99999946404149E+04,     0.99801238218741E+04,     0.73049100837869E+01,     0.75106038211532E+04,     0.95835806929447E+04,     0.95835806929447E+04,     0.44574005519615E-01,     0.74078727584762E-01 
