001-TIME,002-nPart-Spec-001     ,003-nPart-Spec-002     ,004-nPart-Spec-003     ,005-nPart-Spec-004     ,006-nPart-Spec-005     ,007-TempTra-001     ,008-TempTra-002     ,009-TempTra-003     ,010-TempTra-004     ,011-TempTra-005     ,012-TempVib001     ,013-TempVib002     ,014-TempVib003     ,015-TempVib004     ,016-XiVibMean001     ,017-XiVibMean002     ,018-XiVibMean003     ,019-XiVibMean004     ,020-TempRot001     ,021-TempRot002     ,022-TempRot003     ,023-TempRot004     ,024-TempTotal001     ,025-TempTotal002     ,026-TempTotal003     ,027-TempTotal004     ,028-TempTotal005     ,029-Pmean     ,030-Pmax     ,031-MeanFreePath      
    2.00000000000000E-005,    6.12810000000000E+004,    3.86160000000000E+004,    3.86160000000000E+004,    6.12810000000000E+004,    1.99794000000000E+005,    5.08717503256900E+003,    5.09538078485121E+003,    5.16276754974783E+003,    5.07898364606880E+003,    5.10085901515801E+003,    4.88022837720422E+003,    5.51321448031715E+003,    5.48962990052628E+003,    0.00000000000000E+000,    8.72296656014821E+000,    4.36935860748629E+000,    1.06387185414232E+000,    0.00000000000000E+000,    5.03912406019350E+003,    5.19262228868039E+003,    5.14800108567248E+003,    0.00000000000000E+000,    4.95477361308304E+003,    5.29957757709454E+003,    5.21524338279234E+003,    5.07898364606880E+003,    5.10985817784856E+003,    2.98964428677127E-001,    6.51159277852866E-001,    1.61232026180016E-003 
    2.20000000000000E-005,    5.97210000000000E+004,    4.01760000000000E+004,    4.01760000000000E+004,    5.97210000000000E+004,    1.99794000000000E+005,    5.08914025669575E+003,    5.14444800225602E+003,    5.15962201272168E+003,    5.07510983048334E+003,    5.11024103015189E+003,    4.87805082778849E+003,    5.48818698810541E+003,    5.44991490879619E+003,    0.00000000000000E+000,    8.72171111761052E+000,    4.36282988886938E+000,    1.05857281567729E+000,    0.00000000000000E+000,    5.04926693844491E+003,    5.19303728065763E+003,    5.14859500699005E+003,    0.00000000000000E+000,    4.95595730275790E+003,    5.30323113140934E+003,    5.20670276351621E+003,    5.07510983048334E+003,    5.11182750446374E+003,    2.99080112431370E-001,    6.63870209314932E-001,    1.60720012203580E-003 
    2.40000000000000E-005,    5.83320000000000E+004,    4.15650000000000E+004,    4.15650000000000E+004,    5.83320000000000E+004,    1.99794000000000E+005,    5.10200887613680E+003,    5.11069615371258E+003,    5.13133768986710E+003,    5.07902750473907E+003,    5.10320805868865E+003,    4.87692905990765E+003,    5.47766818703091E+003,    5.44071322272930E+003,    0.00000000000000E+000,    8.72106400660429E+000,    4.36007054586498E+000,    1.05733699846373E+000,    0.00000000000000E+000,    5.06764916748198E+003,    5.20714093333787E+003,    5.16268298321885E+003,    0.00000000000000E+000,    4.96166476724856E+003,    5.29306540343332E+003,    5.19569019066357E+003,    5.07902750473907E+003,    5.11356090712544E+003,    2.98709069032519E-001,    6.37720322985109E-001,    1.60269044672645E-003 
    2.59999999999999E-005,    5.71430000000000E+004,    4.27540000000000E+004,    4.27540000000000E+004,    5.71430000000000E+004,    1.99794000000000E+005,    5.11877265415579E+003,    5.11654051862119E+003,    5.15293093257667E+003,    5.09664126348734E+003,    5.11927475259715E+003,    4.87541137395123E+003,    5.46539625244399E+003,    5.43618421365353E+003,    0.00000000000000E+000,    8.72018810497884E+000,    4.35683971590203E+000,    1.05672761561260E+000,    0.00000000000000E+000,    5.04601517860042E+003,    5.18048666432211E+003,    5.16454152233080E+003,    0.00000000000000E+000,    4.95977817998010E+003,    5.28181747571398E+003,    5.20618456462108E+003,    5.09664126348734E+003,    5.12056425863913E+003,    2.99952548908588E-001,    6.72561194338387E-001,    1.59928180273618E-003 
    2.79999999999999E-005,    5.61130000000000E+004,    4.37840000000000E+004,    4.37840000000000E+004,    5.61130000000000E+004,    1.99794000000000E+005,    5.11235806797228E+003,    5.12652101327925E+003,    5.14248916814252E+003,    5.09061133761315E+003,    5.11595725616878E+003,    4.87851273221001E+003,    5.45572379168583E+003,    5.42576571128810E+003,    0.00000000000000E+000,    8.72197750235216E+000,    4.35428440391249E+000,    1.05532297783568E+000,    0.00000000000000E+000,    5.03664863304150E+003,    5.20699021989172E+003,    5.16442919285533E+003,    0.00000000000000E+000,    4.95838948175628E+003,    5.28827532465831E+003,    5.19910518940908E+003,    5.09061133761315E+003,    5.12056944355288E+003,    3.00660808000255E-001,    6.41809713939282E-001,    1.59590178417363E-003 
    2.99999999999999E-005,    5.53320000000000E+004,    4.45650000000000E+004,    4.45650000000000E+004,    5.53320000000000E+004,    1.99794000000000E+005,    5.10388542598730E+003,    5.10470681484514E+003,    5.18216219885452E+003,    5.08054662974387E+003,    5.11506507754608E+003,    4.88174606316064E+003,    5.44998076811067E+003,    5.40760171071037E+003,    0.00000000000000E+000,    8.72384100855684E+000,    4.35276348230674E+000,    1.05286464960486E+000,    0.00000000000000E+000,    5.05652826931114E+003,    5.16514910881467E+003,    5.19417635969949E+003,    0.00000000000000E+000,    4.96261930175643E+003,    5.26739021237015E+003,    5.22534598528930E+003,    5.08054662974387E+003,    5.12186174745221E+003,    3.00376022648901E-001,    6.49325288452970E-001,    1.59345267401862E-003 
    3.19999999999999E-005,    5.46300000000000E+004,    4.52670000000000E+004,    4.52670000000000E+004,    5.46300000000000E+004,    1.99794000000000E+005,    5.10227107626782E+003,    5.12118832936309E+003,    5.15751705285395E+003,    5.10451192727250E+003,    5.11968683754380E+003,    4.88181204950657E+003,    5.43637887016950E+003,    5.40090880984944E+003,    0.00000000000000E+000,    8.72387901768061E+000,    4.34915023768919E+000,    1.05195579270821E+000,    0.00000000000000E+000,    5.05200492385240E+003,    5.17606185275761E+003,    5.19192133630328E+003,    0.00000000000000E+000,    4.96140763039351E+003,    5.26955138820221E+003,    5.21119324393897E+003,    5.10451192727250E+003,    5.12694601789057E+003,    2.99837418973884E-001,    6.44045572800471E-001,    1.59155626738683E-003 
    3.40000000000000E-005,    5.39750000000000E+004,    4.59220000000000E+004,    4.59220000000000E+004,    5.39750000000000E+004,    1.99794000000000E+005,    5.08548833052938E+003,    5.11981789576792E+003,    5.16156055624557E+003,    5.11578921481859E+003,    5.11904970511387E+003,    4.88339572180893E+003,    5.42652505077213E+003,    5.40152683874826E+003,    0.00000000000000E+000,    8.72479097748263E+000,    4.34652288182772E+000,    1.05203978612586E+000,    0.00000000000000E+000,    5.06141069883079E+003,    5.18439443269953E+003,    5.17681681624163E+003,    0.00000000000000E+000,    4.96083809494487E+003,    5.26738817570444E+003,    5.20831613064916E+003,    5.11578921481859E+003,    5.13004020241275E+003,    3.00793459783718E-001,    6.48335332454963E-001,    1.58967392214133E-003 
    3.60000000000000E-005,    5.34820000000000E+004,    4.64150000000000E+004,    4.64150000000000E+004,    5.34820000000000E+004,    1.99794000000000E+005,    5.11229011331639E+003,    5.13709014547897E+003,    5.13515409170082E+003,    5.09807044965235E+003,    5.11955674293219E+003,    4.88755286160261E+003,    5.42078202719697E+003,    5.38834236882990E+003,    0.00000000000000E+000,    8.72718250676652E+000,    4.34498780077049E+000,    1.05024490771646E+000,    0.00000000000000E+000,    5.05902861321297E+003,    5.19731446638920E+003,    5.15379401113192E+003,    0.00000000000000E+000,    4.96826341227490E+003,    5.27370806665890E+003,    5.18526603629729E+003,    5.09807044965235E+003,    5.12438286731486E+003,    3.00101311378863E-001,    6.70011173047641E-001,    1.58767015839225E-003 
    3.80000000000001E-005,    5.30640000000000E+004,    4.68330000000000E+004,    4.68330000000000E+004,    5.30640000000000E+004,    1.99794000000000E+005,    5.14284997448320E+003,    5.12527424449531E+003,    5.14640859324665E+003,    5.09219956301925E+003,    5.12611185019570E+003,    4.88577123026246E+003,    5.41364858738782E+003,    5.37170014396099E+003,    0.00000000000000E+000,    8.72615798480971E+000,    4.34307715789203E+000,    1.04797016840548E+000,    0.00000000000000E+000,    5.08570331619547E+003,    5.16087250883099E+003,    5.16428008484875E+003,    0.00000000000000E+000,    4.97887307609866E+003,    5.25668840623813E+003,    5.19135620376344E+003,    5.09219956301925E+003,    5.12390097671780E+003,    3.00529769487886E-001,    6.42655142077609E-001,    1.58629699572612E-003 
