001-TIME,002-PCoupled,003-PCoupledMoAv
0.1037364620000005E-007,-.1624477419615058E-009,-.1114738483874452E-009
0.1042281040000005E-007,-.1621823900725956E-009,-.1117130396218091E-009
0.1047197460000005E-007,-.1619056558178472E-009,-.1119486857072365E-009
0.1052113880000005E-007,-.1616175591643828E-009,-.1121807832467559E-009
0.1057030300000005E-007,-.1613181197095450E-009,-.1124093289977456E-009
0.1061946720000005E-007,-.1610073588995129E-009,-.1126343198769204E-009
0.1066863140000005E-007,-.1606852978106706E-009,-.1128557529549561E-009
0.1071779560000005E-007,-.1603519597379968E-009,-.1130736254631352E-009
0.1076695980000005E-007,-.1600073683462262E-009,-.1132879347913685E-009
0.1081612400000005E-007,-.1596515473000815E-009,-.1134986784845899E-009
0.1086528820000005E-007,-.1592845210038172E-009,-.1137058542425955E-009
0.1091445240000005E-007,-.1589063168197844E-009,-.1139094599298801E-009
0.1096361660000005E-007,-.1585169598917534E-009,-.1141094935619961E-009
0.1101278080000005E-007,-.1581164786913627E-009,-.1143059533170379E-009
0.1106194500000005E-007,-.1577048998414242E-009,-.1144988375238129E-009
0.1111110920000005E-007,-.1572822532926141E-009,-.1146881446732324E-009
0.1116027340000005E-007,-.1568485689956164E-009,-.1148738734147407E-009
0.1120943760000005E-007,-.1564038765313395E-009,-.1150560225512170E-009
0.1125860180000005E-007,-.1559482076992612E-009,-.1152345910453133E-009
0.1130776600000005E-007,-.1554815942988746E-009,-.1154095780159809E-009
0.1135693020000005E-007,-.1550040684994075E-009,-.1155809827366884E-009
0.1140609440000005E-007,-.1545156654282118E-009,-.1157488046448415E-009
0.1145525860000005E-007,-.1540164176242827E-009,-.1159130433271567E-009
0.1150442280000006E-007,-.1535063609544783E-009,-.1160736985306923E-009
0.1155358700000006E-007,-.1529855312856643E-009,-.1162307701594368E-009
0.1160275120000006E-007,-.1524539652242086E-009,-.1163842582741181E-009
0.1165191540000006E-007,-.1519116997462663E-009,-.1165341630904562E-009
0.1170107960000006E-007,-.1513587725674909E-009,-.1166804849790152E-009
0.1175024380000006E-007,-.1507952232523667E-009,-.1168232244696987E-009
0.1179940800000006E-007,-.1502210917351180E-009,-.1169623822499713E-009
0.1184857220000006E-007,-.1496364168406917E-009,-.1170979591569867E-009
0.1189773640000006E-007,-.1490412410916649E-009,-.1172299561897746E-009
0.1194690060000006E-007,-.1484356047920179E-009,-.1173583744967798E-009
0.1199606480000006E-007,-.1478195523131292E-009,-.1174832153894697E-009
0.1204522900000006E-007,-.1471931250682765E-009,-.1176044803269342E-009
0.1209439320000006E-007,-.1465563681683541E-009,-.1177221709279156E-009
0.1214355740000006E-007,-.1459093263544886E-009,-.1178362889660799E-009
0.1219272160000006E-007,-.1452520436282984E-009,-.1179468363639114E-009
0.1224188580000006E-007,-.1445845680587589E-009,-.1180538152060594E-009
0.1229105000000006E-007,-.1439069451265321E-009,-.1181572277257413E-009
0.1234021420000006E-007,-.1432192232703589E-009,-.1182570763135684E-009
0.1238937840000006E-007,-.1425214501894687E-009,-.1183533635114887E-009
0.1243854260000006E-007,-.1418136746923622E-009,-.1184460920141798E-009
0.1248770680000006E-007,-.1410959470665997E-009,-.1185352646718665E-009
0.1253687100000006E-007,-.1404451014595055E-009,-.1186211856004455E-009
0.1258603520000006E-007,-.1396285320686322E-009,-.1187032455475869E-009
0.1263519940000006E-007,-.1388812994605286E-009,-.1187817593760419E-009
0.1268436360000006E-007,-.1381243197174116E-009,-.1188567305401557E-009
0.1273352780000006E-007,-.1373576459689828E-009,-.1189281626460585E-009
0.1278269200000006E-007,-.1365813319988188E-009,-.1189960594512614E-009
0.1283185620000007E-007,-.1357954323109704E-009,-.1190604248645170E-009
0.1288102040000007E-007,-.1350000020681960E-009,-.1191212629454471E-009
0.1293018460000007E-007,-.1341950970710583E-009,-.1191785779040996E-009
