001-TIME,002-NumDens-Spe001,003-NumDens-Spe002,004-NumDens-Spe003,005-NumDens-Spe004,006-NumDens-Spe005,007-NumDens-Spe006,008-TempTra-001,009-TempTra-002,010-TempTra-003,011-TempTra-004,012-TempTra-005,013-TempTra-006,014-TempVib001,015-TempVib002,016-TempVib003,017-TempVib004,018-TempVib005,019-XiVibMean001,020-XiVibMean002,021-XiVibMean003,022-XiVibMean004,023-XiVibMean005,024-TempRot001,025-TempRot002,026-TempRot003,027-TempRot004,028-TempRot005,029-TempTotal001,030-TempTotal002,031-TempTotal003,032-TempTotal004,033-TempTotal005,034-TempTotal006
2.79999999999999E-008,4.33645162778301E+022,8.39061346816186E+022,1.68267736928021E+023,5.89605265181023E+021,7.20739882734018E+021,3.08641839366620E+023,2.41339040311268E+004,2.42754819436169E+004,2.53873096398521E+004,2.17297172603889E+004,2.41626757827826E+004,2.48104783373163E+004,0.00000000000000E+000,0.00000000000000E+000,2.52817035244326E+004,2.02004406568657E+004,2.36108970432492E+004,0.00000000000000E+000,0.00000000000000E+000,1.86878198747699E+000,1.88959699784572E+000,1.88624477204456E+000,0.00000000000000E+000,0.00000000000000E+000,2.50929600235917E+004,2.13605705558794E+004,2.27388607162293E+004,2.41339040311268E+004,2.42754819436169E+004,2.52728710042661E+004,2.12031247922015E+004,2.35980110018177E+004,2.47248421465780E+004
2.81999999999999E-008,4.37198810811226E+022,8.41013350665258E+022,1.68052515990815E+023,5.76091392379761E+021,7.28247589845831E+021,3.08917121960720E+023,2.40801397645423E+004,2.42304723024846E+004,2.53323181109438E+004,2.15215880752929E+004,2.42496885918570E+004,2.47585418763900E+004,0.00000000000000E+000,0.00000000000000E+000,2.52816378681585E+004,2.04548931918964E+004,2.33490339497478E+004,0.00000000000000E+000,0.00000000000000E+000,1.86878165449497E+000,1.89094447392163E+000,1.88499440470388E+000,0.00000000000000E+000,0.00000000000000E+000,2.51040453349607E+004,2.13149650286945E+004,2.25599789183218E+004,2.40801397645423E+004,2.42304723024846E+004,2.52520628505996E+004,2.11689068285475E+004,2.35122663065828E+004,2.46909213941898E+004
2.83999999999999E-008,4.41152869890114E+022,8.42765148991347E+022,1.67842300191685E+023,5.66081116230677E+021,7.30750158883102E+021,3.09202414830968E+023,2.40505254358937E+004,2.41576707086579E+004,2.52673063348688E+004,2.14673720870196E+004,2.43085305152671E+004,2.46990318986119E+004,0.00000000000000E+000,0.00000000000000E+000,2.52159061637819E+004,2.05377361821537E+004,2.31233372140478E+004,0.00000000000000E+000,0.00000000000000E+000,1.86844744044066E+000,1.89137610931682E+000,1.88389447076969E+000,0.00000000000000E+000,0.00000000000000E+000,2.51992765440005E+004,2.09646012779811E+004,2.26869378021183E+004,2.40505254358937E+004,2.41576707086579E+004,2.52335144041807E+004,2.10663153582820E+004,2.35130557216732E+004,2.46545466215259E+004
2.85999999999999E-008,4.44005798592603E+022,8.44116536271474E+022,1.67662115221001E+023,5.55570326274139E+021,7.38257865994915E+021,3.09412630630099E+023,2.40727984830122E+004,2.41816492143515E+004,2.52149634225030E+004,2.14189464323183E+004,2.44383733159433E+004,2.46824727875044E+004,0.00000000000000E+000,0.00000000000000E+000,2.51642593254850E+004,2.03378028079376E+004,2.32901033531956E+004,0.00000000000000E+000,0.00000000000000E+000,1.86818364501970E+000,1.89032851836111E+000,1.88470922076652E+000,0.00000000000000E+000,0.00000000000000E+000,2.51568684717579E+004,2.14141788770170E+004,2.29678269922637E+004,2.40727984830122E+004,2.41816492143515E+004,2.51842545077191E+004,2.11209560345104E+004,2.36968390738463E+004,2.46427888784135E+004
2.87999999999999E-008,4.48610525621181E+022,8.45918385978309E+022,1.67416863455348E+023,5.45059536317601E+021,7.41260948839640E+021,3.09732959466870E+023,2.40967621477471E+004,2.41279806223101E+004,2.51783041423502E+004,2.11399216412864E+004,2.44158188288876E+004,2.46454854683570E+004,0.00000000000000E+000,0.00000000000000E+000,2.51000908510960E+004,2.00507615652049E+004,2.30899970369970E+004,0.00000000000000E+000,0.00000000000000E+000,1.86785441643114E+000,1.88878869600417E+000,1.88373020190784E+000,0.00000000000000E+000,0.00000000000000E+000,2.51680915161240E+004,2.14282736277997E+004,2.30455947346888E+004,2.40967621477471E+004,2.41279806223101E+004,2.51540583904969E+004,2.09250087832866E+004,2.36549030773264E+004,2.46103877438743E+004
2.89999999999999E-008,4.51513505704415E+022,8.46819310831726E+022,1.67236678484665E+023,5.37051315398335E+021,7.48268142143998E+021,3.09923154713702E+023,2.41566729357109E+004,2.40292892279296E+004,2.51571600330641E+004,2.12035736547973E+004,2.42786262086006E+004,2.46135085011323E+004,0.00000000000000E+000,0.00000000000000E+000,2.51045352022221E+004,2.01319825274856E+004,2.33537987612511E+004,0.00000000000000E+000,0.00000000000000E+000,1.86787727199215E+000,1.88922877041703E+000,1.88501740153292E+000,0.00000000000000E+000,0.00000000000000E+000,2.51396448656905E+004,2.14567607619910E+004,2.28326542367094E+004,2.41566729357109E+004,2.40292892279296E+004,2.51377468934666E+004,2.09832142177624E+004,2.36053875651631E+004,2.45829600816745E+004
2.91999999999999E-008,4.56218335494485E+022,8.48020543969616E+022,1.66971406166714E+023,5.28042066864159E+021,7.54274307833448E+021,3.10218457860100E+023,2.40947335153180E+004,2.40260992362371E+004,2.51158543341373E+004,2.08986710454113E+004,2.44051773637502E+004,2.45787237202095E+004,0.00000000000000E+000,0.00000000000000E+000,2.50670668780759E+004,2.01268271823574E+004,2.33220644878947E+004,0.00000000000000E+000,0.00000000000000E+000,1.86768433918190E+000,1.88920094104108E+000,1.88486406610419E+000,0.00000000000000E+000,0.00000000000000E+000,2.50976866475906E+004,2.17144646936692E+004,2.29217636118601E+004,2.40947335153180E+004,2.40260992362371E+004,2.50972956854818E+004,2.09238436518691E+004,2.36777340918239E+004,2.45514759559287E+004
2.93999999999999E-008,4.60773011142318E+022,8.49472034011233E+022,1.66766195505658E+023,5.23036928789617E+021,7.49769683566361E+021,3.10518766144573E+023,2.40228537406246E+004,2.39768081611539E+004,2.51092139461028E+004,2.05517639359737E+004,2.44037488189167E+004,2.45444243739736E+004,0.00000000000000E+000,0.00000000000000E+000,2.50096251055042E+004,2.02022667151723E+004,2.34451163759783E+004,0.00000000000000E+000,0.00000000000000E+000,1.86738746266443E+000,1.88960678647075E+000,1.88545636610810E+000,0.00000000000000E+000,0.00000000000000E+000,2.50795383676599E+004,2.19250572918000E+004,2.28914899978900E+004,2.40228537406246E+004,2.39768081611539E+004,2.50734911751692E+004,2.08545641473690E+004,2.37019830930988E+004,2.45133949439107E+004
2.95999999999999E-008,4.63726042606297E+022,8.51624243383286E+022,1.66596020811124E+023,5.10023569795809E+021,7.54274307833448E+021,3.10774028186375E+023,2.40315070101940E+004,2.39623948692500E+004,2.50778902350149E+004,2.02488604345714E+004,2.44911593233137E+004,2.45225782078767E+004,0.00000000000000E+000,0.00000000000000E+000,2.49966553573190E+004,2.01628586811268E+004,2.34239545832073E+004,0.00000000000000E+000,0.00000000000000E+000,1.86732024671739E+000,1.88939515277919E+000,1.88535493968576E+000,0.00000000000000E+000,0.00000000000000E+000,2.50180238955893E+004,2.19824573643107E+004,2.30862201252816E+004,2.40315070101940E+004,2.39623948692500E+004,2.50383661992978E+004,2.07285400711875E+004,2.37908413053293E+004,2.44922655501286E+004
2.97999999999999E-008,4.67179587877731E+022,8.52475116855958E+022,1.66420840978515E+023,5.05518945528721E+021,7.54774821640903E+021,3.10989249123580E+023,2.39756652508387E+004,2.39335246091000E+004,2.50538204623690E+004,2.01836895146652E+004,2.47762276421822E+004,2.44988614713605E+004,0.00000000000000E+000,0.00000000000000E+000,2.49470545193673E+004,1.99453077783316E+004,2.29128998243367E+004,0.00000000000000E+000,0.00000000000000E+000,1.86706256005210E+000,1.88821208013766E+000,1.88284978644613E+000,0.00000000000000E+000,0.00000000000000E+000,2.50566114371637E+004,2.18564626008031E+004,2.29180453811381E+004,2.39756652508387E+004,2.39335246091000E+004,2.50256050873694E+004,2.06040352973387E+004,2.37265561935586E+004,2.44651196146836E+004
2.99999999999999E-008,4.70482979006929E+022,8.53876555516830E+022,1.66260676560129E+023,4.99012266031817E+021,7.53773794025994E+021,3.11224490613083E+023,2.40189956300768E+004,2.38942460920081E+004,2.50421485300275E+004,2.04649548234651E+004,2.44192277649448E+004,2.44840611134564E+004,0.00000000000000E+000,0.00000000000000E+000,2.49230752623059E+004,2.03850752995930E+004,2.30508249289994E+004,0.00000000000000E+000,0.00000000000000E+000,1.86693762376382E+000,1.89057803123982E+000,1.88353660416460E+000,0.00000000000000E+000,0.00000000000000E+000,2.49942374989565E+004,2.15784196038531E+004,2.27876589395023E+004,2.40189956300768E+004,2.38942460920081E+004,2.49958215582293E+004,2.07662228852135E+004,2.35707432115109E+004,2.44435930793447E+004
3.01999999999999E-008,4.73686267374635E+022,8.55678405223665E+022,1.66090501865595E+023,4.89001989882733E+021,7.55775849255811E+021,3.11474747516810E+023,2.40385396283288E+004,2.38595503918697E+004,2.50063533114900E+004,2.03811266744823E+004,2.42666509774412E+004,2.44535592320114E+004,0.00000000000000E+000,0.00000000000000E+000,2.49219598069131E+004,2.00510588129251E+004,2.31984478710876E+004,0.00000000000000E+000,0.00000000000000E+000,1.86693180632529E+000,1.88879031293531E+000,1.88426285037855E+000,0.00000000000000E+000,0.00000000000000E+000,2.49678289441780E+004,2.14361603260186E+004,2.26541630719520E+004,2.40385396283288E+004,2.38595503918697E+004,2.49721887589383E+004,2.05969320998210E+004,2.35058213352884E+004,2.44202683099473E+004
