001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-NumDens-Spec-005,007-NumDens-Spec-006,008-NumDens-Spec-007,009-TempTra-001,010-TempTra-002,011-TempTra-003,012-TempTra-004,013-TempTra-005,014-TempTra-006,015-TempTra-007
0.1500000000000000E-006,0.4936500000000001E+021,0.3471840000000001E+022,0.0000000000000000E+000,0.5950000000000001E+019,0.2370000000000001E+019,0.1014000000000000E+020,0.3983950000000001E+022,0.4015983010951889E+003,0.3997148615165656E+003,0.0000000000000000E+000,0.1818325851000656E+004,0.8968741377496308E+003,0.2586393675676215E+004,0.4079282391934112E+003
0.1600000000000000E-006,0.4946100000000001E+021,0.3475880000000000E+022,0.0000000000000000E+000,0.4910000000000001E+019,0.1970000000000000E+019,0.8540000000000001E+019,0.3985910000000001E+022,0.4016037299395559E+003,0.3997219372347915E+003,0.0000000000000000E+000,0.1612615304909478E+004,0.8239138672983810E+003,0.2312970423978682E+004,0.4057584157563849E+003
0.1699999999999999E-006,0.4953800000000001E+021,0.3479870000000000E+022,0.0000000000000000E+000,0.3960000000000001E+019,0.1590000000000000E+019,0.7110000000000001E+019,0.3987910000000001E+022,0.4016627963130689E+003,0.3997254404579911E+003,0.0000000000000000E+000,0.1407659938593872E+004,0.6915251646376840E+003,0.2055312914029701E+004,0.4040350503676046E+003
0.1799999999999999E-006,0.4959700000000001E+021,0.3482570000000000E+022,0.0000000000000000E+000,0.3440000000000001E+019,0.1390000000000000E+019,0.6010000000000001E+019,0.3989380000000000E+022,0.4016423200790057E+003,0.3997366086052155E+003,0.0000000000000000E+000,0.1304670947487135E+004,0.6001176661822700E+003,0.1850417698917263E+004,0.4030091153276177E+003
0.1899999999999998E-006,0.4963600000000001E+021,0.3484810000000000E+022,0.0000000000000000E+000,0.2980000000000001E+019,0.1200000000000000E+019,0.5150000000000001E+019,0.3990500000000000E+022,0.4016506307394643E+003,0.3997369644474283E+003,0.0000000000000000E+000,0.1210557021790411E+004,0.5132324592434318E+003,0.1700653061976056E+004,0.4022935422365837E+003
0.1999999999999998E-006,0.4967300000000001E+021,0.3486770000000001E+022,0.0000000000000000E+000,0.2590000000000001E+019,0.1020000000000000E+019,0.4450000000000001E+019,0.3991560000000001E+022,0.4016539328489787E+003,0.3997342558392211E+003,0.0000000000000000E+000,0.1122547413120556E+004,0.4825622010191489E+003,0.1570732339463027E+004,0.4017688170670680E+003
0.2099999999999997E-006,0.4969600000000001E+021,0.3488430000000000E+022,0.0000000000000000E+000,0.2170000000000000E+019,0.8900000000000001E+018,0.3920000000000001E+019,0.3992370000000000E+022,0.4016282693963792E+003,0.3997399853202542E+003,0.0000000000000000E+000,0.1022297163899212E+004,0.4427656324753746E+003,0.1415896484578646E+004,0.4013207448778725E+003
0.2199999999999997E-006,0.4972200000000001E+021,0.3489700000000000E+022,0.0000000000000000E+000,0.1850000000000000E+019,0.8200000000000001E+018,0.3410000000000001E+019,0.3993000000000000E+022,0.4015934405168448E+003,0.3997285282075679E+003,0.0000000000000000E+000,0.9346359146385577E+003,0.4056374795857135E+003,0.1280615874548878E+004,0.4009620672895788E+003
0.2299999999999997E-006,0.4973900000000001E+021,0.3490730000000000E+022,0.0000000000000000E+000,0.1570000000000000E+019,0.6900000000000001E+018,0.3100000000000001E+019,0.3993480000000001E+022,0.4015538417241563E+003,0.3997269429238104E+003,0.0000000000000000E+000,0.8683521547369409E+003,0.3773490445072500E+003,0.1178101778787267E+004,0.4007390787096713E+003
0.2399999999999996E-006,0.4976200000000001E+021,0.3492090000000000E+022,0.0000000000000000E+000,0.1340000000000000E+019,0.6000000000000001E+018,0.2580000000000001E+019,0.3994230000000001E+022,0.4015266256725524E+003,0.3997232973796433E+003,0.0000000000000000E+000,0.8046264521519979E+003,0.3401990644613629E+003,0.1042963588276034E+004,0.4004903508200496E+003
0.2499999999999996E-006,0.4977900000000001E+021,0.3492990000000000E+022,0.0000000000000000E+000,0.1130000000000000E+019,0.5500000000000001E+018,0.2260000000000000E+019,0.3994720000000001E+022,0.4015253605063295E+003,0.3997083872743041E+003,0.0000000000000000E+000,0.7216263436366525E+003,0.3057106583906267E+003,0.9468376312635909E+003,0.4003224607854361E+003
0.2599999999999995E-006,0.4978800000000001E+021,0.3493600000000001E+022,0.0000000000000000E+000,0.9700000000000001E+018,0.4800000000000001E+018,0.2070000000000000E+019,0.3995000000000001E+022,0.4015198903267919E+003,0.3997043426434321E+003,0.0000000000000000E+000,0.6661184831055268E+003,0.2712932163385871E+003,0.8977573752775776E+003,0.4002379293853008E+003
0.2699999999999995E-006,0.4979300000000001E+021,0.3494310000000001E+022,0.0000000000000000E+000,0.8400000000000001E+018,0.4400000000000001E+018,0.1850000000000000E+019,0.3995370000000001E+022,0.4015095898131556E+003,0.3997138417706876E+003,0.0000000000000000E+000,0.5975823785581400E+003,0.2627482605492787E+003,0.8654467083680170E+003,0.4001798079618426E+003
0.2799999999999994E-006,0.4980300000000001E+021,0.3494870000000001E+022,0.0000000000000000E+000,0.7500000000000001E+018,0.3700000000000001E+018,0.1650000000000000E+019,0.3995670000000001E+022,0.4015118408563771E+003,0.3997195471112609E+003,0.0000000000000000E+000,0.5698610465280060E+003,0.2475596710604808E+003,0.8228029819762952E+003,0.4001355000532785E+003
0.2899999999999994E-006,0.4981000000000001E+021,0.3495220000000000E+022,0.0000000000000000E+000,0.6800000000000001E+018,0.3600000000000001E+018,0.1520000000000000E+019,0.3995880000000001E+022,0.4015123830342681E+003,0.3997106332742601E+003,0.0000000000000000E+000,0.5540675804592660E+003,0.2474901526633084E+003,0.7865856176106428E+003,0.4000949453363634E+003
0.2999999999999994E-006,0.4981800000000001E+021,0.3495720000000000E+022,0.0000000000000000E+000,0.5800000000000001E+018,0.3300000000000001E+018,0.1340000000000000E+019,0.3996150000000000E+022,0.4015267101371418E+003,0.3997124607019480E+003,0.0000000000000000E+000,0.4955308267814526E+003,0.2441385659867143E+003,0.7172502171567306E+003,0.4000461715597346E+003
0.3099999999999993E-006,0.4982600000000001E+021,0.3496000000000001E+022,0.0000000000000000E+000,0.5200000000000001E+018,0.2900000000000001E+018,0.1220000000000000E+019,0.3996290000000001E+022,0.4015496752789309E+003,0.3997078422888529E+003,0.0000000000000000E+000,0.4668827075468439E+003,0.2399179251512622E+003,0.6502295947999883E+003,0.4000111085927659E+003
0.3199999999999993E-006,0.4983100000000001E+021,0.3496340000000000E+022,0.0000000000000000E+000,0.4900000000000001E+018,0.2600000000000000E+018,0.1090000000000000E+019,0.3996490000000000E+022,0.4015531675010409E+003,0.3997084882283141E+003,0.0000000000000000E+000,0.4544399551903209E+003,0.2323394642604113E+003,0.6123883305987425E+003,0.3999923237012306E+003
0.3299999999999992E-006,0.4983500000000001E+021,0.3496770000000001E+022,0.0000000000000000E+000,0.4200000000000001E+018,0.2200000000000000E+018,0.9600000000000001E+018,0.3996720000000001E+022,0.4015695506132210E+003,0.3997041202957406E+003,0.0000000000000000E+000,0.4301802244634544E+003,0.2028154120828253E+003,0.5412512513085421E+003,0.3999630843693890E+003
0.3399999999999992E-006,0.4983800000000001E+021,0.3496990000000000E+022,0.0000000000000000E+000,0.3400000000000001E+018,0.2100000000000000E+018,0.8900000000000001E+018,0.3996810000000000E+022,0.4015626243396336E+003,0.3997024654131671E+003,0.0000000000000000E+000,0.3735023718485538E+003,0.1978990961208493E+003,0.5119168778071867E+003,0.3999465726120181E+003
0.3499999999999991E-006,0.4983900000000001E+021,0.3497150000000000E+022,0.0000000000000000E+000,0.3000000000000001E+018,0.1800000000000000E+018,0.8400000000000001E+018,0.3996860000000001E+022,0.4015603241517221E+003,0.3997010610554253E+003,0.0000000000000000E+000,0.3300184849204210E+003,0.1785058103573893E+003,0.4892612759916303E+003,0.3999365331002664E+003
0.3599999999999991E-006,0.4984100000000001E+021,0.3497250000000001E+022,0.0000000000000000E+000,0.2700000000000000E+018,0.1700000000000000E+018,0.8000000000000001E+018,0.3996900000000000E+022,0.4015560369269594E+003,0.3997019424134826E+003,0.0000000000000000E+000,0.3009674978230011E+003,0.1846083893142447E+003,0.4835441538791861E+003,0.3999341095459023E+003
0.3699999999999991E-006,0.4984400000000001E+021,0.3497440000000001E+022,0.0000000000000000E+000,0.2500000000000000E+018,0.1200000000000000E+018,0.7200000000000001E+018,0.3996970000000001E+022,0.4015398976026440E+003,0.3996981948110238E+003,0.0000000000000000E+000,0.2939800642910531E+003,0.1460994409416712E+003,0.4371540730878398E+003,0.3999203844168301E+003
0.3799999999999990E-006,0.4984500000000001E+021,0.3497600000000001E+022,0.0000000000000000E+000,0.2000000000000000E+018,0.1200000000000000E+018,0.6800000000000001E+018,0.3997050000000002E+022,0.4015360373955564E+003,0.3996962767012394E+003,0.0000000000000000E+000,0.2324017857171806E+003,0.1460994409416712E+003,0.4190770160011865E+003,0.3999130158219205E+003
