  TIME     ,002-W-El      ,003 -W-Mag                  
    0.12381494035193E-008,    0.89278393086162E+012,    0.29589002179588E+012 
    0.12500568736953E-008,    0.88582635601960E+012,    0.30600586742149E+012 
    0.12619643438713E-008,    0.87701210714321E+012,    0.31631457439597E+012 
    0.12738718140472E-008,    0.86639526574608E+012,    0.32677913058985E+012 
    0.12857792842232E-008,    0.85404201420596E+012,    0.33736076839163E+012 
    0.12976867543992E-008,    0.84003034556956E+012,    0.34801912544855E+012 
    0.13095942245751E-008,    0.82444968518118E+012,    0.35871242207209E+012 
    0.13215016947511E-008,    0.80740042599408E+012,    0.36939765477647E+012 
    0.13334091649271E-008,    0.78899338013920E+012,    0.38003080526128E+012 
    0.13453166351031E-008,    0.76934915000816E+012,    0.39056706398401E+012 
    0.13572241052790E-008,    0.74859742275121E+012,    0.40096106729753E+012 
    0.13691315754550E-008,    0.72687619269022E+012,    0.41116714695254E+012 
    0.13810390456310E-008,    0.70433091669918E+012,    0.42113959058982E+012 
    0.13929465158069E-008,    0.68111360810844E+012,    0.43083291167423E+012 
    0.14048539859829E-008,    0.65738187514385E+012,    0.44020212715610E+012 
    0.14167614561589E-008,    0.63329791031795E+012,    0.44920304098875E+012 
    0.14286689263348E-008,    0.60902743754985E+012,    0.45779253148810E+012 
    0.14405763965108E-008,    0.58473862410291E+012,    0.46592884039410E+012 
    0.14524838666868E-008,    0.56060096469810E+012,    0.47357186138835E+012 
    0.14643913368627E-008,    0.53678414538539E+012,    0.48068342573963E+012 
    0.14762988070387E-008,    0.51345689493693E+012,    0.48722758269239E+012 
    0.14882062772147E-008,    0.49078583166435E+012,    0.49317087218381E+012 
    0.15001137473906E-008,    0.46893431365675E+012,    0.49848258747428E+012 
    0.15120212175666E-008,    0.44806130048582E+012,    0.50313502530463E+012 
    0.15239286877426E-008,    0.42832023442750E+012,    0.50710372125079E+012 
    0.15358361579185E-008,    0.40985794920449E+012,    0.51036766803215E+012 
    0.15477436280945E-008,    0.39281361415842E+012,    0.51290951464244E+012 
    0.15596510982705E-008,    0.37731772161287E+012,    0.51471574430906E+012 
    0.15715585684464E-008,    0.36349112498698E+012,    0.51577682944650E+012 
    0.15834660386224E-008,    0.35144413496225E+012,    0.51608736194873E+012 
    0.15953735087984E-008,    0.34127568069296E+012,    0.51564615736164E+012 
    0.16072809789743E-008,    0.33307254268114E+012,    0.51445633168594E+012 
    0.16191884491503E-008,    0.32690866351271E+012,    0.51252534978134E+012 
    0.16310959193263E-008,    0.32284454217199E+012,    0.50986504457014E+012 
    0.16430033895022E-008,    0.32092671712060E+012,    0.50649160647103E+012 
    0.16549108596782E-008,    0.32118734274540E+012,    0.50242554272827E+012 
    0.16668183298542E-008,    0.32364386315271E+012,    0.49769160653558E+012 
    0.16787258000301E-008,    0.32829878661734E+012,    0.49231869608659E+012 
    0.16906332702061E-008,    0.33513956328822E+012,    0.48633972391156E+012 
    0.17025407403821E-008,    0.34413856801519E+012,    0.47979145708342E+012 
    0.17144482105580E-008,    0.35525318939742E+012,    0.47271432909239E+012 
    0.17263556807340E-008,    0.36842602537169E+012,    0.46515222439765E+012 
    0.17382631509100E-008,    0.38358518486254E+012,    0.45715223686499E+012 
    0.17501706210859E-008,    0.40064469421517E+012,    0.44876440349164E+012 
    0.17620780912619E-008,    0.41950500633135E+012,    0.44004141500121E+012 
    0.17739855614379E-008,    0.44005360963614E+012,    0.43103830506419E+012 
    0.17858930316138E-008,    0.46216573322616E+012,    0.42181212006107E+012 
    0.17978005017898E-008,    0.48570514379472E+012,    0.41242157145521E+012 
    0.18097079719658E-008,    0.51052502920251E+012,    0.40292667298164E+012 
    0.18216154421417E-008,    0.53646896287076E+012,    0.39338836498395E+012 
    0.18335229123177E-008,    0.56337194252346E+012,    0.38386812834487E+012 
    0.18454303824937E-008,    0.59106149620084E+012,    0.37442759055529E+012 
    0.18573378526696E-008,    0.61935884791482E+012,    0.36512812655143E+012 
