001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-NumDens-Spec-005,007-NumDens-Spec-006,008-TempTra-001,009-TempTra-002,010-TempTra-003,011-TempTra-004,012-TempTra-005,013-TempTra-006,014-TempVib001,015-TempVib002,016-TempVib003,017-TempVib004,018-TempVib005,019-XiVibMean001,020-XiVibMean002,021-XiVibMean003,022-XiVibMean004,023-XiVibMean005,024-TempRot001,025-TempRot002,026-TempRot003,027-TempRot004,028-TempRot005,029-TempTotal001,030-TempTotal002,031-TempTotal003,032-TempTotal004,033-TempTotal005,034-TempTotal006
0.2859999999999991E-007,0.4502121698050353E+023,0.8406129396192961E+023,0.1674669148360942E+024,0.5840996132990285E+022,0.7152342308520238E+022,0.3095427642200379E+024,0.2488704917378453E+005,0.2446375138299216E+005,0.2522606221815369E+005,0.2365119013877465E+005,0.2369463090537191E+005,0.2490463406918063E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2502623989804224E+005,0.2212135533293291E+005,0.2163331538002075E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1867473469732450E+001,0.1899016673701203E+001,0.1876069560569478E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2529278860957481E+005,0.2043416868404542E+005,0.2323235810792976E+005,0.2488704917378453E+005,0.2446375138299216E+005,0.2519115708168934E+005,0.2229748639294068E+005,0.2299776231430896E+005,0.2484410389780092E+005
0.2879999999999990E-007,0.4548669482143591E+023,0.8422646351838949E+023,0.1672366784846653E+024,0.5760913923797617E+022,0.7147337170445697E+022,0.3098580879187340E+024,0.2483827012845072E+005,0.2440932340972423E+005,0.2519839902243996E+005,0.2365950657336021E+005,0.2357471618939819E+005,0.2486498007668450E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2495878205133538E+005,0.2223769633896619E+005,0.2153423548461147E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1867123577281317E+001,0.1899535837056812E+001,0.1875511688957197E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2533049925874169E+005,0.2023812238563337E+005,0.2274082830752772E+005,0.2483827012845072E+005,0.2440932340972423E+005,0.2517172205622536E+005,0.2227629064484488E+005,0.2277554349866083E+005,0.2480643097788915E+005
0.2899999999999990E-007,0.4592714697199559E+023,0.8440664848907298E+023,0.1670164524093855E+024,0.5670821438455865E+022,0.7147337170445697E+022,0.3101684064793556E+024,0.2485201870044861E+005,0.2439747063294202E+005,0.2520198738759233E+005,0.2365596765796635E+005,0.2361926633335535E+005,0.2486649522617922E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2488495614752610E+005,0.2232858719588041E+005,0.2175317109689712E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1866738532414143E+001,0.1899937732684104E+001,0.1876737767438741E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2524614452371226E+005,0.2022265946211919E+005,0.2227625328083769E+005,0.2485201870044861E+005,0.2439747063294202E+005,0.2512866288904123E+005,0.2229529499960790E+005,0.2271939233463534E+005,0.2478139877008363E+005
0.2919999999999990E-007,0.4627250149913898E+023,0.8451175638863837E+023,0.1668312623006274E+024,0.5605754643486821E+022,0.7172362860818406E+022,0.3103936376927100E+024,0.2483966198883735E+005,0.2440946652000328E+005,0.2515196388503725E+005,0.2338533887361333E+005,0.2342043641130776E+005,0.2483132858838941E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2484470818840253E+005,0.2230284514739043E+005,0.2168759503032520E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1866527675099076E+001,0.1899824234722988E+001,0.1876373069646114E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2526978350564875E+005,0.2034581612209131E+005,0.2209353274773025E+005,0.2483966198883735E+005,0.2440946652000328E+005,0.2510275968229257E+005,0.2220623734271984E+005,0.2256166040125294E+005,0.2476374341991573E+005
0.2939999999999990E-007,0.4661285088820782E+023,0.8462186942627829E+023,0.1666460721918694E+024,0.5535682710443236E+022,0.7202393689265657E+022,0.3106188689060644E+024,0.2483572684572914E+005,0.2433325013094004E+005,0.2512873360368497E+005,0.2349017884404130E+005,0.2336523595356255E+005,0.2479795813328160E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2489337969353620E+005,0.2236557592748781E+005,0.2156262140340409E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1866782578772684E+001,0.1900100368416869E+001,0.1875672028958509E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2518288808103421E+005,0.2055709513578135E+005,0.2210521465677915E+005,0.2483572684572914E+005,0.2433325013094004E+005,0.2508052388962810E+005,0.2233033689895637E+005,0.2250696984380069E+005,0.2473152286817147E+005
0.2959999999999990E-007,0.4704829790069296E+023,0.8480705953503633E+023,0.1664158358404404E+024,0.5430574810877857E+022,0.7227419379638366E+022,0.3109291874666860E+024,0.2486437208450106E+005,0.2430650527582974E+005,0.2507149473620580E+005,0.2319296941967736E+005,0.2342428074312008E+005,0.2476040186545011E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2490758558295088E+005,0.2256753315879700E+005,0.2137665070169781E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1866856794869787E+001,0.1900979115205930E+001,0.1874613987956024E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2512884417113553E+005,0.2022493359749321E+005,0.2205383272960617E+005,0.2486437208450106E+005,0.2430650527582974E+005,0.2504363685998233E+005,0.2216050535983188E+005,0.2246722163313023E+005,0.2470521266699686E+005
0.2979999999999990E-007,0.4748374491317810E+023,0.8505231130068887E+023,0.1661805943509370E+024,0.5290430944790687E+022,0.7262455346160158E+022,0.3112695368557548E+024,0.2467294909652701E+005,0.2425037700707154E+005,0.2504381054659430E+005,0.2316617638516666E+005,0.2347248596036863E+005,0.2470186119787038E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2488936796653699E+005,0.2266062655101178E+005,0.2154258064909164E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1866761605255348E+001,0.1901378995840105E+001,0.1875558870130985E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2512030994766964E+005,0.2028399297014192E+005,0.2216719525612428E+005,0.2467294909652701E+005,0.2425037700707154E+005,0.2502410567196849E+005,0.2219164525593641E+005,0.2256634399413041E+005,0.2465363587798077E+005
0.2999999999999990E-007,0.4782909944032148E+023,0.8525752196174509E+023,0.1660254350706262E+024,0.5205343597523477E+022,0.7227419379638366E+022,0.3115448194498546E+024,0.2476605659411749E+005,0.2424501478808192E+005,0.2500133842169610E+005,0.2324442569744549E+005,0.2343259855146471E+005,0.2469249402415155E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2480261132145550E+005,0.2251657155470396E+005,0.2156087791527668E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1866306416687999E+001,0.1900758834608270E+001,0.1875662192635139E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2508417029283282E+005,0.2064251125346733E+005,0.2224590807962215E+005,0.2476605659411749E+005,0.2424501478808192E+005,0.2497145016626133E+005,0.2228984892727316E+005,0.2257681238697560E+005,0.2464076395131794E+005
0.3019999999999990E-007,0.4827956186703024E+023,0.8550777886547219E+023,0.1657851884430482E+024,0.5065199731436306E+022,0.7257450208085616E+022,0.3118951791150725E+024,0.2467273245240215E+005,0.2424798563615298E+005,0.2502427151953327E+005,0.2337359248108149E+005,0.2350031277419006E+005,0.2469476431836378E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2477043350451916E+005,0.2237188435173957E+005,0.2138441544496898E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1866136797147135E+001,0.1900128053182235E+001,0.1874658523765571E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2496499918732664E+005,0.2041039966844836E+005,0.2197758021766945E+005,0.2467273245240215E+005,0.2424798563615298E+005,0.2493801615611086E+005,0.2223886580897016E+005,0.2248032755566061E+005,0.2460675407425426E+005
0.3039999999999990E-007,0.4856985987535367E+023,0.8573801521690112E+023,0.1656300291627374E+024,0.4940071279572760E+022,0.7277470760383783E+022,0.3121554462949487E+024,0.2462655168056228E+005,0.2421809209334540E+005,0.2500843917308860E+005,0.2290268919976039E+005,0.2346343050078981E+005,0.2466259442287336E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2471016246052726E+005,0.2225156482361878E+005,0.2115189069147709E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1865817929043612E+001,0.1899597368401579E+001,0.1873310991625131E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2500612784844549E+005,0.2023382678653353E+005,0.2208411805845703E+005,0.2462655168056228E+005,0.2421809209334540E+005,0.2492670780572659E+005,0.2194979316440846E+005,0.2243207053094883E+005,0.2458010271745568E+005
