 wavelength,emission_coefficient,absorption_coefficient
   867.95985985985988      ,   1601178548.7039106      ,   2.8153830519604708E-005
   867.96116116116116      ,   1614023886.8032296      ,   2.8379692571096708E-005
   867.96246246246255      ,   1627219963.0944467      ,   2.8611721719705670E-005
   867.96376376376372      ,   1640657021.8344386      ,   2.8847988109081126E-005
   867.96506506506501      ,   1653994748.5185766      ,   2.9082507923805094E-005
   867.96636636636640      ,   1667498662.5825150      ,   2.9319949843205755E-005
   867.96766766766768      ,   1681171572.9806118      ,   2.9560363257668098E-005
   867.96896896896897      ,   1695016348.6266179      ,   2.9803798611854624E-005
   867.97027027027025      ,   1709157236.0123367      ,   3.0052440555738147E-005
   867.97157157157153      ,   1723735376.2621737      ,   3.0308770800867380E-005
   867.97287287287293      ,   1738125584.2976644      ,   3.0561796597709963E-005
   867.97417417417410      ,   1752700061.3282175      ,   3.0818062431749652E-005
   867.97547547547549      ,   1767462010.6385546      ,   3.1077624626958074E-005
   867.97677677677677      ,   1782414705.3238087      ,   3.1340540734796771E-005
   867.97807807807806      ,   1941199483.9640951      ,   3.4135196472539610E-005
   867.97937937937934      ,   2063260618.0415874      ,   3.6283427088998192E-005
   867.98068068068062      ,   2079850889.0109417      ,   3.6575156502027654E-005
   867.98198198198202      ,   2096652531.4632263      ,   3.6870602622371652E-005
   867.98328328328330      ,   2113669265.7506196      ,   3.7169830866720886E-005
   867.98458458458458      ,   2130917017.2943623      ,   3.7473121484813473E-005
   867.98588588588586      ,   2148400348.1789966      ,   3.7780554706385379E-005
   867.98718718718715      ,   2166610830.8927054      ,   3.8100773242159387E-005
   867.98848848848854      ,   2184603191.9210854      ,   3.8417156629546174E-005
   867.98978978978971      ,   2202769880.8254480      ,   3.8736605385775421E-005
   867.99109109109111      ,   2221176229.1195188      ,   3.9060268248515315E-005
   867.99239239239239      ,   2239831693.9059477      ,   3.9388311601016463E-005
   867.99369369369367      ,   2258763931.5291419      ,   3.9721222169129510E-005
   867.99499499499507      ,   2278374805.6189055      ,   4.0066064844097450E-005
   867.99629629629624      ,   2297978179.7364149      ,   4.0410775779538802E-005
   867.99759759759763      ,   2317667966.7186093      ,   4.0757006264088602E-005
   867.99889889889891      ,   2337625687.9237018      ,   4.1107948023878995E-005
   868.00020020020020      ,   2357856386.1153364      ,   4.1463689727970165E-005
   868.00150150150148      ,   2378402636.7795935      ,   4.1824980697167149E-005
   868.00280280280276      ,   2399575535.5359125      ,   4.2197289630219164E-005
   868.00410410410416      ,   2420988073.3835812      ,   4.2573812277106498E-005
   868.00540540540544      ,   2442383206.7883139      ,   4.2950029040693333E-005
   868.00670670670661      ,   2464078963.5697503      ,   4.3331531866570001E-005
   868.00800800800801      ,   2486081189.7212272      ,   4.3718423547220439E-005
   868.00930930930929      ,   2508426625.3178029      ,   4.4111350672541621E-005
   868.01061061061068      ,   2531350672.8407989      ,   4.4514451421834003E-005
   868.01191191191185      ,   2554802307.9535298      ,   4.4926828791199986E-005
   868.01321321321313      ,   2578113907.6094427      ,   4.5336744040342576E-005
