 wavelength,emission_coefficient,absorption_coefficient
   777.39448897795592      ,   16398360245259.600      ,  0.20971712823251634     
   777.39589178356721      ,   22178887139098.594      ,  0.28364375504350930     
   777.39729458917839      ,   29182726409077.863      ,  0.37321521131013330     
   777.39869739478968      ,   37356736626135.883      ,  0.47775187618454801     
   777.40010020040086      ,   46619361540849.094      ,  0.59621073429506422     
   777.40150300601204      ,   56571153069455.836      ,  0.72348328083979885     
   777.40290581162333      ,   66635963112202.703      ,  0.85220121076708755     
   777.40430861723451      ,   76343358203410.969      ,  0.97634819375669146     
   777.40571142284580      ,   85076150953872.766      ,   1.0880310770588801     
   777.40711422845698      ,   92220581287465.188      ,   1.1794005395158811     
   777.40851703406827      ,   97237658107843.312      ,   1.2435634735749084     
   777.40991983967933      ,   99706523739469.359      ,   1.2751375691353615     
   777.41132264529062      ,   99787917893253.062      ,   1.2761785115733508     
   777.41272545090180      ,   97641829671435.734      ,   1.2487323868021567     
   777.41412825651310      ,   92936802644821.656      ,   1.1885602290372277     
   777.41553106212439      ,   86038859471596.531      ,   1.1003430683862727     
   777.41693386773557      ,   77472669707664.984      ,  0.99079085553933954     
   777.41833667334686      ,   67729798823774.320      ,  0.86619017608689652     
   777.41973947895792      ,   57593761800754.500      ,  0.73656133104646393     
   777.42114228456921      ,   47696808315624.344      ,  0.60999010338214477     
   777.42254509018039      ,   38425969335946.336      ,  0.49142619653802472     
   777.42394789579168      ,   30113077525815.727      ,  0.38511338793226785     
   777.42535070140286      ,   22953672267735.016      ,  0.29355241274171107     
   777.42675350701415      ,   17003789771510.760      ,  0.21745991289964517     
   777.42815631262533      ,   12205889249232.389      ,  0.15610000456170348     
   777.42955911823651      ,   8578343997641.7754      ,  0.10970766212892097     
   777.43096192384780      ,   5870382486496.8789      ,   7.5075791568788838E-002
   777.43236472945898      ,   3913592012506.7925      ,   5.0050578310105523E-002
   777.43376753507027      ,   2544073406483.7876      ,   3.2535930954277661E-002
   777.43517034068145      ,   1615243609143.4658      ,   2.0657212239502645E-002
   777.43657314629263      ,   999412412418.69702      ,   1.2781403841539819E-002
   777.43797595190381      ,   612477088910.98645      ,   7.8329237122837948E-003
   777.43937875751510      ,   373852015473.84467      ,   4.7811697318137746E-003
   777.44078156312628      ,   229247849650.93323      ,   2.9318404932345858E-003
   777.44218436873757      ,   143680868408.90411      ,   1.8375323806635929E-003
   777.44358717434886      ,   94011860674.307526      ,   1.2023201526133146E-003
   777.44498997995993      ,   65429807734.205307      ,   8.3678705392249068E-004
   777.44639278557122      ,   48982165741.830048      ,   6.2643982318183271E-004
   777.44779559118240      ,   39484865713.862526      ,   5.0497987883012685E-004
   777.44919839679369      ,   33600422010.621487      ,   4.2972442497073838E-004
   777.45060120240487      ,   29692638035.956898      ,   3.7974829393755193E-004
   777.45200400801616      ,   26874645600.731552      ,   3.4370941040147115E-004
   777.45340681362723      ,   24677330728.252838      ,   3.1560831931771576E-004
   777.45480961923852      ,   22832348368.203613      ,   2.9201318141718876E-004
   777.45621242484981      ,   21261741836.820538      ,   2.7192701247311568E-004
   777.45761523046099      ,   19877906607.014278      ,   2.5422944847129203E-004
   777.45901803607228      ,   18637369623.330391      ,   2.3836451663113099E-004
   777.46042084168346      ,   17517178805.710033      ,   2.2403868510302103E-004
   777.46182364729464      ,   16501361838.725302      ,   2.1104768595153338E-004
   777.46322645290581      ,   15571943168.117857      ,   1.9916163327611251E-004
   777.46462925851711      ,   14721660120.538549      ,   1.8828764162899162E-004
   777.46603206412829      ,   13955772474.695999      ,   1.7849297918175850E-004
   777.46743486973958      ,   13255245840.465139      ,   1.6953421766692113E-004
   777.46883767535076      ,   12613474888.958263      ,   1.6132688231196030E-004
   777.47024048096205      ,   12024625972.195246      ,   1.5379636775165420E-004
