001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-NumDens-Spec-005,007-NumDens-Spec-006,008-NumDens-Spec-007,009-NumDens-Spec-008,010-NumDens-Spec-009,011-NumDens-Spec-010,012-NumDens-Spec-011,013-NumDens-Spec-012,014-NumDens-Spec-013,015-NumDens-Spec-014,016-NumDens-Spec-015,017-NumDens-Spec-016,018-NumDens-Spec-017,019-NumDens-Spec-018,020-NumDens-Spec-019
0.2100000000000076E-005,0.1444783156597237E+022,0.3199284257247121E+021,0.3880984062999714E+021,0.2037992121191931E+022,0.2133790463938661E+022,0.3733833003608185E+020,0.3647744628726066E+022,0.1081109824101029E+020,0.2883960558550987E+021,0.1201233137890033E+020,0.4868297599583830E+022,0.6423594204866950E+021,0.2851126852781993E+022,0.6084245843413016E+021,0.6506679496904344E+019,0.7207398827340197E+019,0.5325466911312478E+021,0.6216381488580919E+020,0.1989952805952479E+023
0.2200000000000084E-005,0.8213431580323099E+021,0.2711783808786749E+021,0.3948052913198574E+021,0.2325086841147649E+022,0.2142299198665382E+022,0.6546720601500679E+020,0.4214326258764198E+022,0.1611654460002461E+020,0.3377467172700809E+021,0.1711757221493297E+020,0.4768595249138958E+022,0.9275521879740870E+021,0.4003009329257043E+022,0.6580755540407563E+021,0.5906062927959328E+019,0.7607809873303541E+019,0.5562710456045760E+021,0.8829063563491741E+020,0.2162079504335972E+023
0.2300000000000091E-005,0.4059166978453402E+021,0.1846895949505925E+021,0.3420511360141868E+021,0.2415479634773874E+022,0.2187345441336259E+022,0.9830091178400101E+020,0.4532352732020584E+022,0.2472538208823651E+020,0.3759859721595803E+021,0.2522589589569069E+020,0.4615037613012015E+022,0.1273807639970889E+022,0.5256896519691256E+022,0.7031217967116325E+021,0.4604727028578459E+019,0.8008220919266885E+019,0.5669820410840954E+021,0.1235268076796917E+021,0.2314405876496577E+023
0.2400000000000099E-005,0.1738784967095822E+021,0.1118147845852639E+021,0.2493559788736726E+021,0.2294555498892944E+022,0.2256015935718972E+022,0.1394431467567346E+021,0.4644367722128830E+022,0.3523617204477429E+020,0.3921025167596048E+021,0.3263350024601256E+020,0.4440958910779451E+022,0.1650394228699414E+022,0.6462434076325394E+022,0.7487686559514537E+021,0.3303391129197590E+019,0.8108323680757721E+019,0.5721873846816189E+021,0.1651695564598795E+021,0.2438072828042356E+023
0.2500000000000106E-005,0.6476648668457094E+020,0.6086247898642833E+020,0.1626669874226086E+021,0.2020073726885072E+022,0.2330792698552627E+022,0.1732778801406372E+021,0.4615838435103942E+022,0.5085220283734472E+020,0.4020126901471976E+021,0.4104213221124279E+020,0.4255768802021404E+022,0.2035889963200624E+022,0.7538338556828901E+022,0.7947158234757475E+021,0.3003082844725082E+019,0.8208426442248557E+019,0.5743896454344173E+021,0.2091146687543565E+021,0.2534161468797410E+023
0.2600000000000114E-005,0.2282342961991062E+020,0.2632702627208988E+020,0.1021048167206528E+021,0.1681526187523064E+022,0.2418382614857108E+022,0.2082137439009390E+021,0.4498417895875191E+022,0.6837018609824103E+020,0.3835937820328838E+021,0.5275415530567061E+020,0.4071880029162739E+022,0.2364126918129075E+022,0.8510936987473864E+022,0.8413637103304771E+021,0.2502569037270902E+019,0.8208426442248557E+019,0.5732885150580181E+021,0.2573641997929395E+021,0.2609218519363238E+023
0.2700000000000121E-005,0.7007193304358524E+019,0.1361397556275370E+020,0.5805960166468492E+020,0.1378715334013285E+022,0.2486452492670877E+022,0.2302363514289229E+021,0.4303818127537005E+022,0.8268488099143059E+020,0.3670768263868959E+021,0.6456628116158926E+020,0.3927031333285499E+022,0.2616085568801510E+022,0.9397146734952235E+022,0.8939176601131660E+021,0.2102157991307557E+019,0.8408631965230230E+019,0.5729882067735456E+021,0.3104186633830826E+021,0.2672033002198738E+023
0.2800000000000129E-005,0.3203288367706754E+019,0.5705857404977656E+019,0.3143226710812252E+020,0.1109338802841445E+022,0.2541709217013818E+022,0.2388451889171349E+021,0.4096705514012466E+022,0.1073101603181763E+021,0.3448540133359302E+021,0.7227419379638364E+020,0.3808109252634385E+022,0.2819594482912380E+022,0.1018745803692239E+023,0.9469721237033091E+021,0.1701746945344213E+019,0.8708940249702737E+019,0.5717869736356556E+021,0.3647744628726066E+021,0.2726048452299194E+023
0.2900000000000136E-005,0.1101130376399197E+019,0.3303391129197590E+019,0.1711757221493297E+020,0.9220465360920910E+021,0.2577646108389029E+022,0.2261321382077987E+021,0.3860262791371111E+022,0.1287321512772152E+021,0.3175259594489320E+021,0.8378601136782978E+020,0.3733332489800731E+022,0.2968547392010743E+022,0.1090769740584895E+023,0.9948212436959288E+021,0.1901952468325885E+019,0.7607809873303541E+019,0.5697849184058389E+021,0.4155265629484605E+021,0.2773687356492682E+023
0.3000000000000144E-005,0.6006165689450163E+018,0.1701746945344213E+019,0.1031058443355611E+020,0.7658862281663866E+021,0.2610980327965477E+022,0.2136192930214441E+021,0.3616212258856452E+022,0.1531572250809792E+021,0.3006085927569807E+021,0.8779012182746323E+020,0.3658255418682604E+022,0.3081563409733897E+022,0.1158529299838042E+023,0.1040368000174259E+022,0.1601644183853377E+019,0.7908118157776049E+019,0.5669820410840954E+021,0.4638761967485343E+021,0.2816671482276847E+023
