001-TIME,002-TempTra-001
1.28320000000003E-003,8.13811461132746E+002
1.28360000000003E-003,8.13888144978611E+002
1.28400000000003E-003,8.13707719909463E+002
1.28440000000003E-003,8.13703337286433E+002
1.28480000000003E-003,8.13853142476219E+002
1.28520000000003E-003,8.13968238424690E+002
1.28560000000003E-003,8.13969166874176E+002
1.28600000000003E-003,8.14133926879700E+002
1.28640000000003E-003,8.14374341096959E+002
1.28680000000003E-003,8.14445775032260E+002
1.28720000000003E-003,8.14489388425885E+002
1.28760000000003E-003,8.14522383884463E+002
1.28800000000003E-003,8.14583464045106E+002
1.28840000000003E-003,8.14546819823844E+002
1.28880000000003E-003,8.14834664025310E+002
1.28920000000003E-003,8.14613607506101E+002
1.28960000000003E-003,8.14629706860099E+002
1.29000000000003E-003,8.14696504864415E+002
1.29040000000003E-003,8.15041765028667E+002
1.29080000000003E-003,8.14962838360461E+002
1.29120000000003E-003,8.15165936423053E+002
1.29160000000003E-003,8.15382111692623E+002
1.29200000000003E-003,8.15570724087869E+002
1.29240000000003E-003,8.15558126263435E+002
1.29280000000003E-003,8.15783371040875E+002
1.29320000000003E-003,8.15981631636410E+002
1.29360000000003E-003,8.16054455565490E+002
1.29400000000003E-003,8.16230802390158E+002
1.29440000000003E-003,8.16508556668383E+002
1.29480000000003E-003,8.16741792761712E+002
1.29520000000003E-003,8.16894701559520E+002
1.29560000000003E-003,8.17142088830284E+002
1.29600000000003E-003,8.16904263273367E+002
1.29640000000003E-003,8.17092978824831E+002
1.29680000000003E-003,8.17163348122168E+002
1.29720000000003E-003,8.17240164660771E+002
1.29760000000003E-003,8.17351025292493E+002
1.29800000000003E-003,8.17059281466675E+002
1.29840000000003E-003,8.17035081673521E+002
1.29880000000003E-003,8.17094556732645E+002
1.29920000000003E-003,8.16935087579801E+002
1.29960000000003E-003,8.16930572927636E+002
1.30000000000003E-003,8.17180834938612E+002
1.30040000000003E-003,8.17257644663350E+002
1.30080000000003E-003,8.16965063370844E+002
1.30120000000003E-003,8.17103189919042E+002
1.30160000000003E-003,8.17217126296100E+002
1.30200000000003E-003,8.17313791768112E+002
1.30240000000003E-003,8.17547882999532E+002
1.30280000000003E-003,8.17703922935739E+002
1.30320000000003E-003,8.17911173442212E+002
1.30360000000003E-003,8.18075367556446E+002
1.30400000000003E-003,8.18073381085071E+002
1.30440000000003E-003,8.17893191327738E+002
1.30480000000003E-003,8.18186834818276E+002
1.30520000000003E-003,8.18062875967993E+002
1.30560000000003E-003,8.18260190559401E+002
1.30600000000003E-003,8.18257030524611E+002
1.30640000000003E-003,8.18343612709019E+002
1.30680000000003E-003,8.18274096882988E+002
1.30720000000003E-003,8.18618001064667E+002
1.30760000000003E-003,8.18841265897922E+002
1.30800000000003E-003,8.19122077464553E+002
1.30840000000003E-003,8.19126523431695E+002
1.30880000000003E-003,8.18946714888846E+002
1.30920000000003E-003,8.19205906683428E+002
1.30960000000003E-003,8.18959465516083E+002
1.31000000000003E-003,8.19088714527814E+002
1.31040000000003E-003,8.18936535209774E+002
1.31080000000003E-003,8.19138070307410E+002
1.31120000000003E-003,8.19153457835412E+002
1.31160000000003E-003,8.19158365393091E+002
1.31200000000003E-003,8.19300344930864E+002
1.31240000000003E-003,8.19453514368537E+002
1.31280000000003E-003,8.19514814568462E+002
1.31320000000003E-003,8.19580082034514E+002
1.31360000000003E-003,8.19732645990521E+002
1.31400000000003E-003,8.19779588428227E+002
1.31440000000003E-003,8.19907405377036E+002
1.31480000000003E-003,8.19831711802130E+002
1.31520000000003E-003,8.20062800297300E+002
1.31560000000003E-003,8.19928512406665E+002
1.31600000000003E-003,8.20194755029287E+002
1.31640000000003E-003,8.20211570948475E+002
1.31680000000003E-003,8.20368044963399E+002
1.31720000000003E-003,8.20592622461692E+002
1.31760000000003E-003,8.20651833279459E+002
1.31800000000003E-003,8.20466200521955E+002
1.31840000000003E-003,8.20488740578986E+002
1.31880000000003E-003,8.20627901178273E+002
1.31920000000003E-003,8.20899331773634E+002
1.31960000000003E-003,8.20901098927543E+002
1.32000000000003E-003,8.21119668136431E+002
1.32040000000003E-003,8.21439955505284E+002
1.32080000000003E-003,8.21651746714638E+002
1.32120000000003E-003,8.21912573385092E+002
1.32160000000003E-003,8.21927087823592E+002
1.32200000000003E-003,8.22085172943276E+002
1.32240000000003E-003,8.22002970428293E+002
1.32280000000003E-003,8.22250725984757E+002
1.32320000000003E-003,8.22462144353872E+002
1.32360000000003E-003,8.22556003770233E+002
1.32400000000003E-003,8.22537238745589E+002
1.32440000000003E-003,8.22939862279941E+002
1.32480000000003E-003,8.22875403556882E+002
1.32520000000003E-003,8.23141623580419E+002
1.32560000000003E-003,8.23129155355538E+002
1.32600000000003E-003,8.23040035329972E+002
1.32640000000003E-003,8.23195842763377E+002
1.32680000000003E-003,8.23437085564987E+002
1.32720000000003E-003,8.23358511505697E+002
1.32760000000003E-003,8.23675310894723E+002
1.32800000000003E-003,8.23766118781142E+002
1.32840000000003E-003,8.23595697264290E+002
1.32880000000003E-003,8.23639397134270E+002
1.32920000000003E-003,8.23711232025459E+002
1.32960000000003E-003,8.23929209179908E+002
1.33000000000003E-003,8.23740786584308E+002
1.33040000000003E-003,8.24152780197149E+002
1.33080000000003E-003,8.24184800810359E+002
1.33120000000003E-003,8.24394422262000E+002
1.33160000000003E-003,8.24654422263847E+002
1.33200000000003E-003,8.24768764222308E+002
1.33240000000003E-003,8.25046010360698E+002
1.33280000000003E-003,8.25119203502136E+002
1.33320000000003E-003,8.24869815595464E+002
1.33360000000003E-003,8.24842573099207E+002
1.33400000000003E-003,8.25065873861806E+002
1.33440000000003E-003,8.25462226940401E+002
1.33480000000003E-003,8.25704995908506E+002
1.33520000000003E-003,8.25679657473091E+002
1.33560000000003E-003,8.25594939644385E+002
1.33600000000003E-003,8.25328123996353E+002
1.33640000000003E-003,8.25281555756652E+002
1.33680000000003E-003,8.25392470661440E+002
1.33720000000003E-003,8.25570198011525E+002
1.33760000000003E-003,8.25531474483592E+002
1.33800000000003E-003,8.25530045781888E+002
1.33840000000003E-003,8.25673868973172E+002
1.33880000000003E-003,8.25712061960839E+002
1.33920000000003E-003,8.25956554729368E+002
1.33960000000003E-003,8.26100454592082E+002
1.34000000000003E-003,8.26408234171054E+002
1.34040000000003E-003,8.26453717801932E+002
1.34080000000003E-003,8.26537045769190E+002
1.34120000000003E-003,8.26816803686756E+002
1.34160000000003E-003,8.26828132183503E+002
1.34200000000003E-003,8.26712101822705E+002
1.34240000000003E-003,8.27029130184065E+002
1.34280000000003E-003,8.26987154610492E+002
1.34320000000003E-003,8.27130431274461E+002
1.34360000000003E-003,8.27181316629281E+002
1.34400000000003E-003,8.27214029212849E+002
1.34440000000003E-003,8.27043151575077E+002
1.34480000000003E-003,8.27012929679897E+002
1.34520000000003E-003,8.27110097064769E+002
1.34560000000003E-003,8.27380746541356E+002
1.34600000000003E-003,8.27480611584030E+002
1.34640000000003E-003,8.27901498903008E+002
1.34680000000003E-003,8.28161792984281E+002
