001-TIME,002-E-El,003-E-Mag,004-E-phi,005-E-psi,006-E-pot
6.90633270206101E-010,1.65089325053073E+011,2.31077874060509E+011,0.00000000000000E+000,0.00000000000000E+000,3.96167199113582E+011
7.02540740382068E-010,1.71803337346985E+011,2.27384741254052E+011,0.00000000000000E+000,0.00000000000000E+000,3.99188078601037E+011
7.14448210558035E-010,1.79735032802209E+011,2.23597975411384E+011,0.00000000000000E+000,0.00000000000000E+000,4.03333008213593E+011
7.26355680734003E-010,1.88904510721243E+011,2.19742699586198E+011,0.00000000000000E+000,0.00000000000000E+000,4.08647210307442E+011
7.38263150909970E-010,1.99323728263108E+011,2.15844938045975E+011,0.00000000000000E+000,0.00000000000000E+000,4.15168666309082E+011
7.50170621085937E-010,2.10996259380210E+011,2.11931396608304E+011,0.00000000000000E+000,0.00000000000000E+000,4.22927655988515E+011
7.62078091261905E-010,2.23917117089013E+011,2.08029247110131E+011,0.00000000000000E+000,0.00000000000000E+000,4.31946364199144E+011
7.73985561437872E-010,2.38072636232938E+011,2.04165921498391E+011,0.00000000000000E+000,0.00000000000000E+000,4.42238557731328E+011
7.85893031613839E-010,2.53440414383583E+011,2.00368919723589E+011,0.00000000000000E+000,0.00000000000000E+000,4.53809334107171E+011
7.97800501789806E-010,2.69989309071207E+011,1.96665634319763E+011,0.00000000000000E+000,0.00000000000000E+000,4.66654943390971E+011
8.09707971965774E-010,2.87679490067199E+011,1.93083193324406E+011,0.00000000000000E+000,0.00000000000000E+000,4.80762683391605E+011
8.21615442141741E-010,3.06462545908083E+011,1.89648322075216E+011,0.00000000000000E+000,0.00000000000000E+000,4.96110867983298E+011
8.33522912317708E-010,3.26281644217833E+011,1.86387223448574E+011,0.00000000000000E+000,0.00000000000000E+000,5.12668867666407E+011
8.45430382493676E-010,3.47071745632754E+011,1.83325475297221E+011,0.00000000000000E+000,0.00000000000000E+000,5.30397220929975E+011
8.57337852669643E-010,3.68759871252742E+011,1.80487943211518E+011,0.00000000000000E+000,0.00000000000000E+000,5.49247814464260E+011
8.69245322845610E-010,3.91265423535266E+011,1.77898706271444E+011,0.00000000000000E+000,0.00000000000000E+000,5.69164129806709E+011
8.81152793021577E-010,4.14500560421530E+011,1.75580993169662E+011,0.00000000000000E+000,0.00000000000000E+000,5.90081553591192E+011
