  TIME     ,002-nPart-Spec-001     ,003-Charge     ,004-Charge-absError,005-Charge-relError,006-nPartIn-Spec-001     ,007-nPartOut-Spec-001     ,008-W-El      ,009 -W-Mag    ,010-Ekin-001     ,011-EkinIn-001     ,012-EkinOut-001      
    0.96096489636523E-011,    0.26180000000000E+004,   -0.41944981555400E-009,    0.11787323728881E-022,   -0.28101868904895E-013,    0.26100000000000E+003,    0.00000000000000E+000,    0.88059712841935E-008,    0.61282828061001E-009,    0.33976866059801E-004,    0.33976156039316E-005,    0.00000000000000E+000 
    0.10570613860018E-010,    0.28810000000000E+004,   -0.46158705829300E-009,    0.13545082530556E-022,   -0.29344589037326E-013,    0.26300000000000E+003,    0.00000000000000E+000,    0.12033693181501E-007,    0.88687094211614E-009,    0.37375863722220E-004,    0.34236509725441E-005,    0.00000000000000E+000 
    0.11531578756383E-010,    0.31420000000000E+004,   -0.50340386572600E-009,    0.14889251025954E-022,   -0.29577148765995E-013,    0.26100000000000E+003,    0.00000000000000E+000,    0.15708675416658E-007,    0.12209328179273E-008,    0.40746014566813E-004,    0.33976156039316E-005,    0.00000000000000E+000 
    0.12492543652748E-010,    0.34040000000000E+004,   -0.54538089081200E-009,    0.16957202557337E-022,   -0.31092403204833E-013,    0.26200000000000E+003,    0.00000000000000E+000,    0.19792403796453E-007,    0.16155746985614E-008,    0.44126146750498E-004,    0.34106332882379E-005,    0.00000000000000E+000 
    0.13453508549113E-010,    0.36660000000000E+004,   -0.58735791589800E-009,    0.18508166205874E-022,   -0.31510882385194E-013,    0.26200000000000E+003,    0.00000000000000E+000,    0.24263076116415E-007,    0.20716134436095E-008,    0.47503350379742E-004,    0.34106332882379E-005,    0.00000000000000E+000 
    0.14414473445479E-010,    0.39270000000000E+004,   -0.62917472333100E-009,    0.20162527430980E-022,   -0.32045990856459E-013,    0.26100000000000E+003,    0.00000000000000E+000,    0.29130807650053E-007,    0.25906253485953E-008,    0.50865043081532E-004,    0.33976156039316E-005,    0.00000000000000E+000 
    0.15375438341844E-010,    0.41890000000000E+004,   -0.67115174841700E-009,    0.22023683809224E-022,   -0.32814760389392E-013,    0.26200000000000E+003,    0.00000000000000E+000,    0.34429276243913E-007,    0.31755629143741E-008,    0.54236238529478E-004,    0.34106332882379E-005,    0.00000000000000E+000 
    0.16336403238209E-010,    0.44510000000000E+004,   -0.71312877350300E-009,    0.23471249881192E-022,   -0.32913059679107E-013,    0.26200000000000E+003,    0.00000000000000E+000,    0.40206851789951E-007,    0.38306889455731E-008,    0.57604400886865E-004,    0.34106332882379E-005,    0.00000000000000E+000 
    0.17297368134574E-010,    0.47140000000000E+004,   -0.75526601624200E-009,    0.25229008682867E-022,   -0.33404135947227E-013,    0.26300000000000E+003,    0.00000000000000E+000,    0.46522654282156E-007,    0.45613133746456E-008,    0.60982440320165E-004,    0.34236509725441E-005,    0.00000000000000E+000 
    0.18258333030939E-010,    0.49760000000000E+004,   -0.79724304132800E-009,    0.27193562637681E-022,   -0.34109501404220E-013,    0.26200000000000E+003,    0.00000000000000E+000,    0.53441972716069E-007,    0.53742403079001E-008,    0.64344388664460E-004,    0.34106332882379E-005,    0.00000000000000E+000 
