"001-time","PartNum","PartPosX","PartPosY","PartPosZ","PartVelX","PartVelY","PartVelZ","gamma","Element"
0.4600000000000000E-003,0.1000000000000000E+001,0.5005972720284468E-003,0.2500346261593233E-003,0.2499552528167584E-003,0.2547567070618319E-002,0.2452827220457368E-003,-.3606912548550233E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.4800000000000000E-003,0.1000000000000000E+001,0.5006497514276553E-003,0.2500385765998382E-003,0.2499477069967736E-003,0.2700372850227807E-002,0.1497613294428908E-003,-.3938907436325417E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.5000000000000000E-003,0.1000000000000000E+001,0.5007060466377565E-003,0.2500416363292139E-003,0.2499397358206216E-003,0.2929148159904695E-002,0.1562116081314050E-003,-.4032268715605260E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.5200000000000001E-003,0.1000000000000000E+001,0.5007655846953592E-003,0.2500445053441591E-003,0.2499317471545760E-003,0.3024657600363747E-002,0.1306898863878597E-003,-.3956397330071035E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.5400000000000001E-003,0.1000000000000000E+001,0.5008265680407772E-003,0.2500470847985166E-003,0.2499237988869085E-003,0.3073676941435057E-002,0.1272555493531702E-003,-.3991870337327651E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.5600000000000002E-003,0.1000000000000000E+001,0.5008890649714926E-003,0.2500506339643558E-003,0.2499155177822208E-003,0.3176016130108819E-002,0.2276610345730217E-003,-.4289234350474969E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.5800000000000002E-003,0.1000000000000000E+001,0.5009540938327107E-003,0.2500550628403872E-003,0.2499066781502293E-003,0.3326869991696770E-002,0.2152265685684898E-003,-.4550397641009419E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.6000000000000001E-003,0.1000000000000000E+001,0.5010217626880442E-003,0.2500596580738852E-003,0.2498969139808720E-003,0.3440015541654070E-002,0.2442967812296998E-003,-.5213771716271903E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.6200000000000001E-003,0.1000000000000000E+001,0.5010913149901089E-003,0.2500648014476280E-003,0.2498869125110944E-003,0.3515214664823036E-002,0.2700405930463953E-003,-.4787698061387082E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.6400000000000002E-003,0.1000000000000000E+001,0.5011624917752136E-003,0.2500698978472013E-003,0.2498774975311693E-003,0.3602463845647444E-002,0.2395993642865821E-003,-.4627281863630154E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.6600000000000002E-003,0.1000000000000000E+001,0.5012352081723170E-003,0.2500748779285205E-003,0.2498699860965206E-003,0.3669175864686028E-002,0.2584087676339514E-003,-.2884152785073337E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.6800000000000003E-003,0.1000000000000000E+001,0.5013086209467916E-003,0.2500801204811261E-003,0.2498636528715151E-003,0.3672101582779807E-002,0.2658464929234451E-003,-.3449072220490744E-003,0.1000000000000000E+001,0.3000000000000000E+002
0.7000000000000003E-003,0.1000000000000000E+001,0.5013824641659868E-003,0.2500850855672277E-003,0.2498575130156916E-003,0.3712220336736448E-002,0.2306621172301080E-003,-.2690783602914822E-003,0.1000000000000000E+001,0.3000000000000000E+002
