001-TIME,002-TempTra-001     ,003-TempVib001     ,004-XiVibMean001     ,005-TempRot001     ,006-TempTotal001      
    1.20000000000000E-009,    6.17960899950764E+003,    6.11467453918045E+003,    1.65136637367995E+000,    6.11337218725190E+003,    6.14357065861315E+003 
    1.30000000000000E-009,    6.26818931093408E+003,    6.14933286727233E+003,    1.65320321540976E+000,    6.16585328869681E+003,    6.20789265587639E+003 
    1.40000000000000E-009,    6.33672335104989E+003,    6.21477634844347E+003,    1.65661958924364E+000,    6.20240223768175E+003,    6.26601748994523E+003 
    1.50000000000000E-009,    6.35684538371082E+003,    6.27662105496805E+003,    1.65978706083485E+000,    6.22846416772234E+003,    6.29829730533735E+003 
    1.60000000000000E-009,    6.41332375324357E+003,    6.29940741411741E+003,    1.66093947829941E+000,    6.25776488374490E+003,    6.33821034236432E+003 
    1.70000000000000E-009,    6.45429913547983E+003,    6.31034055694989E+003,    1.66148966493614E+000,    6.32449383063468E+003,    6.37942154425242E+003 
    1.80000000000000E-009,    6.47124437247410E+003,    6.36013175370394E+003,    1.66397297292409E+000,    6.35795948897219E+003,    6.40950070045443E+003 
    1.90000000000000E-009,    6.52696803724408E+003,    6.39393359520849E+003,    1.66563824334688E+000,    6.38183427048614E+003,    6.45017797316228E+003 
    2.00000000000000E-009,    6.55944983014526E+003,    6.44453750693180E+003,    1.66810077595742E+000,    6.40108662395690E+003,    6.48320446958783E+003 
    2.10000000000000E-009,    6.56616861553203E+003,    6.45335331363235E+003,    1.66852608792606E+000,    6.41324759406870E+003,    6.49207768288080E+003 
    2.20000000000000E-009,    6.59113140139538E+003,    6.46400541552803E+003,    1.66903854425660E+000,    6.41724165952919E+003,    6.50716762604670E+003 
    2.30000000000000E-009,    6.63500474750665E+003,    6.47915649113162E+003,    1.66976472625839E+000,    6.45883124004194E+003,    6.54316088775825E+003 
    2.40000000000000E-009,    6.64031084468084E+003,    6.48806314851596E+003,    1.67019013741848E+000,    6.48752120290572E+003,    6.55637592339744E+003 
    2.50000000000000E-009,    6.64303847344848E+003,    6.54241593677802E+003,    1.67276272743204E+000,    6.48167977313902E+003,    6.56945050852920E+003 
    2.60000000000000E-009,    6.62766817223990E+003,    6.57124125852316E+003,    1.67411091074018E+000,    6.50835363561949E+003,    6.57775980397809E+003 
    2.70000000000000E-009,    6.65226820883891E+003,    6.59024256150802E+003,    1.67499358115791E+000,    6.50460507239336E+003,    6.59246008630162E+003 
    2.80000000000000E-009,    6.67521984029048E+003,    6.61438275241109E+003,    1.67610812240317E+000,    6.51780417357302E+003,    6.61278812664369E+003 
    2.90000000000000E-009,    6.67344894506410E+003,    6.60860027935829E+003,    1.67584184254446E+000,    6.53230322980395E+003,    6.61488441535165E+003 
    3.00000000000000E-009,    6.69668157779556E+003,    6.62961863547544E+003,    1.67680764424580E+000,    6.58357161603513E+003,    6.64595799911934E+003 
    3.10000000000000E-009,    6.65606660859986E+003,    6.65210408176763E+003,    1.67783453133131E+000,    6.60350735777409E+003,    6.63932960119460E+003 
    3.20000000000000E-009,    6.68163748644474E+003,    6.64696468177463E+003,    1.67760039384211E+000,    6.61883779680790E+003,    6.65411764710046E+003 
    3.30000000000000E-009,    6.65902524788112E+003,    6.64522093923676E+003,    1.67752087648121E+000,    6.61355599012493E+003,    6.64193873724953E+003 
    3.40000000000000E-009,    6.66699397953957E+003,    6.64411962357571E+003,    1.67747063464242E+000,    6.63809705366445E+003,    6.65259258155108E+003 
    3.50000000000000E-009,    6.69933240847164E+003,    6.68073647606519E+003,    1.67913277037486E+000,    6.62624176981793E+003,    6.67277112830161E+003 
    3.60000000000000E-009,    6.71924394536111E+003,    6.67311975679341E+003,    1.67878843483890E+000,    6.64902456673855E+003,    6.68662253300398E+003 
    3.70000000000000E-009,    6.74574837057907E+003,    6.65926240337924E+003,    1.67816008150224E+000,    6.62467179895324E+003,    6.68775478607527E+003 
    3.80000000000000E-009,    6.72362523468313E+003,    6.66917367970725E+003,    1.67860975143942E+000,    6.61512719791178E+003,    6.67744811157157E+003 
    3.90000000000000E-009,    6.71663047364793E+003,    6.65485730005334E+003,    1.67795982136390E+000,    6.62633380339954E+003,    6.67406564076030E+003 
    4.00000000000000E-009,    6.73663216933404E+003,    6.62016512623601E+003,    1.67637396221710E+000,    6.65970866777614E+003,    6.68434490627818E+003 
    4.10000000000000E-009,    6.74623755077438E+003,    6.67137614689076E+003,    1.67870950637662E+000,    6.65032840073065E+003,    6.69870009609927E+003 
    4.20000000000000E-009,    6.77695658019780E+003,    6.69936461666583E+003,    1.67997181738722E+000,    6.69133084760528E+003,    6.73180612366602E+003 
    4.30000000000000E-009,    6.74500312593584E+003,    6.65669276663772E+003,    1.67804329356810E+000,    6.68687496703382E+003,    6.70540396307454E+003 
    4.40000000000000E-009,    6.74776926258546E+003,    6.65871176855191E+003,    1.67813506269694E+000,    6.68114025243442E+003,    6.70543580856252E+003 
    4.50000000000000E-009,    6.73430032943303E+003,    6.66109784643672E+003,    1.67824344925059E+000,    6.65571867498550E+003,    6.69237090613776E+003 
    4.60000000000000E-009,    6.71916255215475E+003,    6.67513866254641E+003,    1.67887977693703E+000,    6.65783121390860E+003,    6.68973044661863E+003 
    4.70000000000000E-009,    6.69523219652055E+003,    6.71046761765631E+003,    1.68046984134590E+000,    6.64449050753303E+003,    6.68387360737364E+003 
    4.80000000000000E-009,    6.72134801787422E+003,    6.74065500275497E+003,    1.68181611813190E+000,    6.64480152127086E+003,    6.70329571102992E+003 
