001-TIME,002-TempTra-001,003-TempVib001,004-XiVibMean001,005-TempRot001,006-TempTotal001
3.30000000000001E-004,6.49547786365426E+003,1.06793833728981E+003,2.76478049170079E-001,7.72371759616388E+003,6.67663732571757E+003
3.35000000000001E-004,6.50581770042243E+003,1.06973881678386E+003,2.77557514247287E-001,7.70738005822722E+003,6.67527112106265E+003
3.40000000000001E-004,6.51578239844782E+003,1.07129544040099E+003,2.78490890244634E-001,7.69170960007304E+003,6.67408794462637E+003
3.45000000000001E-004,6.52567988324950E+003,1.07285615451809E+003,2.79426818114054E-001,7.67614294141324E+003,6.67290437538649E+003
3.50000000000001E-004,6.53547789886118E+003,1.07440626205907E+003,2.80356478010240E-001,7.66073240434682E+003,6.67173048023745E+003
3.55000000000001E-004,6.54423944393556E+003,1.07626801164524E+003,2.81473155783620E-001,7.64673251828609E+003,6.67032149609754E+003
3.60000000000001E-004,6.55316247390811E+003,1.07791700146763E+003,2.82462316785617E-001,7.63258296734627E+003,6.66907252286676E+003
3.65000000000001E-004,6.56201547398564E+003,1.07963162997415E+003,2.83490940460216E-001,7.61850856107244E+003,6.66777509931059E+003
3.70000000000001E-004,6.57105167780245E+003,1.08148416571408E+003,2.84602389306295E-001,7.60408737372845E+003,6.66637150028763E+003
3.75000000000001E-004,6.57938726603258E+003,1.08319075964155E+003,2.85626356576751E-001,7.59078840604918E+003,6.66508074232594E+003
3.80000000000001E-004,6.58766350073369E+003,1.08462208066123E+003,2.86485210410730E-001,7.57769896941099E+003,6.66399606238193E+003
3.85000000000001E-004,6.59564284499383E+003,1.08619164680110E+003,2.87427066472537E-001,7.56499945823497E+003,6.66281120991826E+003
3.90000000000001E-004,6.60316155482944E+003,1.08793466698091E+003,2.88473061601144E-001,7.55289673827222E+003,6.66149143143650E+003
3.95000000000001E-004,6.61058762707658E+003,1.08956945756178E+003,2.89454152516630E-001,7.54098854456969E+003,6.66025630594685E+003
4.00000000000001E-004,6.61820426409675E+003,1.09161708622003E+003,2.90683052588941E-001,7.52859400154656E+003,6.65870834296623E+003
4.05000000000001E-004,6.62587719610836E+003,1.09327996764687E+003,2.91681078124502E-001,7.51630373055394E+003,6.65745490118882E+003
4.10000000000001E-004,6.63247789809516E+003,1.09500720034258E+003,2.92717751165316E-001,7.50558137257181E+003,6.65615023148867E+003
4.15000000000001E-004,6.63949196282968E+003,1.09645971477388E+003,2.93589554944599E-001,7.49436688554956E+003,6.65505294915748E+003
4.20000000000001E-004,6.64606539515828E+003,1.09806970232722E+003,2.94555884861776E-001,7.48372728440440E+003,6.65383356285270E+003
4.25000000000001E-004,6.65262161200447E+003,1.09962671046512E+003,2.95490421069998E-001,7.47316450119301E+003,6.65266485195081E+003
4.30000000000001E-004,6.65918832474708E+003,1.10138977270012E+003,2.96548632988391E-001,7.46246434015452E+003,6.65133310900142E+003
4.35000000000001E-004,6.66550846996505E+003,1.10310652608934E+003,2.97579042335150E-001,7.45216763399033E+003,6.65004179833328E+003
4.40000000000001E-004,6.67158270090851E+003,1.10502423784602E+003,2.98730051399904E-001,7.44213637724983E+003,6.64859777019357E+003
4.45000000000001E-004,6.67690107185449E+003,1.10666286129212E+003,2.99713530695787E-001,7.43337049430466E+003,6.64736420819248E+003
4.50000000000001E-004,6.68221975226148E+003,1.10837546549191E+003,3.00741384646571E-001,7.42456394324247E+003,6.64607438074790E+003
4.55000000000001E-004,6.68796358894140E+003,1.11016509683432E+003,3.01815430773620E-001,7.41507769616160E+003,6.64472605206059E+003
4.60000000000001E-004,6.69376733946221E+003,1.11187386696565E+003,3.02840905781653E-001,7.40555050906046E+003,6.64344349593522E+003
4.65000000000001E-004,6.69943395792651E+003,1.11340104264231E+003,3.03757361109579E-001,7.39630905485349E+003,6.64229551758492E+003
4.70000000000001E-004,6.70539848232325E+003,1.11494978726987E+003,3.04686716079022E-001,7.38660593033985E+003,6.64113067980864E+003
4.75000000000001E-004,6.70993940878588E+003,1.11670779232314E+003,3.05741582387999E-001,7.37893369421832E+003,6.63980879491464E+003
4.80000000000001E-004,6.71556750950657E+003,1.11859741092030E+003,3.06875343340361E-001,7.36957799468154E+003,6.63839381993924E+003
4.85000000000001E-004,6.72014552718847E+003,1.12048276046901E+003,3.08006453787194E-001,7.36178715715042E+003,6.63697889672167E+003
4.90000000000001E-004,6.72543238014626E+003,1.12238115009953E+003,3.09145289114962E-001,7.35291667151777E+003,6.63555194107181E+003
4.95000000000001E-004,6.73017087274151E+003,1.12403744522980E+003,3.10138805653513E-001,7.34500343605175E+003,6.63431379300185E+003
5.00000000000001E-004,6.73524608464633E+003,1.12576275094550E+003,3.11173624708438E-001,7.33653897878024E+003,6.63302056693861E+003
5.05000000000001E-004,6.73990879938385E+003,1.12804743011218E+003,3.12543793034450E-001,7.32841287091203E+003,6.63130841550828E+003
5.10000000000001E-004,6.74425103298144E+003,1.12999060344662E+003,3.13709002953445E-001,7.32094261770642E+003,6.62985619655315E+003
5.15000000000001E-004,6.74816530331099E+003,1.13169026717448E+003,3.14728073282509E-001,7.31422962282387E+003,6.62858557712864E+003
5.20000000000001E-004,6.75259741392564E+003,1.13323313224088E+003,3.15653028752184E-001,7.30678765149215E+003,6.62742203538917E+003
5.25000000000001E-004,6.75598560454863E+003,1.13489239337583E+003,3.16647649877843E-001,7.30090374605362E+003,6.62619147157312E+003
5.30000000000001E-004,6.76097431536860E+003,1.13644996121984E+003,3.17581199785880E-001,7.29263979976642E+003,6.62502674886056E+003
5.35000000000001E-004,6.76476840380887E+003,1.13836420011263E+003,3.18728369408254E-001,7.28599373902527E+003,6.62359857619337E+003
5.40000000000001E-004,6.76835745309398E+003,1.14005096106162E+003,3.19739066791370E-001,7.27976323549870E+003,6.62233940769438E+003
5.45000000000001E-004,6.77188403336281E+003,1.14178515235526E+003,3.20778032775836E-001,7.27359569842102E+003,6.62104355320696E+003
5.50000000000001E-004,6.77581480092059E+003,1.14383609187488E+003,3.22006558548610E-001,7.26667146706168E+003,6.61951646861197E+003
5.55000000000001E-004,6.77923745993404E+003,1.14546200247821E+003,3.22980324294343E-001,7.26072665048858E+003,6.61830877131352E+003
5.60000000000001E-004,6.78222796454806E+003,1.14718901587175E+003,3.24014475233546E-001,7.25536564416458E+003,6.61702202216483E+003
5.65000000000001E-004,6.78548099704343E+003,1.14911704524945E+003,3.25168787607221E-001,7.24951104584113E+003,6.61558787793180E+003
5.70000000000001E-004,6.78889323896590E+003,1.15089721619554E+003,3.26234374837489E-001,7.24348626736548E+003,6.61426291187783E+003
5.75000000000001E-004,6.79285882314846E+003,1.15266721164485E+003,3.27293672288864E-001,7.23663689944684E+003,6.61294704593020E+003
5.80000000000001E-004,6.79559613895663E+003,1.15463685844367E+003,3.28472215448608E-001,7.23153190355807E+003,6.61148579301575E+003
5.85000000000001E-004,6.79837353814476E+003,1.15631319898452E+003,3.29475052413538E-001,7.22650747073907E+003,6.61024051361311E+003
5.90000000000001E-004,6.80135097098293E+003,1.15808929322841E+003,3.30537352685608E-001,7.22113544653726E+003,6.60892387470685E+003
5.95000000000001E-004,6.80433189148927E+003,1.16005724204652E+003,3.31714140841882E-001,7.21565825746986E+003,6.60746593875299E+003
6.00000000000001E-004,6.80691794635396E+003,1.16175346335349E+003,3.32728214898351E-001,7.21090521390334E+003,6.60620811772490E+003
6.05000000000001E-004,6.80916272977549E+003,1.16348945134403E+003,3.33765839604213E-001,7.20665390535690E+003,6.60492606781795E+003
6.10000000000001E-004,6.81170754097800E+003,1.16513992445270E+003,3.34752136127938E-001,7.20198293075746E+003,6.60370353937706E+003
6.15000000000001E-004,6.81397243534426E+003,1.16697475078946E+003,3.35848347727130E-001,7.19764199660433E+003,6.60234803264970E+003
6.20000000000001E-004,6.81688321881425E+003,1.16872730644584E+003,3.36895154012700E-001,7.19237020748203E+003,6.60105316305917E+003
6.25000000000001E-004,6.81950858484779E+003,1.17065659634367E+003,3.38047231646393E-001,7.18743000480469E+003,6.59962743995612E+003
6.30000000000001E-004,6.82237717753811E+003,1.17234354635202E+003,3.39054338969423E-001,7.18224862827008E+003,6.59838142087688E+003
6.35000000000001E-004,6.82483259198206E+003,1.17424594314195E+003,3.40189774011815E-001,7.17757477886770E+003,6.59697787654604E+003
6.40000000000001E-004,6.82765173943064E+003,1.17585496025092E+003,3.41149859011898E-001,7.17251130584617E+003,6.59579332425052E+003
6.45000000000001E-004,6.83033822803480E+003,1.17763995571344E+003,3.42214677343253E-001,7.16755396158746E+003,6.59448008223252E+003
6.50000000000001E-004,6.83315479747351E+003,1.17911681809706E+003,3.43095462897213E-001,7.16255683635493E+003,6.59339290122712E+003
6.55000000000001E-004,6.83590245255836E+003,1.18074685754106E+003,3.44067366791697E-001,7.15757448640243E+003,6.59219099884802E+003
6.60000000000001E-004,6.83823493650537E+003,1.18239678804064E+003,3.45050875458138E-001,7.15320846606906E+003,6.59097726277244E+003
6.65000000000001E-004,6.83968435201692E+003,1.18410846319340E+003,3.46070913593146E-001,7.15014095266144E+003,6.58972187769700E+003
6.70000000000001E-004,6.84133795451824E+003,1.18579781839572E+003,3.47077370394863E-001,7.14677589347587E+003,6.58848316543691E+003
6.75000000000001E-004,6.84301721519738E+003,1.18747462252935E+003,3.48076069883713E-001,7.14337178669044E+003,6.58725236109734E+003
6.80000000000001E-004,6.84525547520223E+003,1.18937005871019E+003,3.49204644641166E-001,7.13901281628003E+003,6.58586237528939E+003
6.85000000000001E-004,6.84743438572089E+003,1.19139640422696E+003,3.50410757462442E-001,7.13467099794349E+003,6.58437732474227E+003
6.90000000000001E-004,6.84900622863053E+003,1.19332592513314E+003,3.51558840341659E-001,7.13128440453300E+003,6.58296261414140E+003
6.95000000000001E-004,6.85012841548395E+003,1.19522938990410E+003,3.52691032175570E-001,7.12859827899087E+003,6.58157332076138E+003
7.00000000000002E-004,6.85193538463979E+003,1.19712287956962E+003,3.53816902722393E-001,7.12488049649766E+003,6.58018944174730E+003
7.05000000000002E-004,6.85394307188979E+003,1.19911770976320E+003,3.55002604989540E-001,7.12079434612808E+003,6.57872841849894E+003
7.10000000000002E-004,6.85545570755562E+003,1.20094364913710E+003,3.56087532011499E-001,7.11755732728944E+003,6.57739863786756E+003
7.15000000000002E-004,6.85676636095953E+003,1.20288032031214E+003,3.57237840891662E-001,7.11455686007799E+003,6.57598714445920E+003
7.20000000000002E-004,6.85857732667358E+003,1.20456359979463E+003,3.58237295198158E-001,7.11093804219584E+003,6.57476064038223E+003
7.25000000000002E-004,6.86034065210825E+003,1.20627568167830E+003,3.59253513028483E-001,7.10736669952706E+003,6.57351141274802E+003
7.30000000000002E-004,6.86207423569126E+003,1.20818971204875E+003,3.60389189827763E-001,7.10373638488876E+003,6.57211869152858E+003
7.35000000000002E-004,6.86344511975798E+003,1.21009077071437E+003,3.61516736859966E-001,7.10065122991868E+003,6.57073503914429E+003
7.40000000000002E-004,6.86544739480584E+003,1.21176233381746E+003,3.62507805267694E-001,7.09675451899447E+003,6.56952414911890E+003
7.45000000000002E-004,6.86770827030269E+003,1.21371328692623E+003,3.63664090690368E-001,7.09229203292631E+003,6.56810199519320E+003
7.50000000000002E-004,6.86798225681487E+003,1.21567937758632E+003,3.64828869813036E-001,7.09083212511423E+003,6.56668214568429E+003
7.55000000000002E-004,6.86848573741535E+003,1.21741699327013E+003,3.65857888076716E-001,7.08913305065514E+003,6.56542265159579E+003
7.60000000000002E-004,6.87000259488270E+003,1.21910187226270E+003,3.66855308874885E-001,7.08594332062790E+003,6.56420313056442E+003
7.65000000000002E-004,6.87121408496132E+003,1.22083699197737E+003,3.67882089779620E-001,7.08318004593379E+003,6.56294714031000E+003
7.70000000000002E-004,6.87165476448249E+003,1.22268425891482E+003,3.68974805077585E-001,7.08150967673606E+003,6.56161084974863E+003
7.75000000000002E-004,6.87258744212209E+003,1.22428016191357E+003,3.69918469756822E-001,7.07923862164123E+003,6.56045778201411E+003
7.80000000000002E-004,6.87400986565188E+003,1.22598521431909E+003,3.70926301234041E-001,7.07617160406131E+003,6.55922665665677E+003
7.85000000000002E-004,6.87526585904380E+003,1.22799061806510E+003,3.72111166642162E-001,7.07318703588635E+003,6.55777953538476E+003
7.90000000000002E-004,6.87606747176127E+003,1.22984724995890E+003,3.73207645801985E-001,7.07096742341527E+003,6.55644225595703E+003
7.95000000000002E-004,6.87722988022898E+003,1.23150040778119E+003,3.74183560606544E-001,7.06831211623229E+003,6.55525079918324E+003
8.00000000000002E-004,6.87825727494709E+003,1.23327106897447E+003,3.75228421848842E-001,7.06579856384407E+003,6.55397771865019E+003
8.05000000000002E-004,6.87930031836775E+003,1.23507880527988E+003,3.76294708751793E-001,7.06323161797761E+003,6.55267609363548E+003
8.10000000000002E-004,6.88108103416690E+003,1.23667194219671E+003,3.77234032617210E-001,7.05968115686744E+003,6.55153187425399E+003
8.15000000000002E-004,6.88105244816586E+003,1.23839754513440E+003,3.78251051473993E-001,7.05876453131854E+003,6.55029139464761E+003
8.20000000000002E-004,6.88087609368228E+003,1.24030697780558E+003,3.79375915259108E-001,7.05797043593383E+003,6.54892171560107E+003
8.25000000000002E-004,6.88146891562447E+003,1.24194451765129E+003,3.80340183327483E-001,7.05617713624773E+003,6.54774999805076E+003
8.30000000000002E-004,6.88195581460464E+003,1.24383264812948E+003,3.81451524881555E-001,7.05439798635221E+003,6.54639833025722E+003
8.35000000000002E-004,6.88316510118783E+003,1.24558676389747E+003,3.82483514508678E-001,7.05160806959768E+003,6.54514365921948E+003
8.40000000000002E-004,6.88540522180011E+003,1.24731080545900E+003,3.83497364098414E-001,7.04728340524355E+003,6.54391012001403E+003
8.45000000000002E-004,6.88680817127909E+003,1.24891086577288E+003,3.84437905179163E-001,7.04428618906132E+003,6.54276754404895E+003
8.50000000000002E-004,6.88804819010204E+003,1.25049352246862E+003,3.85367834943441E-001,7.04153534527860E+003,6.54163584029313E+003
8.55000000000002E-004,6.88842098329623E+003,1.25221315018542E+003,3.86377812451698E-001,7.04001685473460E+003,6.54041087790213E+003
8.60000000000002E-004,6.88885650633658E+003,1.25386977749919E+003,3.87350358599526E-001,7.03843523409671E+003,6.53923070715464E+003
8.65000000000002E-004,6.89011130851235E+003,1.25555417931018E+003,3.88338774446835E-001,7.03560383456565E+003,6.53803026138234E+003
8.70000000000002E-004,6.89042470767157E+003,1.25706442074771E+003,3.89224615834635E-001,7.03428342154894E+003,6.53695547942968E+003
8.75000000000002E-004,6.89001716113288E+003,1.25874416457005E+003,3.90209459049296E-001,7.03394786144380E+003,6.53576105965243E+003
8.80000000000002E-004,6.89087346621228E+003,1.26032535302890E+003,3.91136110956218E-001,7.03176554848464E+003,6.53463565520716E+003
8.85000000000002E-004,6.89221105340778E+003,1.26194339363025E+003,3.92083947782181E-001,7.02885246446941E+003,6.53348986736463E+003
8.90000000000002E-004,6.89252649428313E+003,1.26359813813663E+003,3.93052851326353E-001,7.02744315613435E+003,6.53231622560109E+003
8.95000000000002E-004,6.89404334055093E+003,1.26543600064275E+003,3.94128457824378E-001,7.02412220588407E+003,6.53101220118861E+003
9.00000000000002E-004,6.89455427204389E+003,1.26735460902713E+003,3.95250734576786E-001,7.02226234474293E+003,6.52965211051831E+003
9.05000000000002E-004,6.89516087484110E+003,1.26895405416761E+003,3.96185858073347E-001,7.02044973176430E+003,6.52852304672770E+003
9.10000000000002E-004,6.89591593110187E+003,1.27077467487784E+003,3.97249779334669E-001,7.01827592505767E+003,6.52723443289353E+003
9.15000000000002E-004,6.89613556981493E+003,1.27250035114482E+003,3.98257709470575E-001,7.01696794784620E+003,6.52601775911504E+003
9.20000000000002E-004,6.89622217928755E+003,1.27440759517094E+003,3.99371110039289E-001,7.01574487184323E+003,6.52467058468568E+003
9.25000000000002E-004,6.89708943195040E+003,1.27621993365483E+003,4.00428539644984E-001,7.01341149673624E+003,6.52339456304310E+003
9.30000000000002E-004,6.89715562813036E+003,1.27792596260603E+003,4.01423433019206E-001,7.01233262016125E+003,6.52219215705432E+003
9.35000000000002E-004,6.89768103830878E+003,1.27965027722966E+003,4.02428485419337E-001,7.01055792667365E+003,6.52097973833172E+003
