001-TIME,002-TempTra-001,003-TempTra-002,004-TempTra-003,005-TempVib001,006-TempVib002,007-XiVibMean001,008-XiVibMean002,009-TempRot001,010-TempRot002,011-TempTotal001,012-TempTotal002,013-TempTotal003
1.13000000000000E-004,2.07725876246267E+004,2.07394308411857E+004,2.07560092329062E+004,7.98207656798255E+003,2.37644111502188E+004,1.60491517663240E+000,1.90588542142703E+000,2.75159802728492E+004,1.85639018189635E+004,1.97065784743263E+004,2.09442138256033E+004,2.03253961499648E+004
1.13500000000000E-004,2.07838620718530E+004,2.07264693346902E+004,2.07551657032716E+004,7.99099822435112E+003,2.37576785312954E+004,1.60532298454348E+000,1.90585918251041E+000,2.75043907031251E+004,1.85756419769884E+004,1.97096343427034E+004,2.09401144622643E+004,2.03248744024838E+004
1.14000000000000E-004,2.07823056941499E+004,2.07247960675872E+004,2.07535508808685E+004,8.00169348475618E+003,2.37542667300547E+004,1.60581076199378E+000,1.90584588017277E+000,2.74929992350009E+004,1.85850139077780E+004,1.97072132028736E+004,2.09411547711371E+004,2.03241839870053E+004
1.14500000000000E-004,2.07917434907580E+004,2.07241204692912E+004,2.07579319800246E+004,8.01166500935654E+003,2.37492741262249E+004,1.60626445363953E+000,1.90582640763828E+000,2.74697363753594E+004,1.85901949759430E+004,1.97060769903434E+004,2.09409760129224E+004,2.03235265016329E+004
1.15000000000000E-004,2.08153318618039E+004,2.07043012296701E+004,2.07598165457370E+004,8.02373712018175E+003,2.37457144783248E+004,1.60681233182088E+000,1.90581251910987E+000,2.74496317621736E+004,1.85963415676939E+004,1.97126681250626E+004,2.09331583144443E+004,2.03229132197534E+004
1.15500000000000E-004,2.08225563972689E+004,2.06980935693590E+004,2.07603249833139E+004,8.04052696224347E+003,2.37413246238822E+004,1.60757180315336E+000,1.90579538575894E+000,2.74294766808890E+004,1.86030967838701E+004,1.97125889602018E+004,2.09311995391435E+004,2.03218942496727E+004
1.16000000000000E-004,2.08250008999996E+004,2.06931940837079E+004,2.07590974918538E+004,8.05490513013818E+003,2.37376967380576E+004,1.60821987009234E+000,1.90578122162419E+000,2.74114838764954E+004,1.86138751165423E+004,1.97106076213482E+004,2.09311857027252E+004,2.03208966620367E+004
1.16500000000000E-004,2.08351347172637E+004,2.06916586349785E+004,2.07633966761211E+004,8.06687200992110E+003,2.37328860919117E+004,1.60875763257881E+000,1.90576243314184E+000,2.73894819808478E+004,1.86161973198807E+004,1.97105140288908E+004,2.09298559989615E+004,2.03201850139261E+004
1.17000000000000E-004,2.08298186296293E+004,2.06983334551602E+004,2.07640760423948E+004,8.07909662871402E+003,2.37326927562199E+004,1.60930546378010E+000,1.90576167789246E+000,2.73617655537056E+004,1.86299020921486E+004,1.97017254016917E+004,2.09366710960554E+004,2.03191982488735E+004
1.17500000000000E-004,2.08327008945317E+004,2.06927088740714E+004,2.07627048843015E+004,8.09243978387178E+003,2.37299064474523E+004,1.60990168230374E+000,1.90575079207087E+000,2.73422107491896E+004,1.86432729069787E+004,1.96993182141537E+004,2.09373267002606E+004,2.03183224572072E+004
1.18000000000000E-004,2.08375151076456E+004,2.06896218776343E+004,2.07635684926399E+004,8.10502480299612E+003,2.37296335028931E+004,1.61046236899506E+000,1.90574972556936E+000,2.73182445887110E+004,1.86526364212398E+004,1.96963335811485E+004,2.09386216931661E+004,2.03174776371573E+004
1.18500000000000E-004,2.08521660843145E+004,2.06728209940056E+004,2.07624935391601E+004,8.11626647957646E+003,2.37280299535107E+004,1.61096185381522E+000,1.90574345938523E+000,2.73041625758506E+004,1.86605976979964E+004,1.97005854788709E+004,2.09331836776454E+004,2.03168845782582E+004
1.19000000000000E-004,2.08617624096267E+004,2.06655820745963E+004,2.07636722421115E+004,8.12678469842767E+003,2.37239471568175E+004,1.61142804232656E+000,1.90572750129431E+000,2.72846363299986E+004,1.86701750779347E+004,1.97007798938456E+004,2.09316795208856E+004,2.03162297073656E+004
1.19500000000000E-004,2.08516689406343E+004,2.06776653905877E+004,2.07646671656110E+004,8.13871405038936E+003,2.37207173113183E+004,1.61195543236577E+000,1.90571487323575E+000,2.72655966835319E+004,1.86776883789385E+004,1.96924262189674E+004,2.09382083343805E+004,2.03153172766739E+004
1.20000000000000E-004,2.08553534111953E+004,2.06760078171665E+004,2.07656806141809E+004,8.15045355439766E+003,2.37164525495053E+004,1.61247304144266E+000,1.90569819367622E+000,2.72440874194697E+004,1.86889761259255E+004,1.96895504735573E+004,2.09395737305415E+004,2.03145621020494E+004
1.20500000000000E-004,2.08641346402201E+004,2.06698899283138E+004,2.07670122842669E+004,8.16136638076657E+003,2.37129611302939E+004,1.61295297133325E+000,1.90568453428068E+000,2.72258461960739E+004,1.86960024609460E+004,1.96898415928933E+004,2.09379819302584E+004,2.03139117615758E+004
1.21000000000000E-004,2.08727339948152E+004,2.06664688271552E+004,2.07696014109852E+004,8.17319100493972E+003,2.37059327986803E+004,1.61347166816811E+000,1.90565702550692E+000,2.72034875058361E+004,1.87059134128089E+004,1.96889615098605E+004,2.09374155358475E+004,2.03131885228540E+004
1.21500000000000E-004,2.08770554255926E+004,2.06676875582927E+004,2.07723714919426E+004,8.18599615882093E+003,2.36990295637132E+004,1.61403181978767E+000,1.90562999073807E+000,2.71794757002278E+004,1.87158353000084E+004,1.96858103350355E+004,2.09389027441131E+004,2.03123565395743E+004
1.22000000000000E-004,2.08985435470961E+004,2.06475576027944E+004,2.07730505749453E+004,8.19868027015113E+003,2.36959703037391E+004,1.61458508708897E+000,1.90561800496832E+000,2.71616759174422E+004,1.87221855304023E+004,1.96923083850591E+004,2.09311478597853E+004,2.03117281224222E+004
1.22500000000000E-004,2.08953049115683E+004,2.06545620889450E+004,2.07749335002567E+004,8.20967730385114E+003,2.36916714169530E+004,1.61506349083621E+000,1.90560115736260E+000,2.71401860960134E+004,1.87314166225818E+004,1.96861960874795E+004,2.09356713035559E+004,2.03109336955177E+004
