001-TIME,002-TempTra-001,003-TempVib001,004-XiVibMean001,005-TempRot001,006-TempElec001,007-XiElecMean001,008-TempTotal001
3.35999999999997E-06,36717.3869673822,35642.8180964951,1.90630746096238,36299.1380481482,40401.7830784204,3.11034497924946,37573.4400751802
3.43999999999997E-06,36489.0025525072,35954.5596775001,1.90710683763917,36588.4003779693,40211.848176742,3.11219644528919,37563.5066975328
3.51999999999997E-06,36541.1456651051,35817.2171042888,1.90675634675321,36875.1500415415,40045.9676725073,3.11371463574473,37559.1286494265
3.59999999999997E-06,36772.3238672848,35937.5618766866,1.90706360306323,36749.5856024302,39800.1644928954,3.1157897515189,37550.2155290186
3.67999999999996E-06,36526.461999616,36380.5207149741,1.90817730609998,36858.0449252604,39670.2362601087,3.1168001255548,37542.2448363511
3.75999999999996E-06,36523.2524183407,36338.3668766122,1.9080724716299,37074.493517452,39550.3091388038,3.11767831522136,37539.345526833
3.83999999999996E-06,37153.1328039698,36318.6497342926,1.90802335389776,36543.5820206844,39274.5888412245,3.11949404122549,37532.7436852077
3.91999999999997E-06,36962.5941320173,36191.1678337489,1.9077045105781,36999.3022076903,39245.1028056485,3.11967109495722,37533.275762066
3.99999999999997E-06,37038.2403028442,36322.0492426992,1.90803182621844,37133.932447043,38984.4703917703,3.12108820392968,37526.7402619573
4.07999999999998E-06,37462.374979549,36361.8234567118,1.90813083647658,36513.3949795947,38946.7075742782,3.12127113302695,37525.693628448
4.15999999999999E-06,37082.4958251882,36527.7186451786,1.90854151257912,36842.6444392865,38997.7477294274,3.12102252337241,37525.0899663759
4.23999999999999E-06,37202.2128239966,36820.0722917254,1.90925637398282,36629.239926704,38822.1247631456,3.12183360473934,37519.3812965675
4.32E-06,37220.3842477111,36651.7993782765,1.90884628484708,36839.1370051931,38775.4816483893,3.12202782608209,37520.1808280742
4.4E-06,37281.9776576483,36862.9052225812,1.90936017154252,36777.3200630755,38613.3084527212,3.12263259849754,37516.0070861219
4.48000000000001E-06,37072.214831347,36789.817242524,1.90918291320891,37093.186279442,38661.3310311301,3.12246501691856,37517.2816855286
4.56000000000002E-06,37162.7954669527,36597.0679511497,1.90871210191985,37194.9442921101,38631.1552637277,3.12257145745347,37518.6367771965
4.64000000000002E-06,37352.0859719128,36664.7173378179,1.90887789780454,36767.9165191661,38681.7643364854,3.12239076358175,37518.6983717729
4.72000000000003E-06,37038.6764972144,36593.6684797639,1.90870375453849,37250.0982125202,38721.3377000217,3.12224197693235,37519.9003545143
4.80000000000003E-06,37163.851955894,36382.5604150323,1.90818237266825,37386.4010736186,38645.4671991243,3.12252145322395,37520.8186188344
4.88000000000004E-06,37423.4434951336,36263.5776335227,1.90788588439536,37418.0826941295,38444.2379387896,3.12314433969662,37519.5926503035
4.96000000000005E-06,37456.2438639452,36283.9747220813,1.90793684693614,37462.5169425806,38368.884736762,3.12333259680762,37518.6897645108
5.04000000000005E-06,37323.8618413296,36426.4139262358,1.90829116874279,37528.712955845,38362.3322844118,3.12334779268642,37517.3112539214
5.12000000000006E-06,37052.6405828283,36696.3323166721,1.90895517389231,37608.3822956636,38400.2675348605,3.12325720614872,37515.1798843145
5.20000000000006E-06,37639.260465609,36849.647418171,1.90932806912214,36612.6358895686,38375.6096220688,3.12331680502749,37513.5680058061
5.28000000000007E-06,37111.3265011463,37027.0974752843,1.90975587097175,37293.2520606042,38332.0703005311,3.12341552290825,37511.5872180331
5.36000000000008E-06,36995.6792016433,37225.9625050379,1.91023053003593,37319.5597158993,38298.1872245622,3.12348656037388,37509.5487360463
5.44000000000008E-06,37271.6200676937,37494.8528856162,1.91086444632819,36720.8854269556,38243.1811114116,3.12359102989054,37506.7955328982
5.52000000000009E-06,37605.1889434175,37367.7166781407,1.91056583858683,36442.284351159,38181.2776799976,3.12369241892187,37507.5243689232
5.60000000000009E-06,37115.2234479244,37716.1500714277,1.91137948455784,36891.5826246513,38140.5835022435,3.12374966578327,37504.2852369495
5.6800000000001E-06,36968.3008441904,37792.2949330836,1.91155532779675,37092.2250617158,38103.9414989692,3.12379478699468,37503.4557736761
5.76000000000011E-06,37510.1238478272,37480.9155227112,1.91083180865102,36770.8543405475,37987.2906038395,3.12389751285525,37505.7658659083
5.84000000000011E-06,37291.2815612176,37332.7031264921,1.91048324983951,37363.5717313207,37912.3684842033,3.12393029130383,37506.9342040173
5.92000000000012E-06,37218.1247600335,37469.0177682893,1.91080392829428,37430.9983893009,37852.1893823552,3.12393758943038,37505.7189055322
6E-06,37247.173984921,37391.8522069035,1.91062267997975,37511.5228345012,37822.1860479094,3.12393484540356,37506.4204344925
