001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-Current-Spec-001-SF-001
0.5749999999999987E-008,0.1298900000000001E+023,0.1000000000000000E+022,0.3069000000000002E+022,0.1705800000000001E+023,0.1999836744746000E+001
0.5999999999999985E-008,0.1298700000000001E+023,0.1000000000000000E+022,0.3206000000000002E+022,0.1719300000000001E+023,0.1999996962399000E+001
0.6249999999999983E-008,0.1300000000000001E+023,0.1000000000000000E+022,0.3337000000000002E+022,0.1733700000000001E+023,0.2000157180052000E+001
0.6499999999999981E-008,0.1299100000000001E+023,0.1000000000000000E+022,0.3474000000000002E+022,0.1746500000000001E+023,0.2000157180052000E+001
0.6749999999999979E-008,0.1298300000000001E+023,0.1000000000000000E+022,0.3609000000000002E+022,0.1759200000000001E+023,0.1999996962399000E+001
0.6999999999999977E-008,0.1298900000000001E+023,0.1000000000000000E+022,0.3740000000000003E+022,0.1772900000000001E+023,0.1999996962399000E+001
0.7249999999999976E-008,0.1297400000000001E+023,0.1000000000000000E+022,0.3858000000000003E+022,0.1783200000000001E+023,0.1999836744746000E+001
0.7499999999999975E-008,0.1296600000000001E+023,0.1000000000000000E+022,0.3977000000000002E+022,0.1794300000000001E+023,0.1999996962399000E+001
0.7749999999999977E-008,0.1295900000000001E+023,0.1000000000000000E+022,0.4098000000000003E+022,0.1805700000000001E+023,0.1999996962399000E+001
0.7999999999999979E-008,0.1298900000000001E+023,0.1000000000000000E+022,0.4235000000000003E+022,0.1822400000000001E+023,0.1999996962399000E+001
0.8249999999999981E-008,0.1301500000000001E+023,0.1000000000000000E+022,0.4368000000000003E+022,0.1838300000000001E+023,0.1999996962399000E+001
0.8499999999999983E-008,0.1301700000000001E+023,0.1000000000000000E+022,0.4510000000000003E+022,0.1852700000000001E+023,0.1999996962399000E+001
0.8749999999999986E-008,0.1304400000000001E+023,0.1000000000000000E+022,0.4664000000000003E+022,0.1870800000000001E+023,0.1999996962399000E+001
0.8999999999999988E-008,0.1304500000000001E+023,0.1000000000000000E+022,0.4801000000000003E+022,0.1884600000000001E+023,0.2000157180052000E+001
0.9249999999999990E-008,0.1299500000000001E+023,0.1000000000000000E+022,0.4908000000000003E+022,0.1890300000000001E+023,0.1999996962399000E+001
0.9499999999999992E-008,0.1301100000000001E+023,0.1000000000000000E+022,0.5044000000000003E+022,0.1905500000000001E+023,0.1999996962399000E+001
0.9749999999999995E-008,0.1301100000000001E+023,0.1000000000000000E+022,0.5184000000000003E+022,0.1919500000000001E+023,0.1999996962399000E+001
0.1000000000000000E-007,0.1300700000000001E+023,0.1000000000000000E+022,0.5302000000000004E+022,0.1930900000000001E+023,0.1999996962398849E+001
