  TIME     ,002-nPart-Spec-001     ,003     -Charge     ,004-Charge-absError     ,005-Charge-relError     ,006-nPartIn-Spec-001     ,007-nPartOut-Spec-001     ,008-Ekin-001     ,009-EkinIn-001     ,010-EkinOut-001      
    1.84156213248706E-011,    4.88900000000000E+003,    0.00000000000000E+000,    7.83304105516973E-010,   -1.00000000000000E+000,    1.28000000000000E+002,    0.00000000000000E+000,    6.35658294006976E-005,    1.66626359120018E-006,    0.00000000000000E+000 
    1.88878167434570E-011,    5.01800000000000E+003,    0.00000000000000E+000,    8.03972182753972E-010,   -1.00000000000000E+000,    1.29000000000000E+002,    0.00000000000000E+000,    6.52391903202801E-005,    1.67928127550644E-006,    0.00000000000000E+000 
    1.93600121620434E-011,    5.14700000000000E+003,    0.00000000000000E+000,    8.24640259990972E-010,   -1.00000000000000E+000,    1.29000000000000E+002,    0.00000000000000E+000,    6.69122953991627E-005,    1.67928127550644E-006,    0.00000000000000E+000 
    1.98322075806299E-011,    5.27600000000000E+003,    0.00000000000000E+000,    8.45308337227971E-010,   -1.00000000000000E+000,    1.29000000000000E+002,    0.00000000000000E+000,    6.85851456176313E-005,    1.67928127550644E-006,    0.00000000000000E+000 
    2.03044029992163E-011,    5.40400000000000E+003,    0.00000000000000E+000,    8.65816196811970E-010,   -1.00000000000000E+000,    1.28000000000000E+002,    0.00000000000000E+000,    7.02447263822155E-005,    1.66626359120018E-006,    0.00000000000000E+000 
    2.07765984178027E-011,    5.53300000000000E+003,    0.00000000000000E+000,    8.86484274048969E-010,   -1.00000000000000E+000,    1.29000000000000E+002,    0.00000000000000E+000,    7.19170717543682E-005,    1.67928127550644E-006,    0.00000000000000E+000 
    2.12487938363891E-011,    5.66100000000000E+003,    0.00000000000000E+000,    9.06992133632968E-010,   -1.00000000000000E+000,    1.28000000000000E+002,    0.00000000000000E+000,    7.35761484921358E-005,    1.66626359120018E-006,    0.00000000000000E+000 
    2.17209892549756E-011,    5.79000000000000E+003,    0.00000000000000E+000,    9.27660210869968E-010,   -1.00000000000000E+000,    1.29000000000000E+002,    0.00000000000000E+000,    7.52479872063462E-005,    1.67928127550644E-006,    0.00000000000000E+000 
    2.21931846735620E-011,    5.91800000000000E+003,    0.00000000000000E+000,    9.48168070453967E-010,   -1.00000000000000E+000,    1.28000000000000E+002,    0.00000000000000E+000,    7.69065528274014E-005,    1.66626359120018E-006,    0.00000000000000E+000 
    2.26653800921484E-011,    6.04700000000000E+003,    0.00000000000000E+000,    9.68836147690966E-010,   -1.00000000000000E+000,    1.29000000000000E+002,    0.00000000000000E+000,    7.85778772282891E-005,    1.67928127550644E-006,    0.00000000000000E+000 
    2.31375755107348E-011,    6.17600000000000E+003,    0.00000000000000E+000,    9.89504224927965E-010,   -1.00000000000000E+000,    1.29000000000000E+002,    0.00000000000000E+000,    8.02489417576363E-005,    1.67928127550644E-006,    0.00000000000000E+000 
    2.36097709293213E-011,    6.30500000000000E+003,    0.00000000000000E+000,    1.01017230216496E-009,   -1.00000000000000E+000,    1.29000000000000E+002,    0.00000000000000E+000,    8.19197464404840E-005,    1.67928127550644E-006,    0.00000000000000E+000 
    2.40819663479077E-011,    6.43300000000000E+003,    0.00000000000000E+000,    1.03068016174896E-009,   -1.00000000000000E+000,    1.28000000000000E+002,    0.00000000000000E+000,    8.35772755549793E-005,    1.66626359120018E-006,    0.00000000000000E+000 
    2.45541617664941E-011,    6.56400000000000E+003,    0.00000000000000E+000,    1.05166867429196E-009,   -1.00000000000000E+000,    1.31000000000000E+002,    0.00000000000000E+000,    8.52735988828186E-005,    1.70531664411894E-006,    0.00000000000000E+000 
    2.50263571850805E-011,    6.69000000000000E+003,    0.00000000000000E+000,    1.07185609856996E-009,   -1.00000000000000E+000,    1.26000000000000E+002,    0.00000000000000E+000,    8.69045903837761E-005,    1.64022822258768E-006,    0.00000000000000E+000 
    2.54985526036670E-011,    6.82000000000000E+003,    0.00000000000000E+000,    1.09268439345996E-009,   -1.00000000000000E+000,    1.30000000000000E+002,    0.00000000000000E+000,    8.85873958593644E-005,    1.69229895981269E-006,    0.00000000000000E+000 
    2.59707480222534E-011,    6.94800000000000E+003,    0.00000000000000E+000,    1.11319225304396E-009,   -1.00000000000000E+000,    1.28000000000000E+002,    0.00000000000000E+000,    9.02439137651590E-005,    1.66626359120018E-006,    0.00000000000000E+000 
    2.64429434408398E-011,    7.07600000000000E+003,    0.00000000000000E+000,    1.13370011262796E-009,   -1.00000000000000E+000,    1.28000000000000E+002,    0.00000000000000E+000,    9.19001813919797E-005,    1.66626359120018E-006,    0.00000000000000E+000 
    2.69151388594262E-011,    7.20600000000000E+003,    0.00000000000000E+000,    1.15452840751796E-009,   -1.00000000000000E+000,    1.30000000000000E+002,    0.00000000000000E+000,    9.35822298408156E-005,    1.69229895981269E-006,    0.00000000000000E+000 
    2.73873342780127E-011,    7.33400000000000E+003,    0.00000000000000E+000,    1.17503626710196E-009,   -1.00000000000000E+000,    1.28000000000000E+002,    0.00000000000000E+000,    9.52379961671310E-005,    1.66626359120018E-006,    0.00000000000000E+000 
    2.78595296965991E-011,    7.46200000000000E+003,    0.00000000000000E+000,    1.19554412668596E-009,   -1.00000000000000E+000,    1.28000000000000E+002,    0.00000000000000E+000,    9.68935254424567E-005,    1.66626359120018E-006,    0.00000000000000E+000 
    2.83317251151855E-011,    7.59200000000000E+003,    0.00000000000000E+000,    1.21637242157596E-009,   -1.00000000000000E+000,    1.30000000000000E+002,    0.00000000000000E+000,    9.85748555283684E-005,    1.69229895981269E-006,    0.00000000000000E+000 
    2.88039205337720E-011,    7.72000000000000E+003,    0.00000000000000E+000,    1.23688028115996E-009,   -1.00000000000000E+000,    1.28000000000000E+002,    0.00000000000000E+000,    1.00229931997181E-004,    1.66626359120018E-006,    0.00000000000000E+000 
    2.92761159523584E-011,    7.84900000000000E+003,    0.00000000000000E+000,    1.25754835839696E-009,   -1.00000000000000E+000,    1.29000000000000E+002,    0.00000000000000E+000,    1.01897810125715E-004,    1.67928127550644E-006,    0.00000000000000E+000 
    2.97483113709448E-011,    7.97700000000000E+003,    0.00000000000000E+000,    1.27805621798095E-009,   -1.00000000000000E+000,    1.28000000000000E+002,    0.00000000000000E+000,    1.03552461776622E-004,    1.66626359120018E-006,    0.00000000000000E+000 
    3.00000000000000E-011,    8.10600000000000E+003,    0.00000000000000E+000,    1.29872429521795E-009,   -1.00000000000000E+000,    1.29000000000000E+002,    0.00000000000000E+000,    1.05225459640795E-004,    1.67928127550644E-006,    0.00000000000000E+000 
