001-TIME,002-nPart-Spec-001,003-TempTra-001,004-TempVib001,005-XiVibMean001,006-TempRot001,007-TempTotal001
2.10000000000000E-007,1.99790000000000E+004,7.88991623772542E+003,7.58833931685519E+003,1.58604378874209E+000,8.01580118530657E+003,7.85551860626734E+003
2.20000000000000E-007,1.99790000000000E+004,7.87784010892234E+003,7.61009753549868E+003,1.58713326663305E+000,8.01238350055332E+003,7.85417938192564E+003
2.30000000000000E-007,1.99790000000000E+004,7.92264503220564E+003,7.62529253213333E+003,1.58789073821579E+000,7.92982434025920E+003,7.85315318983379E+003
2.40000000000000E-007,1.99790000000000E+004,7.89243785084324E+003,7.66275776877325E+003,1.58974663732829E+000,7.93810328050743E+003,7.85088810790583E+003
2.50000000000000E-007,1.99790000000000E+004,7.89621206801194E+003,7.67760408691362E+003,1.59047748634089E+000,7.91846288150929E+003,7.85020789822227E+003
2.60000000000000E-007,1.99790000000000E+004,7.90064151770183E+003,7.68692571718759E+003,1.59093504730570E+000,7.90312724894310E+003,7.84980859455604E+003
2.70000000000000E-007,1.99790000000000E+004,7.88902711655404E+003,7.73111219304863E+003,1.59309023200575E+000,7.87692986342426E+003,7.84720041334205E+003
2.80000000000000E-007,1.99790000000000E+004,7.86595316959330E+003,7.73853334360665E+003,1.59344998549719E+000,7.90431492496239E+003,7.84679573161923E+003
2.90000000000000E-007,1.99790000000000E+004,7.86333559515449E+003,7.76649006081751E+003,1.59479957971368E+000,7.88055492418718E+003,7.84513783827928E+003
3.00000000000000E-007,1.99790000000000E+004,7.82896656203481E+003,7.79530629946601E+003,1.59618137901166E+000,7.90158414405964E+003,7.84283932787716E+003
3.10000000000000E-007,1.99790000000000E+004,7.83279143263681E+003,7.80600368820301E+003,1.59669196048912E+000,7.88754680136526E+003,7.84290846730806E+003
3.20000000000000E-007,1.99790000000000E+004,7.84463912852055E+003,7.78478099821905E+003,1.59567775571470E+000,7.89087403695723E+003,7.84417754287914E+003
3.30000000000000E-007,1.99790000000000E+004,7.87189868451653E+003,7.76907848378106E+003,1.59492408408220E+000,7.86497436526253E+003,7.84493263445685E+003
