001-TIME,002-TempTra-001,003-TempTra-002,004-TempTra-003,005-TempVib001,006-TempVib002,007-XiVibMean001,008-XiVibMean002,009-TempRot001,010-TempRot002,011-TempTotal001,012-TempTotal002,013-TempTotal003
5.00000000000000E-008,5.16947213264083E+003,4.90207359883729E+003,5.03577353492130E+003,8.05666591348540E+003,2.01755507534537E+003,1.60829908761731E+000,1.08065046011932E+000,6.37720490637200E+003,3.57943708197746E+003,6.23766480633445E+003,3.95440700606938E+003,5.09604162020326E+003
5.50000000000000E-008,5.13118232080872E+003,4.94101690868568E+003,5.03610009064853E+003,7.98416712257112E+003,2.09516326244601E+003,1.60501081078669E+000,1.10760007562482E+000,6.23813765579963E+003,3.71876725662961E+003,6.15964121579296E+003,4.02468857208747E+003,5.09217023679825E+003
6.00000000000000E-008,5.10768791036045E+003,4.96277221618399E+003,5.03523042593318E+003,7.91236798518040E+003,2.16875749025197E+003,1.60169972694093E+000,1.13180287790602E+000,6.11832981559927E+003,3.84497306185756E+003,6.09433368188687E+003,4.08246469099853E+003,5.08840422127588E+003
6.50000000000000E-008,5.09478664680370E+003,4.97899928497901E+003,5.03689325565677E+003,7.83888554612214E+003,2.24187314409676E+003,1.59825339321613E+000,1.15463740142249E+000,6.00711818095900E+003,3.95660934270274E+003,6.03600973651591E+003,4.13326821103738E+003,5.08464373551123E+003
7.00000000000000E-008,5.07054857929446E+003,5.00523509253201E+003,5.03789199936449E+003,7.76554442045174E+003,2.31958611147337E+003,1.59475407499391E+000,1.17767795430148E+000,5.90536293854709E+003,4.05604557600667E+003,5.97543210496073E+003,4.18596146440259E+003,5.08070126294849E+003
7.50000000000000E-008,5.06492327071172E+003,5.00610357708826E+003,5.03551357110010E+003,7.69266421533115E+003,2.39051269331808E+003,1.59121622199129E+000,1.19767654970823E+000,5.82011971894867E+003,4.15430083194189E+003,5.92845083877313E+003,4.22577286498574E+003,5.07711611294196E+003
8.00000000000000E-008,5.05226028609193E+003,5.01678242718254E+003,5.03452144542289E+003,7.62461191082659E+003,2.45883040040989E+003,1.58785686827726E+000,1.21607199009614E+000,5.74077662070593E+003,4.24010209918572E+003,5.88129451883100E+003,4.26646703907370E+003,5.07388482016329E+003
8.50000000000000E-008,5.03727268773374E+003,5.02652343420730E+003,5.03189808787123E+003,7.55975054012988E+003,2.52403643591049E+003,1.58460357785757E+000,1.23288463752707E+000,5.67174337806019E+003,4.31997214449137E+003,5.83702756262626E+003,4.30480618499667E+003,5.07092070829525E+003
9.00000000000000E-008,5.04006625347390E+003,5.02145050765163E+003,5.03075842714988E+003,7.49930985690026E+003,2.59052727752011E+003,1.58152575997378E+000,1.24932400634362E+000,5.60385152644567E+003,4.38841318101996E+003,5.80234050989694E+003,4.33288236846138E+003,5.06761511659386E+003
9.50000000000000E-008,5.03386238618801E+003,5.01814147098729E+003,5.02600196793027E+003,7.43880287002871E+003,2.65389001764619E+003,1.57839885467948E+000,1.26436593034338E+000,5.55442454986086E+003,4.45210502501401E+003,5.76915979509646E+003,4.36023739479774E+003,5.06470212086717E+003
1.00000000000000E-007,5.03496097976551E+003,5.02594934920229E+003,5.03045518703610E+003,7.37292754943865E+003,2.71931165890374E+003,1.57494132765614E+000,1.27929375866896E+000,5.49417812316861E+003,4.50207783394895E+003,5.73467740776030E+003,4.38915636182280E+003,5.06192025204560E+003
1.05000000000000E-007,5.02606015764335E+003,5.02969561708114E+003,5.02787787826427E+003,7.31265918823993E+003,2.78109061297101E+003,1.57172839158233E+000,1.29285872340669E+000,5.43321397730463E+003,4.57157230165942E+003,5.69684567907821E+003,4.42212195398874E+003,5.05948700661262E+003
1.10000000000000E-007,5.03954472789189E+003,5.01847223135182E+003,5.02900853235715E+003,7.24665423709087E+003,2.83958895511493E+003,1.56815384963772E+000,1.30525224161573E+000,5.38877835189688E+003,4.62202752549673E+003,5.67283600222186E+003,4.44167029657221E+003,5.05725623046940E+003
1.15000000000000E-007,5.03021678166380E+003,5.02284167671832E+003,5.02652924764774E+003,7.19151403078226E+003,2.89686935852754E+003,1.56512196804317E+000,1.31698354379776E+000,5.35306966772050E+003,4.66487062214123E+003,5.64382298666485E+003,4.46627656262475E+003,5.05505272153142E+003
1.20000000000000E-007,5.02555275126059E+003,5.02311231138013E+003,5.02433253742772E+003,7.13752525757201E+003,2.95061491395073E+003,1.56211217527099E+000,1.32764417744720E+000,5.33043250742247E+003,4.69605116335178E+003,5.62122947452675E+003,4.48489282510328E+003,5.05306399357149E+003
1.25000000000000E-007,5.02721264408841E+003,5.02175986764575E+003,5.02448626951301E+003,7.08239291598703E+003,3.00489563177438E+003,1.55899565914327E+000,1.33808555694574E+000,5.30268828398901E+003,4.72568263146597E+003,5.59970401282618E+003,4.50253504066420E+003,5.05112227248200E+003
1.30000000000000E-007,5.01776469104936E+003,5.03173617288669E+003,5.02475039700348E+003,7.03282527081947E+003,3.05760763534965E+003,1.55615588325582E+000,1.34792570631076E+000,5.27536403331210E+003,4.75039918789397E+003,5.57463782308944E+003,4.52390846310608E+003,5.04927577261641E+003
1.35000000000000E-007,5.01970819382241E+003,5.03283517947266E+003,5.02627165379640E+003,6.97260492934885E+003,3.11124459971533E+003,1.55265660007568E+000,1.35764853080003E+000,5.25173227386244E+003,4.77726349640275E+003,5.55326677611117E+003,4.54208958722553E+003,5.04768071220512E+003
1.40000000000000E-007,5.03720041123830E+003,5.01919746802708E+003,5.02819898468623E+003,6.91731945331646E+003,3.15976663915591E+003,1.54939552995684E+000,1.36620240017798E+000,5.23017183666456E+003,4.80087732131460E+003,5.54090962766074E+003,4.55157187781486E+003,5.04624322861995E+003
1.45000000000000E-007,5.03755371408436E+003,5.02656262650543E+003,5.03205819780081E+003,6.86512116521997E+003,3.20677149354272E+003,1.54627297910141E+000,1.37427828226473E+000,5.20553384401727E+003,4.81996027557475E+003,5.52055807964261E+003,4.56939649645775E+003,5.04497966839399E+003
1.50000000000000E-007,5.03624238145763E+003,5.02835145734399E+003,5.03229693914836E+003,6.82149912615501E+003,3.25295797927470E+003,1.54363035492617E+000,1.38201910398160E+000,5.18010647203238E+003,4.84321211770242E+003,5.50135188772885E+003,4.58587293494385E+003,5.04361470238205E+003
1.55000000000000E-007,5.04575701589586E+003,5.02946228535687E+003,5.03760969140499E+003,6.76768544312141E+003,3.29974859769113E+003,1.54032796216053E+000,1.38967162325444E+000,5.15365453933815E+003,4.86139214248701E+003,5.48428694417667E+003,4.60066492683971E+003,5.04247814682984E+003
1.60000000000000E-007,5.05456981587415E+003,5.01922476010960E+003,5.03689737644518E+003,6.72674600789949E+003,3.34483348633815E+003,1.53778371206524E+000,1.39687096269342E+000,5.14887791400872E+003,4.86508363567892E+003,5.47674063547092E+003,4.60539887323172E+003,5.04107193494083E+003
1.65000000000000E-007,5.03558588472520E+003,5.02531019699526E+003,5.03044806657581E+003,6.68863509308528E+003,3.38855137255481E+003,1.53539002075470E+000,1.40369425149890E+000,5.13915134331302E+003,4.88933587802646E+003,5.45563827131423E+003,4.62406405844120E+003,5.03985324594634E+003
1.70000000000000E-007,5.03952856564417E+003,5.01700214841936E+003,5.02826541340559E+003,6.64902511941660E+003,3.43068793817793E+003,1.53287598998689E+000,1.41012847987001E+000,5.13180999424581E+003,4.90137925922267E+003,5.44543271636003E+003,4.63196265474491E+003,5.03869972131428E+003
1.75000000000000E-007,5.03271818762113E+003,5.02653961757634E+003,5.02962891806101E+003,6.60253103582845E+003,3.47070625278204E+003,1.52989040459284E+000,1.41611395295835E+000,5.12759726411228E+003,4.90828273199234E+003,5.42957014162001E+003,4.64628591176327E+003,5.03792998691144E+003
