LXCat, www.lxcat.net
Generated on XX Month XXXX. All rights reserved.

RECOMMENDED REFERENCE FORMAT
- BOLSIG+ solver ver. 03/2016, www.lxcat.net
- Phelps database, www.lxcat.net, retrieved on Month X, XXXX

DESCRIPTION
Swarm parameters were calculated here using BOLSIG+ solver for the numerical solution of
the Boltzmann equation for electrons in weakly ionized gases in uniform electric fields.

CONFIG
Tgas = 300 K
EEDF = non-Maxwellian

****************************************************************************************
*                                    BOLSIG+ OUTPUT                                    *
****************************************************************************************

BOLSIG+ version: 03/2016

 Transport coefficients
A1     Mean energy (eV)
A2     Mobility *N (1/m/V/s)
A6     Diffusion coefficient *N (1/m/s)
A11    Energy mobility *N (1/m/V/s)
A12    Energy diffusion coef. D*N (1/m/s)
A13    Total collision freq. /N (m3/s)
A14    Momentum frequency /N (m3/s)
A16    Total ionization freq. /N (m3/s)
A18    Townsend ioniz. coef. alpha/N (m2)
A20    Power /N (eV m3/s)
A21    Elastic power loss /N (eV m3/s)
A22    Inelastic power loss /N (eV m3/s)
A23    Growth power /N (eV m3/s)
A27    Maximum energy
A28    # of iterations
A29    # of grid trials
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A18         A20         A21         A22         A23         A27         A28         A29
          82   187.4       4.891      0.9409E+24  0.3437E+25  0.1431E+25  0.4883E+25  0.1543E-12  0.1869E-12  0.4554E-16  0.2583E-21  0.3304E-13  0.3470E-16  0.3278E-13  0.2227E-15   56.35       4.000       1.000
          83   205.7       5.289      0.9243E+24  0.3617E+25  0.1405E+25  0.5051E+25  0.1589E-12  0.1903E-12  0.7256E-16  0.3818E-21  0.3909E-13  0.3827E-16  0.3867E-13  0.3837E-15   66.70       8.000       2.000
          84   225.7       5.684      0.9075E+24  0.3792E+25  0.1378E+25  0.5216E+25  0.1632E-12  0.1938E-12  0.1121E-15  0.5472E-21  0.4623E-13  0.4195E-16  0.4555E-13  0.6371E-15   66.70       4.000       1.000
          85   247.7       6.083      0.8908E+24  0.3962E+25  0.1352E+25  0.5384E+25  0.1672E-12  0.1974E-12  0.1685E-15  0.7637E-21  0.5466E-13  0.4578E-16  0.5359E-13  0.1025E-14   66.70       5.000       1.000
          86   271.9       6.489      0.8740E+24  0.4129E+25  0.1325E+25  0.5556E+25  0.1710E-12  0.2012E-12  0.2473E-15  0.1041E-20  0.6460E-13  0.4982E-16  0.6294E-13  0.1605E-14   78.93       10.00       2.000
          87   298.4       6.907      0.8572E+24  0.4295E+25  0.1298E+25  0.5736E+25  0.1747E-12  0.2052E-12  0.3551E-15  0.1388E-20  0.7631E-13  0.5412E-16  0.7380E-13  0.2452E-14   78.93       5.000       1.000
          88   327.5       7.342      0.8403E+24  0.4462E+25  0.1272E+25  0.5927E+25  0.1783E-12  0.2093E-12  0.4999E-15  0.1817E-20  0.9010E-13  0.5874E-16  0.8637E-13  0.3671E-14   93.39       10.00       2.000
          89   359.4       7.800      0.8233E+24  0.4630E+25  0.1245E+25  0.6129E+25  0.1820E-12  0.2136E-12  0.6911E-15  0.2336E-20  0.1063E-12  0.6373E-16  0.1009E-12  0.5391E-14   110.5       10.00       2.000
          90   394.4       8.284      0.8062E+24  0.4802E+25  0.1219E+25  0.6346E+25  0.1856E-12  0.2182E-12  0.9397E-15  0.2955E-20  0.1254E-12  0.6916E-16  0.1176E-12  0.7785E-14   110.5       5.000       1.000
          91   432.9       8.801      0.7890E+24  0.4979E+25  0.1193E+25  0.6578E+25  0.1894E-12  0.2229E-12  0.1258E-14  0.3683E-20  0.1479E-12  0.7510E-16  0.1367E-12  0.1107E-13   130.7       10.00       2.000
          92   475.1       9.356      0.7718E+24  0.5163E+25  0.1167E+25  0.6828E+25  0.1932E-12  0.2279E-12  0.1660E-14  0.4528E-20  0.1742E-12  0.8161E-16  0.1586E-12  0.1554E-13   130.7       5.000       1.000
          93   521.4       9.955      0.7544E+24  0.5354E+25  0.1140E+25  0.7097E+25  0.1971E-12  0.2332E-12  0.2162E-14  0.5496E-20  0.2051E-12  0.8880E-16  0.1835E-12  0.2152E-13   154.6       11.00       2.000
          94   572.2       10.60      0.7369E+24  0.5555E+25  0.1114E+25  0.7386E+25  0.2012E-12  0.2387E-12  0.2780E-14  0.6592E-20  0.2413E-12  0.9674E-16  0.2117E-12  0.2947E-13   154.6       5.000       1.000
          95   628.0       11.30      0.7193E+24  0.5765E+25  0.1088E+25  0.7698E+25  0.2054E-12  0.2445E-12  0.3532E-14  0.7819E-20  0.2837E-12  0.1055E-15  0.2437E-12  0.3994E-13   182.8       11.00       2.000
          96   689.3       12.07      0.7017E+24  0.5987E+25  0.1062E+25  0.8034E+25  0.2098E-12  0.2507E-12  0.4439E-14  0.9179E-20  0.3333E-12  0.1153E-15  0.2797E-12  0.5359E-13   216.2       12.00       2.000
          97   756.5       12.91      0.6840E+24  0.6221E+25  0.1035E+25  0.8397E+25  0.2143E-12  0.2572E-12  0.5521E-14  0.1067E-19  0.3914E-12  0.1262E-15  0.3200E-12  0.7128E-13   255.6       12.00       2.000
          98   830.2       13.82      0.6663E+24  0.6469E+25  0.1010E+25  0.8792E+25  0.2190E-12  0.2640E-12  0.6800E-14  0.1229E-19  0.4592E-12  0.1384E-15  0.3651E-12  0.9401E-13   255.6       6.000       1.000
          99   911.2       14.83      0.6487E+24  0.6737E+25  0.9844E+24  0.9228E+25  0.2239E-12  0.2711E-12  0.8299E-14  0.1404E-19  0.5386E-12  0.1519E-15  0.4153E-12  0.1231E-12   302.3       12.00       2.000
         100   1000.       15.94      0.6312E+24  0.7020E+25  0.9596E+24  0.9705E+25  0.2290E-12  0.2787E-12  0.1004E-13  0.1591E-19  0.6312E-12  0.1671E-15  0.4710E-12  0.1600E-12   357.4       13.00       2.000


Rate coefficients (m3/s)
 C1    N2    Effective (momentum)
 C2    N2    Excitation    0.020 eV
 C3    N2    Excitation    0.29 eV
 C4    N2    Excitation    0.29 eV
 C5    N2    Excitation    0.59 eV
 C6    N2    Excitation    0.88 eV
 C7    N2    Excitation    1.17 eV
 C8    N2    Excitation    1.47 eV
 C9    N2    Excitation    1.76 eV
 C10   N2    Excitation    11.03 eV
 C11   N2    Excitation    11.87 eV
 C12   N2    Excitation    12.25 eV
 C13   N2    Excitation    13.00 eV
 C14   N2    Excitation    2.06 eV
 C15   N2    Excitation    2.35 eV
 C16   N2    Excitation    6.17 eV
 C17   N2    Excitation    7.00 eV
 C18   N2    Excitation    7.35 eV
 C19   N2    Excitation    7.36 eV
 C20   N2    Excitation    7.80 eV
 C21   N2    Excitation    8.16 eV
 C22   N2    Excitation    8.40 eV
 C23   N2    Excitation    8.55 eV
 C24   N2    Excitation    8.89 eV
 C25   N2    Ionization    15.60 eV
 C26   N2    Ionization    18.80 eV
          R#    E/N (Td) Energy (eV)      C1          C2          C3          C4          C5          C6          C7          C8          C9         C10         C11         C12         C13         C14         C15         C16         C17         C18         C19         C20         C21         C22         C23         C24         C25         C26
