LXCat, www.lxcat.net
Generated on XX Month XXXX. All rights reserved.

RECOMMENDED REFERENCE FORMAT
- BOLSIG+ solver ver. 03/2016, www.lxcat.net
- Phelps database, www.lxcat.net, retrieved on Month X, XXXX

DESCRIPTION
Swarm parameters were calculated here using BOLSIG+ solver for the numerical solution of
the Boltzmann equation for electrons in weakly ionized gases in uniform electric fields.

CONFIG
Tgas = 300 K
EEDF = non-Maxwellian

****************************************************************************************
*                                    BOLSIG+ OUTPUT                                    *
****************************************************************************************

BOLSIG+ version: 03/2016

 Transport coefficients
A1     Mean energy (eV)
A2     Mobility *N (1/m/V/s)
A6     Diffusion coefficient *N (1/m/s)
A11    Energy mobility *N (1/m/V/s)
A12    Energy diffusion coef. D*N (1/m/s)
A13    Total collision freq. /N (m3/s)
A14    Momentum frequency /N (m3/s)
A16    Total ionization freq. /N (m3/s)
A18    Townsend ioniz. coef. alpha/N (m2)
A20    Power /N (eV m3/s)
A21    Elastic power loss /N (eV m3/s)
A22    Inelastic power loss /N (eV m3/s)
A23    Growth power /N (eV m3/s)
A27    Maximum energy
A28    # of iterations
A29    # of grid trials
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A18         A20         A21         A22         A23         A27         A28         A29
          40   3.765      0.7856       0.000      0.2079E-15  0.1972E-15  0.5795E-15  0.1968E-14  0.4737E-14  0.6093E-14  0.7475E-14  0.8479E-14  0.4185E-14  0.1729E-14  0.4718E-15  0.5844E-14  0.5234E-14  0.2775E-14  0.4886E-16  0.3070E-15  0.2342E-14  0.6354E-15  0.3393E-15  0.5834E-15  0.5330E-15  0.1321E-14  0.1115E-14   0.000       0.000
          41   4.132      0.8063       0.000      0.2197E-15  0.2031E-15  0.7253E-15  0.2269E-14  0.5086E-14  0.6323E-14  0.7522E-14  0.8377E-14  0.4303E-14  0.1651E-14  0.4787E-15  0.5949E-14  0.5108E-14  0.2681E-14  0.5007E-16  0.3153E-15  0.2382E-14  0.6681E-15  0.3500E-15  0.5929E-15  0.5419E-15  0.1341E-14  0.1135E-14   0.000       0.000
          42   4.535      0.8262       0.000      0.2326E-15  0.2078E-15  0.8916E-15  0.2579E-14  0.5413E-14  0.6522E-14  0.7547E-14  0.8260E-14  0.4421E-14  0.1582E-14  0.4852E-15  0.6049E-14  0.4982E-14  0.2591E-14  0.5125E-16  0.3235E-15  0.2419E-14  0.6999E-15  0.3605E-15  0.6019E-15  0.5504E-15  0.1361E-14  0.1154E-14   0.000       0.000
          43   4.977      0.8454       0.000      0.2468E-15  0.2114E-15  0.1077E-14  0.2892E-14  0.5717E-14  0.6693E-14  0.7553E-14  0.8131E-14  0.4538E-14  0.1520E-14  0.4915E-15  0.6147E-14  0.4858E-14  0.2507E-14  0.5239E-16  0.3314E-15  0.2455E-14  0.7307E-15  0.3706E-15  0.6105E-15  0.5585E-15  0.1379E-14  0.1171E-14   0.000       0.000
          44   5.462      0.8639       0.000      0.2625E-15  0.2140E-15  0.1280E-14  0.3205E-14  0.5995E-14  0.6839E-14  0.7544E-14  0.7996E-14  0.4655E-14  0.1463E-14  0.4974E-15  0.6240E-14  0.4739E-14  0.2429E-14  0.5350E-16  0.3391E-15  0.2490E-14  0.7605E-15  0.3805E-15  0.6188E-15  0.5663E-15  0.1397E-14  0.1188E-14   0.000       0.000
          45   5.995      0.8815       0.000      0.2800E-15  0.2157E-15  0.1499E-14  0.3512E-14  0.6248E-14  0.6960E-14  0.7523E-14  0.7857E-14  0.4770E-14  0.1413E-14  0.5030E-15  0.6330E-14  0.4624E-14  0.2356E-14  0.5456E-16  0.3465E-15  0.2522E-14  0.7891E-15  0.3901E-15  0.6266E-15  0.5737E-15  0.1414E-14  0.1204E-14   0.000       0.000
          46   6.579      0.8983       0.000      0.2994E-15  0.2166E-15  0.1729E-14  0.3811E-14  0.6475E-14  0.7060E-14  0.7492E-14  0.7718E-14  0.4882E-14  0.1367E-14  0.5083E-15  0.6415E-14  0.4515E-14  0.2289E-14  0.5558E-16  0.3536E-15  0.2553E-14  0.8164E-15  0.3993E-15  0.6340E-15  0.5807E-15  0.1430E-14  0.1219E-14   0.000       0.000
          47   7.221      0.9143       0.000      0.3209E-15  0.2168E-15  0.1967E-14  0.4099E-14  0.6678E-14  0.7140E-14  0.7454E-14  0.7581E-14  0.4992E-14  0.1326E-14  0.5133E-15  0.6496E-14  0.4412E-14  0.2227E-14  0.5655E-16  0.3604E-15  0.2582E-14  0.8423E-15  0.4080E-15  0.6410E-15  0.5873E-15  0.1445E-14  0.1233E-14   0.000       0.000
          48   7.925      0.9294       0.000      0.3447E-15  0.2165E-15  0.2212E-14  0.4374E-14  0.6859E-14  0.7204E-14  0.7411E-14  0.7448E-14  0.5100E-14  0.1290E-14  0.5181E-15  0.6574E-14  0.4315E-14  0.2170E-14  0.5747E-16  0.3668E-15  0.2610E-14  0.8668E-15  0.4164E-15  0.6476E-15  0.5935E-15  0.1459E-14  0.1246E-14   0.000       0.000
          49   8.697      0.9437       0.000      0.3709E-15  0.2158E-15  0.2459E-14  0.4634E-14  0.7018E-14  0.7253E-14  0.7364E-14  0.7321E-14  0.5204E-14  0.1257E-14  0.5225E-15  0.6646E-14  0.4226E-14  0.2118E-14  0.5834E-16  0.3729E-15  0.2636E-14  0.8899E-15  0.4243E-15  0.6538E-15  0.5994E-15  0.1473E-14  0.1258E-14   0.000       0.000
          50   9.545      0.9571       0.000      0.3999E-15  0.2147E-15  0.2706E-14  0.4880E-14  0.7156E-14  0.7289E-14  0.7315E-14  0.7199E-14  0.5305E-14  0.1227E-14  0.5266E-15  0.6714E-14  0.4142E-14  0.2071E-14  0.5917E-16  0.3787E-15  0.2660E-14  0.9116E-15  0.4318E-15  0.6596E-15  0.6049E-15  0.1485E-14  0.1270E-14   0.000       0.000
          51   10.48      0.9698       0.000      0.4317E-15  0.2133E-15  0.2950E-14  0.5109E-14  0.7277E-14  0.7313E-14  0.7265E-14  0.7085E-14  0.5402E-14  0.1200E-14  0.5304E-15  0.6779E-14  0.4066E-14  0.2028E-14  0.5994E-16  0.3841E-15  0.2683E-14  0.9318E-15  0.4389E-15  0.6651E-15  0.6100E-15  0.1497E-14  0.1280E-14   0.000       0.000
          52   11.50      0.9814       0.000      0.4667E-15  0.2118E-15  0.3190E-14  0.5323E-14  0.7381E-14  0.7327E-14  0.7213E-14  0.6976E-14  0.5496E-14  0.1177E-14  0.5340E-15  0.6838E-14  0.3995E-14  0.1989E-14  0.6066E-16  0.3892E-15  0.2704E-14  0.9507E-15  0.4456E-15  0.6701E-15  0.6148E-15  0.1508E-14  0.1290E-14   0.000       0.000
          53   12.62      0.9929       0.000      0.5051E-15  0.2101E-15  0.3425E-14  0.5523E-14  0.7471E-14  0.7334E-14  0.7162E-14  0.6876E-14  0.5586E-14  0.1155E-14  0.5374E-15  0.6895E-14  0.3930E-14  0.1954E-14  0.6135E-16  0.3940E-15  0.2724E-14  0.9684E-15  0.4519E-15  0.6749E-15  0.6193E-15  0.1518E-14  0.1299E-14   0.000       0.000
          54   13.85       1.003       0.000      0.5473E-15  0.2083E-15  0.3653E-14  0.5707E-14  0.7546E-14  0.7332E-14  0.7110E-14  0.6781E-14  0.5673E-14  0.1136E-14  0.5404E-15  0.6947E-14  0.3870E-14  0.1921E-14  0.6199E-16  0.3984E-15  0.2743E-14  0.9848E-15  0.4578E-15  0.6793E-15  0.6234E-15  0.1528E-14  0.1308E-14   0.000       0.000
          55   15.20       1.013       0.000      0.5938E-15  0.2065E-15  0.3876E-14  0.5879E-14  0.7611E-14  0.7325E-14  0.7060E-14  0.6694E-14  0.5759E-14  0.1119E-14  0.5434E-15  0.6998E-14  0.3816E-14  0.1893E-14  0.6260E-16  0.4028E-15  0.2760E-14  0.1000E-14  0.4636E-15  0.6835E-15  0.6275E-15  0.1537E-14  0.1316E-14   0.000       0.000
          56   16.68       1.023       0.000      0.6451E-15  0.2047E-15  0.4095E-14  0.6040E-14  0.7665E-14  0.7312E-14  0.7008E-14  0.6611E-14  0.5843E-14  0.1104E-14  0.5463E-15  0.7046E-14  0.3765E-14  0.1866E-14  0.6319E-16  0.4069E-15  0.2777E-14  0.1015E-14  0.4690E-15  0.6876E-15  0.6312E-15  0.1546E-14  0.1324E-14   0.000       0.000
          57   18.31       1.032       0.000      0.7016E-15  0.2028E-15  0.4306E-14  0.6186E-14  0.7709E-14  0.7292E-14  0.6957E-14  0.6535E-14  0.5924E-14  0.1090E-14  0.5489E-15  0.7091E-14  0.3719E-14  0.1842E-14  0.6374E-16  0.4107E-15  0.2793E-14  0.1029E-14  0.4741E-15  0.6913E-15  0.6348E-15  0.1554E-14  0.1331E-14   0.000       0.000
          58   20.09       1.040       0.000      0.7641E-15  0.2008E-15  0.4513E-14  0.6323E-14  0.7743E-14  0.7268E-14  0.6906E-14  0.6462E-14  0.6005E-14  0.1077E-14  0.5514E-15  0.7134E-14  0.3677E-14  0.1820E-14  0.6427E-16  0.4144E-15  0.2808E-14  0.1042E-14  0.4791E-15  0.6949E-15  0.6382E-15  0.1561E-14  0.1338E-14   0.000       0.000
          59   22.05       1.049       0.000      0.8336E-15  0.1989E-15  0.4716E-14  0.6450E-14  0.7770E-14  0.7239E-14  0.6855E-14  0.6394E-14  0.6086E-14  0.1066E-14  0.5538E-15  0.7176E-14  0.3637E-14  0.1800E-14  0.6478E-16  0.4181E-15  0.2823E-14  0.1055E-14  0.4840E-15  0.6984E-15  0.6415E-15  0.1569E-14  0.1344E-14   0.000       0.000
          60   24.20       1.058       0.000      0.9108E-15  0.1969E-15  0.4918E-14  0.6568E-14  0.7789E-14  0.7206E-14  0.6802E-14  0.6329E-14  0.6169E-14  0.1055E-14  0.5562E-15  0.7217E-14  0.3599E-14  0.1781E-14  0.6529E-16  0.4216E-15  0.2837E-14  0.1067E-14  0.4888E-15  0.7019E-15  0.6447E-15  0.1576E-14  0.1351E-14   0.000       0.000
          61   26.56       1.067       0.000      0.9970E-15  0.1948E-15  0.5119E-14  0.6679E-14  0.7801E-14  0.7167E-14  0.6748E-14  0.6265E-14  0.6254E-14  0.1046E-14  0.5586E-15  0.7258E-14  0.3563E-14  0.1763E-14  0.6581E-16  0.4252E-15  0.2851E-14  0.1079E-14  0.4937E-15  0.7053E-15  0.6480E-15  0.1584E-14  0.1357E-14   0.000       0.000
          62   29.15       1.076       0.000      0.1093E-14  0.1927E-15  0.5323E-14  0.6784E-14  0.7807E-14  0.7123E-14  0.6691E-14  0.6202E-14  0.6345E-14  0.1036E-14  0.5610E-15  0.7299E-14  0.3528E-14  0.1746E-14  0.6633E-16  0.4289E-15  0.2866E-14  0.1091E-14  0.4986E-15  0.7089E-15  0.6513E-15  0.1591E-14  0.1364E-14   0.000       0.000
          63   31.99       1.087       0.000      0.1201E-14  0.1906E-15  0.5529E-14  0.6884E-14  0.7807E-14  0.7074E-14  0.6632E-14  0.6138E-14  0.6442E-14  0.1027E-14  0.5636E-15  0.7343E-14  0.3493E-14  0.1729E-14  0.6689E-16  0.4327E-15  0.2882E-14  0.1104E-14  0.5039E-15  0.7127E-15  0.6548E-15  0.1599E-14  0.1370E-14   0.000       0.000
          64   35.11       1.093       0.000      0.1320E-14  0.1883E-15  0.5737E-14  0.6977E-14  0.7797E-14  0.7016E-14  0.6566E-14  0.6071E-14  0.6546E-14  0.1017E-14  0.5662E-15  0.7389E-14  0.3456E-14  0.1711E-14  0.6749E-16  0.4368E-15  0.2897E-14  0.1117E-14  0.5094E-15  0.7166E-15  0.6584E-15  0.1608E-14  0.1377E-14   0.000       0.000
          65   38.54       1.105       0.000      0.1455E-14  0.1861E-15  0.5951E-14  0.7067E-14  0.7782E-14  0.6954E-14  0.6497E-14  0.6001E-14  0.6666E-14  0.1008E-14  0.5694E-15  0.7444E-14  0.3418E-14  0.1693E-14  0.6821E-16  0.4416E-15  0.2916E-14  0.1133E-14  0.5159E-15  0.7214E-15  0.6628E-15  0.1618E-14  0.1385E-14   0.000       0.000
          66   42.29       1.121       0.000      0.1604E-14  0.1839E-15  0.6169E-14  0.7151E-14  0.7757E-14  0.6881E-14  0.6419E-14  0.5924E-14  0.6805E-14  0.9973E-15  0.5733E-15  0.7514E-14  0.3377E-14  0.1673E-14  0.6913E-16  0.4474E-15  0.2937E-14  0.1152E-14  0.5237E-15  0.7274E-15  0.6682E-15  0.1631E-14  0.1394E-14   0.000       0.000
          67   46.42       1.142       0.000      0.1770E-14  0.1819E-15  0.6388E-14  0.7224E-14  0.7718E-14  0.6795E-14  0.6329E-14  0.5838E-14  0.6972E-14  0.9854E-15  0.5783E-15  0.7608E-14  0.3329E-14  0.1651E-14  0.7036E-16  0.4548E-15  0.2964E-14  0.1177E-14  0.5334E-15  0.7352E-15  0.6752E-15  0.1649E-14  0.1405E-14   0.000       0.000
          68   50.94       1.172       0.000      0.1953E-14  0.1804E-15  0.6605E-14  0.7283E-14  0.7659E-14  0.6690E-14  0.6222E-14  0.5735E-14  0.7177E-14  0.9712E-15  0.5852E-15  0.7742E-14  0.3273E-14  0.1623E-14  0.7212E-16  0.4648E-15  0.2998E-14  0.1211E-14  0.5463E-15  0.7463E-15  0.6849E-15  0.1673E-14  0.1419E-14   0.000       0.000
          69   55.91       1.217       0.000      0.2150E-14  0.1796E-15  0.6808E-14  0.7317E-14  0.7571E-14  0.6561E-14  0.6092E-14  0.5611E-14  0.7431E-14  0.9540E-15  0.5948E-15  0.7939E-14  0.3204E-14  0.1590E-14  0.7468E-16  0.4788E-15  0.3042E-14  0.1260E-14  0.5638E-15  0.7619E-15  0.6983E-15  0.1710E-14  0.1436E-14   0.000       0.000
          70   61.36       1.283       0.000      0.2359E-14  0.1801E-15  0.6989E-14  0.7317E-14  0.7444E-14  0.6398E-14  0.5931E-14  0.5458E-14  0.7749E-14  0.9324E-15  0.6083E-15  0.8229E-14  0.3119E-14  0.1548E-14  0.7841E-16  0.4982E-15  0.3101E-14  0.1328E-14  0.5878E-15  0.7840E-15  0.7170E-15  0.1762E-14  0.1458E-14   0.000       0.000
          71   67.34       1.380       0.000      0.2574E-14  0.1826E-15  0.7133E-14  0.7268E-14  0.7266E-14  0.6191E-14  0.5728E-14  0.5267E-14  0.8145E-14  0.9052E-15  0.6271E-15  0.8650E-14  0.3011E-14  0.1496E-14  0.8376E-16  0.5253E-15  0.3178E-14  0.1425E-14  0.6206E-15  0.8151E-15  0.7430E-15  0.1837E-14  0.1486E-14   0.000       0.000
          72   73.91       1.516       0.000      0.2786E-14  0.1876E-15  0.7221E-14  0.7157E-14  0.7027E-14  0.5935E-14  0.5481E-14  0.5034E-14  0.8622E-14  0.8719E-15  0.6521E-15  0.9235E-14  0.2880E-14  0.1431E-14  0.9110E-16  0.5615E-15  0.3276E-14  0.1556E-14  0.6637E-15  0.8566E-15  0.7772E-15  0.1940E-14  0.1520E-14   0.000       0.000
          73   81.11       1.697       0.000      0.2984E-14  0.1959E-15  0.7238E-14  0.6973E-14  0.6721E-14  0.5625E-14  0.5183E-14  0.4755E-14  0.9179E-14  0.8318E-15  0.6842E-15  0.1002E-13  0.2721E-14  0.1352E-14  0.1008E-15  0.6082E-15  0.3397E-14  0.1727E-14  0.7187E-15  0.9098E-15  0.8206E-15  0.2076E-14  0.1561E-14   0.000       0.000
          74   89.02       1.929       0.000      0.3156E-14  0.2077E-15  0.7173E-14  0.6713E-14  0.6346E-14  0.5262E-14  0.4836E-14  0.4430E-14  0.9804E-14  0.7851E-15  0.7234E-15  0.1101E-13  0.2536E-14  0.1261E-14  0.1129E-15  0.6658E-15  0.3538E-14  0.1941E-14  0.7856E-15  0.9749E-15  0.8730E-15  0.2246E-14  0.1608E-14   0.000       0.000
          75   97.70       2.211       0.000      0.3289E-14  0.2232E-15  0.7020E-14  0.6380E-14  0.5913E-14  0.4856E-14  0.4452E-14  0.4071E-14  0.1047E-13  0.7336E-15  0.7688E-15  0.1222E-13  0.2331E-14  0.1159E-14  0.1273E-15  0.7331E-15  0.3695E-14  0.2192E-14  0.8628E-15  0.1050E-14  0.9328E-15  0.2448E-14  0.1657E-14   0.000       0.000
          76   107.2       2.538       0.000      0.3375E-14  0.2421E-15  0.6783E-14  0.5985E-14  0.5437E-14  0.4422E-14  0.4042E-14  0.3689E-14  0.1114E-13  0.6788E-15  0.8186E-15  0.1361E-13  0.2112E-14  0.1050E-14  0.1435E-15  0.8080E-15  0.3861E-14  0.2474E-14  0.9477E-15  0.1132E-14  0.9973E-15  0.2675E-14  0.1707E-14   0.000       0.000
          77   117.7       2.899       0.000      0.3412E-14  0.2636E-15  0.6478E-14  0.5548E-14  0.4938E-14  0.3977E-14  0.3624E-14  0.3301E-14  0.1177E-13  0.6233E-15  0.8705E-15  0.1515E-13  0.1889E-14  0.9396E-15  0.1610E-15  0.8873E-15  0.4027E-14  0.2774E-14  0.1037E-14  0.1217E-14  0.1063E-14  0.2920E-14  0.1754E-14   0.000       0.000
          78   129.2       3.285       0.000      0.3403E-14  0.2869E-15  0.6124E-14  0.5092E-14  0.4439E-14  0.3540E-14  0.3215E-14  0.2921E-14  0.1234E-13  0.5695E-15  0.9220E-15  0.1677E-13  0.1672E-14  0.8313E-15  0.1789E-15  0.9676E-15  0.4184E-14  0.3080E-14  0.1125E-14  0.1300E-14  0.1127E-14  0.3171E-14  0.1796E-14   0.000       0.000
          79   141.7       3.685       0.000      0.3351E-14  0.3114E-15  0.5739E-14  0.4636E-14  0.3960E-14  0.3127E-14  0.2830E-14  0.2564E-14  0.1283E-13  0.5190E-15  0.9709E-15  0.1843E-13  0.1467E-14  0.7293E-15  0.1966E-15  0.1046E-14  0.4326E-14  0.3379E-14  0.1211E-14  0.1378E-14  0.1186E-14  0.3419E-14  0.1830E-14   0.000       0.000
          80   155.6       4.088       0.000      0.3266E-14  0.3362E-15  0.5345E-14  0.4198E-14  0.3513E-14  0.2747E-14  0.2477E-14  0.2238E-14  0.1321E-13  0.4733E-15  0.1015E-14  0.2010E-13  0.1280E-14  0.6362E-15  0.2135E-15  0.1119E-14  0.4448E-14  0.3661E-14  0.1290E-14  0.1448E-14  0.1237E-14  0.3657E-14  0.1854E-14   0.000       0.000
          81   170.7       4.490       0.000      0.3155E-14  0.3610E-15  0.4958E-14  0.3791E-14  0.3110E-14  0.2408E-14  0.2163E-14  0.1949E-14  0.1348E-13  0.4330E-15  0.1054E-14  0.2173E-13  0.1114E-14  0.5534E-15  0.2291E-15  0.1186E-14  0.4548E-14  0.3919E-14  0.1360E-14  0.1509E-14  0.1280E-14  0.3878E-14  0.1870E-14   0.000       0.000
          82   187.4       4.891       0.000      0.3027E-14  0.3857E-15  0.4585E-14  0.3417E-14  0.2750E-14  0.2109E-14  0.1887E-14  0.1696E-14  0.1366E-13  0.3979E-15  0.1087E-14  0.2332E-13  0.9686E-15  0.4809E-15  0.2435E-15  0.1246E-14  0.4625E-14  0.4150E-14  0.1422E-14  0.1559E-14  0.1315E-14  0.4083E-14  0.1876E-14   0.000       0.000
          83   205.7       5.289       0.000      0.2888E-14  0.4102E-15  0.4231E-14  0.3079E-14  0.2432E-14  0.1848E-14  0.1647E-14  0.1476E-14  0.1374E-13  0.3678E-15  0.1114E-14  0.2487E-13  0.8422E-15  0.4180E-15  0.2565E-15  0.1299E-14  0.4680E-14  0.4352E-14  0.1476E-14  0.1599E-14  0.1341E-14  0.4268E-14  0.1874E-14   0.000       0.000
          84   225.7       5.684       0.000      0.2743E-14  0.4347E-15  0.3903E-14  0.2778E-14  0.2156E-14  0.1624E-14  0.1443E-14  0.1288E-14  0.1374E-13  0.3423E-15  0.1135E-14  0.2637E-13  0.7348E-15  0.3645E-15  0.2678E-15  0.1345E-14  0.4715E-14  0.4523E-14  0.1520E-14  0.1629E-14  0.1358E-14  0.4433E-14  0.1864E-14   0.000       0.000
          85   247.7       6.083       0.000      0.2596E-14  0.4595E-15  0.3600E-14  0.2511E-14  0.1917E-14  0.1432E-14  0.1268E-14  0.1129E-14  0.1367E-13  0.3208E-15  0.1151E-14  0.2784E-13  0.6432E-15  0.3189E-15  0.2778E-15  0.1383E-14  0.4731E-14  0.4666E-14  0.1556E-14  0.1650E-14  0.1368E-14  0.4580E-14  0.1847E-14   0.000       0.000
          86   271.9       6.489       0.000      0.2449E-14  0.4847E-15  0.3321E-14  0.2274E-14  0.1710E-14  0.1268E-14  0.1118E-14  0.9928E-15  0.1354E-13  0.3026E-15  0.1161E-14  0.2929E-13  0.5653E-15  0.2801E-15  0.2864E-15  0.1415E-14  0.4730E-14  0.4782E-14  0.1584E-14  0.1663E-14  0.1372E-14  0.4710E-14  0.1824E-14   0.000       0.000
          87   298.4       6.907       0.000      0.2304E-14  0.5106E-15  0.3064E-14  0.2063E-14  0.1530E-14  0.1126E-14  0.9900E-15  0.8766E-15  0.1336E-13  0.2870E-15  0.1166E-14  0.3072E-13  0.4988E-15  0.2470E-15  0.2937E-15  0.1441E-14  0.4715E-14  0.4872E-14  0.1606E-14  0.1669E-14  0.1370E-14  0.4825E-14  0.1796E-14   0.000       0.000
          88   327.5       7.342       0.000      0.2162E-14  0.5375E-15  0.2826E-14  0.1875E-14  0.1373E-14  0.1004E-14  0.8796E-15  0.7768E-15  0.1313E-13  0.2736E-15  0.1167E-14  0.3216E-13  0.4417E-15  0.2186E-15  0.2999E-15  0.1461E-14  0.4688E-14  0.4939E-14  0.1621E-14  0.1668E-14  0.1362E-14  0.4926E-14  0.1763E-14   0.000       0.000
          89   359.4       7.800       0.000      0.2025E-14  0.5654E-15  0.2606E-14  0.1706E-14  0.1235E-14  0.8971E-15  0.7841E-15  0.6908E-15  0.1287E-13  0.2619E-15  0.1165E-14  0.3360E-13  0.3925E-15  0.1941E-15  0.3049E-15  0.1476E-14  0.4649E-14  0.4983E-14  0.1630E-14  0.1661E-14  0.1350E-14  0.5015E-14  0.1727E-14   0.000       0.000
          90   394.4       8.284       0.000      0.1891E-14  0.5940E-15  0.2403E-14  0.1554E-14  0.1114E-14  0.8044E-15  0.7013E-15  0.6165E-15  0.1257E-13  0.2515E-15  0.1158E-14  0.3507E-13  0.3500E-15  0.1730E-15  0.3089E-15  0.1486E-14  0.4599E-14  0.5005E-14  0.1634E-14  0.1649E-14  0.1334E-14  0.5091E-14  0.1687E-14   0.000       0.000
          91   432.9       8.801       0.000      0.1762E-14  0.6234E-15  0.2214E-14  0.1417E-14  0.1006E-14  0.7232E-15  0.6290E-15  0.5518E-15  0.1225E-13  0.2422E-15  0.1148E-14  0.3656E-13  0.3131E-15  0.1547E-15  0.3118E-15  0.1491E-14  0.4540E-14  0.5007E-14  0.1633E-14  0.1633E-14  0.1315E-14  0.5156E-14  0.1644E-14   0.000       0.000
          92   475.1       9.356       0.000      0.1638E-14  0.6532E-15  0.2037E-14  0.1292E-14  0.9097E-15  0.6510E-15  0.5650E-15  0.4948E-15  0.1190E-13  0.2335E-15  0.1135E-14  0.3808E-13  0.2806E-15  0.1386E-15  0.3137E-15  0.1491E-14  0.4473E-14  0.4990E-14  0.1627E-14  0.1612E-14  0.1292E-14  0.5211E-14  0.1599E-14   0.000       0.000
          93   521.4       9.955       0.000      0.1519E-14  0.6829E-15  0.1872E-14  0.1177E-14  0.8231E-15  0.5868E-15  0.5083E-15  0.4443E-15  0.1154E-13  0.2254E-15  0.1120E-14  0.3964E-13  0.2518E-15  0.1243E-15  0.3147E-15  0.1488E-14  0.4398E-14  0.4955E-14  0.1616E-14  0.1588E-14  0.1267E-14  0.5256E-14  0.1551E-14   0.000       0.000
          94   572.2       10.60       0.000      0.1405E-14  0.7121E-15  0.1719E-14  0.1073E-14  0.7452E-15  0.5294E-15  0.4578E-15  0.3996E-15  0.1115E-13  0.2177E-15  0.1101E-14  0.4123E-13  0.2263E-15  0.1117E-15  0.3147E-15  0.1480E-14  0.4316E-14  0.4903E-14  0.1601E-14  0.1560E-14  0.1240E-14  0.5290E-14  0.1501E-14   0.000       0.000
          95   628.0       11.30       0.000      0.1296E-14  0.7403E-15  0.1575E-14  0.9769E-15  0.6748E-15  0.4779E-15  0.4126E-15  0.3597E-15  0.1076E-13  0.2102E-15  0.1081E-14  0.4287E-13  0.2037E-15  0.1005E-15  0.3138E-15  0.1468E-14  0.4227E-14  0.4834E-14  0.1582E-14  0.1529E-14  0.1211E-14  0.5315E-14  0.1450E-14   0.000       0.000
          96   689.3       12.07       0.000      0.1193E-14  0.7669E-15  0.1441E-14  0.8884E-15  0.6106E-15  0.4312E-15  0.3718E-15  0.3237E-15  0.1036E-13  0.2027E-15  0.1058E-14  0.4455E-13  0.1832E-15  0.9036E-16  0.3119E-15  0.1452E-14  0.4131E-14  0.4749E-14  0.1560E-14  0.1496E-14  0.1181E-14  0.5330E-14  0.1397E-14   0.000       0.000
          97   756.5       12.91       0.000      0.1095E-14  0.7914E-15  0.1316E-14  0.8071E-15  0.5523E-15  0.3891E-15  0.3351E-15  0.2914E-15  0.9943E-14  0.1953E-15  0.1034E-14  0.4628E-13  0.1649E-15  0.8129E-16  0.3092E-15  0.1433E-14  0.4030E-14  0.4650E-14  0.1533E-14  0.1460E-14  0.1149E-14  0.5335E-14  0.1344E-14   0.000       0.000
          98   830.2       13.82       0.000      0.1002E-14  0.8132E-15  0.1200E-14  0.7324E-15  0.4992E-15  0.3510E-15  0.3020E-15  0.2624E-15  0.9524E-14  0.1879E-15  0.1008E-14  0.4805E-13  0.1484E-15  0.7315E-16  0.3057E-15  0.1409E-14  0.3922E-14  0.4536E-14  0.1503E-14  0.1422E-14  0.1117E-14  0.5330E-14  0.1289E-14   0.000       0.000
          99   911.2       14.83       0.000      0.9153E-15  0.8319E-15  0.1091E-14  0.6635E-15  0.4507E-15  0.3163E-15  0.2719E-15  0.2361E-15  0.9100E-14  0.1805E-15  0.9803E-15  0.4987E-13  0.1335E-15  0.6578E-16  0.3012E-15  0.1383E-14  0.3809E-14  0.4411E-14  0.1470E-14  0.1383E-14  0.1084E-14  0.5315E-14  0.1234E-14   0.000       0.000
         100   1000.       15.94       0.000      0.8339E-15  0.8468E-15  0.9906E-15  0.6003E-15  0.4067E-15  0.2850E-15  0.2448E-15  0.2124E-15  0.8674E-14  0.1729E-15  0.9518E-15  0.5173E-13  0.1200E-15  0.5914E-16  0.2960E-15  0.1353E-14  0.3691E-14  0.4273E-14  0.1434E-14  0.1342E-14  0.1051E-14  0.5291E-14  0.1178E-14   0.000       0.000



