"001-time","002-E-El","003-HDG-#iterations","004-HDG-RunTime","005-HDG-RunTimePerIteration","006-HDG-Norm"
0.1420000000000001E+001,0.1663804247460327E-003,0.1320000000000000E+003,0.7226552999999969E-002,0.5474661363636340E-004,0.7320185551836910E-012
0.1440000000000001E+001,0.9488198950696324E-004,0.1320000000000000E+003,0.7289353999999970E-002,0.5522237878787856E-004,0.9070572666386138E-012
0.1460000000000001E+001,0.4376343934773929E-004,0.1330000000000000E+003,0.7287522000000046E-002,0.5479339849624095E-004,0.6240851518237965E-012
0.1480000000000001E+001,0.1254835709895511E-004,0.1330000000000000E+003,0.7330781999999925E-002,0.5511866165413477E-004,0.6575070029274449E-012
0.1500000000000001E+001,0.7163698923661393E-006,0.1330000000000000E+003,0.7231738999999959E-002,0.5437397744360871E-004,0.6738197261080612E-012
0.1520000000000001E+001,0.7705130215628507E-005,0.1330000000000000E+003,0.7741142999999950E-002,0.5820408270676655E-004,0.6809148609659877E-012
0.1540000000000001E+001,0.3291239370862806E-004,0.1330000000000000E+003,0.7378832000000113E-002,0.5547993984962491E-004,0.6841348476697824E-012
0.1560000000000001E+001,0.7569818682329073E-004,0.1330000000000000E+003,0.7360962999999998E-002,0.5534558646616540E-004,0.6857767524631142E-012
0.1580000000000001E+001,0.1353870572518578E-003,0.1330000000000000E+003,0.7415516000000011E-002,0.5575575939849632E-004,0.6869153362549275E-012
0.1600000000000001E+001,0.2112703998354844E-003,0.1330000000000000E+003,0.7230359000000020E-002,0.5436360150375954E-004,0.6881545338609726E-012
0.1620000000000001E+001,0.3026088504958834E-003,0.1330000000000000E+003,0.7612121999999943E-002,0.5723399999999957E-004,0.6900331442892006E-012
0.1640000000000001E+001,0.4086347405879008E-003,0.1330000000000000E+003,0.7381526000000083E-002,0.5550019548872243E-004,0.6922168481350363E-012
0.1660000000000001E+001,0.5285546039514439E-003,0.1330000000000000E+003,0.7677739999999988E-002,0.5772736842105255E-004,0.6954732884478645E-012
0.1680000000000001E+001,0.6615517288466380E-003,0.1330000000000000E+003,0.7279417000000010E-002,0.5473245864661662E-004,0.6992737292710559E-012
0.1700000000000001E+001,0.8067887468861161E-003,0.1330000000000000E+003,0.7250978000000075E-002,0.5451863157894793E-004,0.7036807387308066E-012
0.1720000000000001E+001,0.9634102510352807E-003,0.1330000000000000E+003,0.7310984000000076E-002,0.5496980451127876E-004,0.7088403465192197E-012
0.1740000000000001E+001,0.1130545434731463E-002,0.1330000000000000E+003,0.7373223000000095E-002,0.5543776691729395E-004,0.7147440462833551E-012
0.1760000000000001E+001,0.1307310744180746E-002,0.1330000000000000E+003,0.7289890999999993E-002,0.5481121052631573E-004,0.7209859574346649E-012
0.1780000000000001E+001,0.1492812535921246E-002,0.1330000000000000E+003,0.7415673000000123E-002,0.5575693984962498E-004,0.7278574894163183E-012
0.1800000000000001E+001,0.1686149731799446E-002,0.1330000000000000E+003,0.7304136000000017E-002,0.5491831578947381E-004,0.7353362773885855E-012
0.1820000000000001E+001,0.1886416463584047E-002,0.1330000000000000E+003,0.7345927000000030E-002,0.5523253383458669E-004,0.7431811436516523E-012
0.1840000000000001E+001,0.2092704699548704E-002,0.1330000000000000E+003,0.7391348000000075E-002,0.5557404511278252E-004,0.7509351695653282E-012
0.1860000000000001E+001,0.2304106845481074E-002,0.1330000000000000E+003,0.8427694999999957E-002,0.6336612781954855E-004,0.7590642908875600E-012
0.1880000000000001E+001,0.2519718312725282E-002,0.1330000000000000E+003,0.7347078000000007E-002,0.5524118796992486E-004,0.7681567978543076E-012
0.1900000000000001E+001,0.2738640046037600E-002,0.1330000000000000E+003,0.7294076999999954E-002,0.5484268421052597E-004,0.7765216563889270E-012
0.1920000000000001E+001,0.2959981004228636E-002,0.1330000000000000E+003,0.7384382000000023E-002,0.5552166917293250E-004,0.7851190740355815E-012
0.1940000000000001E+001,0.3182860586776768E-002,0.1330000000000000E+003,0.7239291999999953E-002,0.5443076691729288E-004,0.7933264567579127E-012
0.1960000000000001E+001,0.3406410999832381E-002,0.1330000000000000E+003,0.7412462999999980E-002,0.5573280451127805E-004,0.8017673612422526E-012
0.1980000000000001E+001,0.3629779555282968E-002,0.1330000000000000E+003,0.7247895000000004E-002,0.5449545112781958E-004,0.8100327329472693E-012
0.2000000000000001E+001,0.3852130896816340E-002,0.1330000000000000E+003,0.7482458999999997E-002,0.5625909022556389E-004,0.8175578436061474E-012
