001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,005-nPart-Spec-004,006-TempTra-001,007-TempTra-002,008-TempTra-003,009-TempTra-004,010-TempVib001,011-TempVib002,012-TempVib003,013-XiVibMean001,014-XiVibMean002,015-XiVibMean003,016-TempRot001,017-TempRot002,018-TempRot003,019-TempTotal001,020-TempTotal002,021-TempTotal003,022-TempTotal004
4.46000000000046E-05,532,2464,2464,5460,3734.83041800922,3688.95111795654,3768.15697065101,3729.16558840841,3665.66058202565,3718.40678439037,0,11.7116328309933,7.88713965260394,0,3596.74877479056,3766.23023552554,0,3665.70428698797,3722.37472562827,3768.15697065101,3737.51369602743
4.47000000000046E-05,531,2465,2465,5461,3577.72916264985,3747.53834980745,3741.09187391711,3728.11713730967,3646.92336842717,3732.1319443441,0,11.6850426888443,7.89940885444905,0,3732.7727865245,3695.09138971311,0,3649.74867328162,3727.4625049325,3741.09187391711,3726.05806434294
4.48000000000046E-05,529,2467,2467,5463,3618.36496336117,3805.16200559384,3699.03436911357,3739.148365737,3629.25148135435,3729.6244631987,0,11.6597641124782,7.89717263368817,0,3590.99608371086,3708.15580818547,0,3620.90336605842,3741.2963813954,3699.03436911357,3710.5535131156
4.49000000000046E-05,529,2467,2467,5463,3894.52424525245,3713.60733101455,3792.23751217411,3766.63418522515,3625.49150538141,3728.04079089635,0,11.6543604004618,7.89575907262201,0,3486.78763838563,3679.20989304573,0,3647.63825042099,3714.38244577066,3792.23751217411,3743.07744292924
4.50000000000046E-05,529,2467,2467,5463,3470.41609724103,3798.19376652803,3708.81766715938,3726.09323125523,3629.25148135435,3726.65507763179,0,11.6597641124782,7.89452143669516,0,3739.25466029485,3714.52852057837,0,3620.95597895775,3739.48289587228,3708.81766715938,3714.15764266296
4.51000000000046E-05,529,2467,2467,5463,3481.05675704848,3734.53085757297,3668.49656320213,3680.1661489165,3619.16221249363,3737.27887932674,0,11.6452439926174,7.90399164100163,0,3963.39391133562,3737.20794237558,0,3654.20727792028,3736.67064563866,3668.49656320213,3697.8991678986
4.52000000000046E-05,529,2467,2467,5463,3477.52010607402,3687.40107300976,3763.97860074558,3701.6587573252,3615.33957025448,3745.26322718444,0,11.6397257564029,7.91108133402314,0,3977.5128433688,3667.43537943693,0,3653.49557313662,3716.00094368596,3763.97860074558,3731.6142585213
4.53000000000047E-05,528,2468,2468,5464,3396.57965179751,3722.42716472889,3757.09010428301,3706.59639020323,3632.32212839892,3744.27343199547,0,11.6641705408368,7.91020373108475,0,3691.48843691498,3686.84934206133,0,3602.33325895094,3727.17727178103,3757.09010428301,3728.62442255713
4.54000000000047E-05,527,2469,2469,5465,3537.61720455438,3759.3691362767,3730.56089014162,3724.97008271308,3638.02475862455,3727.18296839924,0,11.6723381986131,7.89499300182958,0,3659.17220021649,3694.09702155054,0,3624.56981368391,3726.98870152099,3730.56089014162,3718.72611777245
4.55000000000047E-05,527,2469,2469,5465,3743.86662247484,3699.43354074994,3654.3248749249,3683.33892741911,3661.02327832569,3722.23399245439,0,11.7050722077945,7.8905679775405,0,3683.69309876705,3776.40009749063,0,3678.90174219506,3729.0081546159,3654.3248749249,3690.43558427686
4.56000000000047E-05,525,2471,2471,5467,3493.42023109272,3749.56935087267,3738.58276582298,3720.00539631948,3645.8580419015,3704.41767905292,0,11.6835243319039,7.87456152719079,0,3701.30003489409,3749.31974374213,0,3629.40275572738,3723.88937255454,3738.58276582298,3721.45694177569
4.57000000000047E-05,525,2471,2471,5467,3589.05838700515,3780.21702360213,3745.19547851832,3746.03071994098,3656.2606420933,3699.13877137841,0,11.698320456816,7.86979579228454,0,3520.96048745855,3737.04298226513,0,3621.9349426208,3724.87436220303,3745.19547851832,3724.17384695416
4.58000000000047E-05,523,2473,2473,5469,3523.47162041052,3868.19550275808,3741.96887683513,3778.15179524753,3652.93932998387,3692.01224601782,0,11.693603692291,7.863345210265,0,3499.13428893485,3677.07368432108,0,3604.90964272252,3726.90527347936,3741.96887683513,3722.05037792496
4.59000000000048E-05,522,2474,2474,5470,3568.68689820531,3773.50651256594,3753.61487474012,3744.96396216789,3671.864542381,3697.48911273012,0,11.7203891952968,7.86830432537062,0,3491.85263221203,3695.72370362063,0,3623.9215399068,3713.55134838293,3753.61487474012,3723.11814987894
4.60000000000048E-05,521,2475,2475,5471,3504.98856212153,3781.9628713046,3693.05118177954,3715.36443470089,3644.04072018125,3699.13877137841,0,11.6809325614832,7.86979579228454,0,3556.66829590211,3762.64598446489,0,3605.6222858224,3730.78984581472,3693.05118177954,3701.79779824699
4.61000000000048E-05,521,2475,2475,5471,3798.42971628991,3777.85506302378,3727.76505730457,3757.15439224999,3645.23137923935,3689.96666929394,0,11.6826308505077,7.86149007012383,0,3400.96256595713,3732.67890110705,0,3629.78054327468,3718.23216417557,3727.76505730457,3714.12151091381
4.62000000000048E-05,521,2475,2475,5471,3687.775777575,3837.74814187653,3695.94762223004,3759.31789367215,3649.4300190758,3689.90068294801,0,11.6886125070425,7.86143020022683,0,3611.40900626435,3674.76888201113,0,3649.48509615224,3718.62405190949,3695.94762223004,3701.78150769341
4.63000000000048E-05,521,2475,2475,5471,3820.23401043221,3813.67441677237,3701.46319487813,3763.53637511793,3662.6526012473,3685.6775568084,0,11.7073788018319,7.85759505574841,0,3544.58913245865,3686.5709513548,0,3669.34776615655,3713.58072196625,3701.46319487813,3703.88665332798
4.64000000000048E-05,519,2477,2477,5473,3686.1590366065,3807.79672633311,3699.90458660624,3747.43151692847,3647.4246985569,3680.86055355541,0,11.6857569652366,7.85321223406583,0,3717.9768894358,3694.27353256892,0,3665.96275646586,3711.25404267978,3699.90458660624,3701.82250965599
4.65000000000049E-05,518,2478,2478,5474,3693.65982483439,3752.63112302555,3794.84098129183,3766.15850635051,3634.57811398269,3682.77415758742,0,11.6674041408833,7.85495442316475,0,3746.2500853633,3642.40935713983,0,3663.57281193673,3689.16006780187,3794.84098129183,3734.57897629474
4.66000000000049E-05,517,2479,2479,5475,4003.58358831218,3692.82350195985,3732.95827637788,3740.34077509711,3646.29670576501,3694.58571350914,0,11.6841496233054,7.86567682338595,0,3709.94151525285,3637.32697753669,0,3717.7050065883,3681.81584696598,3732.95827637788,3708.36137720102
4.67000000000049E-05,517,2479,2479,5475,3857.48613948583,3731.43083136736,3711.76625479884,3734.43030332789,3658.51662767707,3691.94625967188,0,11.7015204021347,7.86328539202438,0,3723.49850098384,3641.46527452256,0,3703.25030802529,3689.56664766588,3711.76625479884,3700.91044282358
4.68000000000049E-05,517,2479,2479,5475,3644.31711791075,3795.6414985999,3648.28188830102,3714.62977645429,3673.80719663369,3677.95715433443,0,11.7231262327672,7.85056621969682,0,3868.25111040179,3688.74949374049,0,3701.72899206843,3705.78490122224,3648.28188830102,3679.36538084521
