001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,022-TempTotal004,DISS
8.30000000000001E-07,7264,12714,12714,8888.88043078008,2.178308711046E-17
8.40000000000001E-07,7250,12728,12728,8895.2167573894,2.44220958966878E-17
8.50000000000001E-07,7233,12745,12745,8874.42780990304,2.34695026916245E-17
8.60000000000001E-07,7208,12770,12770,8860.61872906743,2.2263954238318E-17
8.70000000000001E-07,7186,12792,12792,8848.92729068492,2.2596430928233E-17
8.80000000000001E-07,7172,12806,12806,8841.91249720322,1.94193444878002E-17
8.90000000000001E-07,7160,12818,12818,8839.08221363006,2.3752855202876E-17
9.00000000000001E-07,7151,12827,12827,8835.02371501838,2.32684742393566E-17
9.10000000000001E-07,7134,12844,12844,8828.17199569805,1.99832699834994E-17
9.20000000000001E-07,7114,12864,12864,8819.41312657021,1.96893789162327E-17
9.30000000000001E-07,7091,12887,12887,8809.2108012362,2.28378420626773E-17
9.40000000000001E-07,7072,12906,12906,8802.34728329404,2.17506838237977E-17
9.50000000000001E-07,7052,12926,12926,8780.79160485223,2.18528940679661E-17
9.60000000000001E-07,7043,12935,12935,8778.03059036781,1.95711301645987E-17
9.70000000000001E-07,7020,12958,12958,8771.79193317979,2.25319542534179E-17
9.80000000000001E-07,6999,12979,12979,8758.89606685761,2.24434938978581E-17
1.08E-06,6865,13113,13113,8693.76816309408,1.96419155045359E-17
1.18E-06,6718,13260,13260,8621.84019401365,1.78667808511353E-17
1.28E-06,6580,13398,13398,8562.3421839002,1.94309652552982E-17
1.38E-06,6422,13556,13556,8480.05604774857,1.81972433543541E-17
1.48E-06,6319,13659,13659,8431.7185646729,1.45449110820196E-17
1.58E-06,6215,13763,13763,8393.51641614574,1.47143736182327E-17
1.67999999999999E-06,6099,13879,13879,8336.15913128834,1.57649884709485E-17
1.77999999999999E-06,5986,13992,13992,8267.68202978495,1.30226881508546E-17
1.87999999999999E-06,5881,14097,14097,8199.79581192249,1.35594438154847E-17
1.97999999999999E-06,5777,14201,14201,8167.41126887614,1.49151345978103E-17
2.07999999999999E-06,5691,14287,14287,8116.58611952346,1.24438786746207E-17
2.17999999999999E-06,5615,14363,14363,8082.22615711234,1.5105445200977E-17
2.27999999999999E-06,5537,14441,14441,8042.35155991105,9.78610126765646E-18
2.37999999999999E-06,5469,14509,14509,8020.80816743073,1.2487068671407E-17
2.47999999999999E-06,5391,14587,14587,7991.54779897026,8.92557377149804E-18
2.57999999999999E-06,5341,14637,14637,7950.97797554711,9.89070180525681E-18
2.67999999999999E-06,5281,14697,14697,7911.99525468596,1.10080373245572E-17
2.77999999999998E-06,5223,14755,14755,7885.97622026157,8.64573024218554E-18
2.87999999999998E-06,5167,14811,14811,7870.65204867406,9.55998784850827E-18
2.97999999999998E-06,5123,14855,14855,7850.81740557161,1.01017982354388E-17
3.07999999999998E-06,5066,14912,14912,7827.94597422564,8.38226884047296E-18
3.17999999999998E-06,5013,14965,14965,7798.64360031627,8.14141314121688E-18
3.27999999999998E-06,4971,15007,15007,7770.76766592949,6.71066622425753E-18
3.37999999999998E-06,4926,15052,15052,7738.36099830368,6.63992493819052E-18
3.47999999999998E-06,4873,15105,15105,7725.01104261378,8.22739418641816E-18
3.57999999999998E-06,4831,15147,15147,7687.76692502144,6.75757042488131E-18
3.67999999999998E-06,4779,15199,15199,7657.35522534782,7.837895181934E-18
