"ElectricFieldX","PowerDensityX-Spec01","ChargeDensity-Spec01","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.79590246e+02,1.20097331e+03,-5.67718025e-06,1,9.86446664e-02,9.86446664e-02,1.00000001e-01,1.00000001e-01
6.83867766e+02,1.21580178e+03,-5.67719447e-06,1,9.92729813e-02,9.92729813e-02,1.00000001e-01,1.00000001e-01
6.88145234e+02,1.23063008e+03,-5.67720869e-06,1,9.99012887e-02,9.99012887e-02,1.00000001e-01,1.00000001e-01
6.92422753e+02,1.24545855e+03,-5.67722291e-06,1,1.00529604e-01,1.00529604e-01,1.00000001e-01,1.00000001e-01
6.96700222e+02,1.26028685e+03,-5.67723714e-06,1,1.01157911e-01,1.01157911e-01,1.00000001e-01,1.00000001e-01
7.00977690e+02,1.27511515e+03,-5.67725136e-06,1,1.01786219e-01,1.01786219e-01,1.00000001e-01,1.00000001e-01
7.05255210e+02,1.28994362e+03,-5.67726558e-06,1,1.02414533e-01,1.02414533e-01,1.00000001e-01,1.00000001e-01
7.09532678e+02,1.30477192e+03,-5.67727980e-06,1,1.03042841e-01,1.03042841e-01,1.00000001e-01,1.00000001e-01
7.13810147e+02,1.31960021e+03,-5.67729403e-06,1,1.03671148e-01,1.03671148e-01,1.00000001e-01,1.00000001e-01
7.18087666e+02,1.33442868e+03,-5.67730825e-06,1,1.04299463e-01,1.04299463e-01,1.00000001e-01,1.00000001e-01
7.22356528e+02,1.34997254e+03,-5.67732319e-06,1,1.04927771e-01,1.04927771e-01,1.00000001e-01,1.00000001e-01
7.26608153e+02,1.36694742e+03,-5.67733958e-06,1,1.05556078e-01,1.05556078e-01,1.00000001e-01,1.00000001e-01
7.30859827e+02,1.38392249e+03,-5.67735596e-06,1,1.06184393e-01,1.06184393e-01,1.00000001e-01,1.00000001e-01
7.35111452e+02,1.40089737e+03,-5.67737234e-06,1,1.06812701e-01,1.06812701e-01,1.00000001e-01,1.00000001e-01
7.39363076e+02,1.41787224e+03,-5.67738872e-06,1,1.07441008e-01,1.07441008e-01,1.00000001e-01,1.00000001e-01
7.43614751e+02,1.43484731e+03,-5.67740511e-06,1,1.08069323e-01,1.08069323e-01,1.00000001e-01,1.00000001e-01
7.47866375e+02,1.45182219e+03,-5.67742149e-06,1,1.08697630e-01,1.08697630e-01,1.00000001e-01,1.00000001e-01
7.52117999e+02,1.46879706e+03,-5.67743787e-06,1,1.09325938e-01,1.09325938e-01,1.00000001e-01,1.00000001e-01
7.56369674e+02,1.48577214e+03,-5.67745425e-06,1,1.09954253e-01,1.09954253e-01,1.00000001e-01,1.00000001e-01
7.60621298e+02,1.50274701e+03,-5.67747063e-06,1,1.10582560e-01,1.10582560e-01,1.00000001e-01,1.00000001e-01
7.64872923e+02,1.51972189e+03,-5.67748702e-06,1,1.11210868e-01,1.11210868e-01,1.00000001e-01,1.00000001e-01
7.69124597e+02,1.53669696e+03,-5.67750340e-06,1,1.11839183e-01,1.11839183e-01,1.00000001e-01,1.00000001e-01
7.73376222e+02,1.55367183e+03,-5.67751978e-06,1,1.12467490e-01,1.12467490e-01,1.00000001e-01,1.00000001e-01
7.77627846e+02,1.57064671e+03,-5.67753616e-06,1,1.13095798e-01,1.13095798e-01,1.00000001e-01,1.00000001e-01
7.81879521e+02,1.58762178e+03,-5.67755255e-06,1,1.13724113e-01,1.13724113e-01,1.00000001e-01,1.00000001e-01
7.86131145e+02,1.60459666e+03,-5.67756893e-06,1,1.14352420e-01,1.14352420e-01,1.00000001e-01,1.00000001e-01
7.90382769e+02,1.62157153e+03,-5.67758531e-06,1,1.14980727e-01,1.14980727e-01,1.00000001e-01,1.00000001e-01
7.94634444e+02,1.63854661e+03,-5.67760169e-06,1,1.15609042e-01,1.15609042e-01,1.00000001e-01,1.00000001e-01
7.98886068e+02,1.65552148e+03,-5.67761808e-06,1,1.16237350e-01,1.16237350e-01,1.00000001e-01,1.00000001e-01
8.03137693e+02,1.67249635e+03,-5.67763446e-06,1,1.16865657e-01,1.16865657e-01,1.00000001e-01,1.00000001e-01
8.07389367e+02,1.68947143e+03,-5.67765084e-06,1,1.17493972e-01,1.17493972e-01,1.00000001e-01,1.00000001e-01
8.11640992e+02,1.70644630e+03,-5.67766722e-06,1,1.18122280e-01,1.18122280e-01,1.00000001e-01,1.00000001e-01
8.15892616e+02,1.72342118e+03,-5.67768361e-06,1,1.18750587e-01,1.18750587e-01,1.00000001e-01,1.00000001e-01
8.20144291e+02,1.74039625e+03,-5.67769999e-06,1,1.19378902e-01,1.19378902e-01,1.00000001e-01,1.00000001e-01
8.24380472e+02,1.75846570e+03,-5.67771750e-06,1,1.20007209e-01,1.20007209e-01,1.00000001e-01,1.00000001e-01
8.28602613e+02,1.77753022e+03,-5.67773603e-06,1,1.20635517e-01,1.20635517e-01,1.00000001e-01,1.00000001e-01
8.32824805e+02,1.79659496e+03,-5.67775456e-06,1,1.21263832e-01,1.21263832e-01,1.00000001e-01,1.00000001e-01
8.37046947e+02,1.81565948e+03,-5.67777309e-06,1,1.21892139e-01,1.21892139e-01,1.00000001e-01,1.00000001e-01
8.41269088e+02,1.83472399e+03,-5.67779162e-06,1,1.22520447e-01,1.22520447e-01,1.00000001e-01,1.00000001e-01
8.45491280e+02,1.85378874e+03,-5.67781015e-06,1,1.23148762e-01,1.23148762e-01,1.00000001e-01,1.00000001e-01
8.49713422e+02,1.87285325e+03,-5.67782868e-06,1,1.23777069e-01,1.23777069e-01,1.00000001e-01,1.00000001e-01
8.53935563e+02,1.89191777e+03,-5.67784721e-06,1,1.24405377e-01,1.24405377e-01,1.00000001e-01,1.00000001e-01
8.58157755e+02,1.91098251e+03,-5.67786574e-06,1,1.25033692e-01,1.25033692e-01,1.00000001e-01,1.00000001e-01
8.62379897e+02,1.93004703e+03,-5.67788427e-06,1,1.25661999e-01,1.25661999e-01,1.00000001e-01,1.00000001e-01
8.66602038e+02,1.94911154e+03,-5.67790280e-06,1,1.26290306e-01,1.26290306e-01,1.00000001e-01,1.00000001e-01
8.70824180e+02,1.96817606e+03,-5.67792133e-06,1,1.26918614e-01,1.26918614e-01,1.00000001e-01,1.00000001e-01
8.75046422e+02,1.98724103e+03,-5.67793987e-06,1,1.27546936e-01,1.27546936e-01,1.00000001e-01,1.00000001e-01
8.79268564e+02,2.00630555e+03,-5.67795840e-06,1,1.28175244e-01,1.28175244e-01,1.00000001e-01,1.00000001e-01
8.83490705e+02,2.02537006e+03,-5.67797693e-06,1,1.28803551e-01,1.28803551e-01,1.00000001e-01,1.00000001e-01
8.87712847e+02,2.04443458e+03,-5.67799546e-06,1,1.29431859e-01,1.29431859e-01,1.00000001e-01,1.00000001e-01
8.91934989e+02,2.06349910e+03,-5.67801399e-06,1,1.30060166e-01,1.30060166e-01,1.00000001e-01,1.00000001e-01
8.96157130e+02,2.08256361e+03,-5.67803252e-06,1,1.30688474e-01,1.30688474e-01,1.00000001e-01,1.00000001e-01
