001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,005-nPart-Spec-004,006-nPart-Spec-005,007-nPart-Spec-006,008-NumDens-Spec-001,009-NumDens-Spec-002,010-NumDens-Spec-003,011-NumDens-Spec-004,012-NumDens-Spec-005,013-NumDens-Spec-006
0.4999999999999999E-007,0.0000000000000000E+000,0.3291000000000000E+004,0.2248600000000000E+005,0.1919500000000000E+005,0.3291000000000000E+004,0.4826300000000000E+005,0.1000000000000000E+022,0.3290999999999998E+011,0.2248599999999998E+012,0.1919499999999999E+012,0.3290999999999998E+011,0.1000000000482630E+022
0.5499999999999999E-007,0.0000000000000000E+000,0.3828000000000000E+004,0.2601600000000000E+005,0.2218800000000000E+005,0.3828000000000000E+004,0.5586000000000000E+005,0.1000000000000000E+022,0.3827999999999998E+011,0.2601599999999998E+012,0.2218799999999998E+012,0.3827999999999998E+011,0.1000000000558600E+022
0.5999999999999999E-007,0.0000000000000000E+000,0.4122000000000000E+004,0.2805500000000000E+005,0.2393300000000000E+005,0.4122000000000000E+004,0.6023200000000000E+005,0.1000000000000000E+022,0.4121999999999997E+011,0.2805499999999998E+012,0.2393299999999998E+012,0.4121999999999997E+011,0.1000000000602320E+022
0.6500000000000000E-007,0.0000000000000000E+000,0.4239000000000000E+004,0.2900200000000000E+005,0.2476300000000000E+005,0.4239000000000000E+004,0.6224300000000000E+005,0.1000000000000000E+022,0.4238999999999997E+011,0.2900199999999998E+012,0.2476299999999998E+012,0.4238999999999997E+011,0.1000000000622430E+022
0.7000000000000000E-007,0.0000000000000000E+000,0.4299000000000000E+004,0.2935600000000000E+005,0.2505700000000000E+005,0.4299000000000000E+004,0.6301100000000000E+005,0.1000000000000000E+022,0.4298999999999997E+011,0.2935599999999998E+012,0.2505699999999998E+012,0.4298999999999997E+011,0.1000000000630110E+022
0.7500000000000001E-007,0.0000000000000000E+000,0.4316000000000000E+004,0.2946200000000000E+005,0.2514600000000000E+005,0.4316000000000000E+004,0.6324000000000000E+005,0.1000000000000000E+022,0.4315999999999997E+011,0.2946199999999998E+012,0.2514599999999998E+012,0.4315999999999997E+011,0.1000000000632400E+022
0.8000000000000001E-007,0.0000000000000000E+000,0.4319000000000000E+004,0.2948800000000000E+005,0.2516900000000000E+005,0.4319000000000000E+004,0.6329500000000000E+005,0.1000000000000000E+022,0.4318999999999997E+011,0.2948799999999998E+012,0.2516899999999998E+012,0.4318999999999997E+011,0.1000000000632950E+022
0.8500000000000002E-007,0.0000000000000000E+000,0.4320000000000000E+004,0.2949300000000000E+005,0.2517300000000000E+005,0.4320000000000000E+004,0.6330600000000000E+005,0.1000000000000000E+022,0.4319999999999997E+011,0.2949299999999998E+012,0.2517299999999998E+012,0.4319999999999997E+011,0.1000000000633060E+022
0.9000000000000003E-007,0.0000000000000000E+000,0.4320000000000000E+004,0.2949300000000000E+005,0.2517300000000000E+005,0.4320000000000000E+004,0.6330600000000000E+005,0.1000000000000000E+022,0.4319999999999997E+011,0.2949299999999998E+012,0.2517299999999998E+012,0.4319999999999997E+011,0.1000000000633060E+022
0.9500000000000003E-007,0.0000000000000000E+000,0.4320000000000000E+004,0.2949300000000000E+005,0.2517300000000000E+005,0.4320000000000000E+004,0.6330600000000000E+005,0.1000000000000000E+022,0.4319999999999997E+011,0.2949299999999998E+012,0.2517299999999998E+012,0.4319999999999997E+011,0.1000000000633060E+022
0.1000000000000000E-006,0.0000000000000000E+000,0.4320000000000000E+004,0.2949300000000000E+005,0.2517300000000000E+005,0.4320000000000000E+004,0.6330600000000000E+005,0.1000000000000000E+022,0.4319999999999997E+011,0.2949299999999998E+012,0.2517299999999998E+012,0.4319999999999997E+011,0.1000000000633060E+022
